Species	Status	min_age	max_age
Acambona_prima	extinct	360.7	345.3
Actinoconchus_elongatus	extinct	376.1	370.6
Actinoconchus_gigas	extinct	376.1	370.6
Actinoconchus_lamellosus	extinct	336	326.4
Actinoconchus_lamellosus	extinct	336	326.4
Actinoconchus_lamellosus	extinct	336	326.4
Actinoconchus_lamellosus	extinct	339.4	326.4
Actinoconchus_lamellosus	extinct	339.4	326.4
Actinoconchus_orbicularis	extinct	364.7	360.7
Actinoconchus_orbicularis	extinct	364.7	360.7
Actinoconchus_orbicularis	extinct	376.1	370.6
Actinoconchus_paradoxus	extinct	360.7	345.3
Actinoconchus_paradoxus	extinct	360.7	345.3
Actinoconchus_paradoxus	extinct	360.7	345.3
Actinoconchus_planosulcatus	extinct	336	326.4
Actinoconchus_planosulcatus	extinct	339.4	326.4
Actinoconchus_planosulcatus	extinct	339.4	326.4
Actinoconchus_planosulcatus	extinct	339.4	336
Actinoconchus_planosulcatus	extinct	339.4	336
Actinoconchus_planosulcatus	extinct	345.3	326.4
Actinoconchus_planosulcatus	extinct	345.3	326.4
Amphiclina_ammonea	extinct	235	221.5
Amphiclina_amoena	extinct	232	221.5
Amphiclina_amoena	extinct	232	221.5
Amphiclina_amoena	extinct	235	232
Amphiclina_amoena	extinct	235	232
Amphiclina_aucta	extinct	221.5	201.6
Amphiclina_aucta	extinct	221.5	201.6
Amphiclina_coarctata	extinct	232	221.5
Amphiclina_dubia	extinct	232	221.5
Amphiclina_intermedia	extinct	221.5	201.6
Amphiclina_intermedia	extinct	221.5	201.6
Amphiclina_intermedia	extinct	221.5	201.6
Amphiclina_scitula	extinct	232	221.5
Amphiclina_speciosa	extinct	235	232
Amphiclina_speciosa	extinct	235	232
Amphiclina_speciosa	extinct	235	232
Amphiclina_squamula	extinct	232	221.5
Amphiclina_squamula	extinct	232	221.5
Amphiclina_squamula	extinct	235	221.5
Amphiclina_taurica	extinct	205.6	201.6
Amphiclina_taurica	extinct	205.6	201.6
Amphiclina_taurica	extinct	221.5	201.6
Amphiclina_taurica	extinct	221.5	201.6
Amphiclina_ungulina	extinct	221.5	205.6
Amphiclinodonta_laczkoi	extinct	232	221.5
Anathyris_helmerseni	extinct	383.7	376.1
Anathyris_monzevi	extinct	383.7	376.1
Anisactinella_quadriplecta	extinct	232	221.5
Anisactinella_quadriplecta	extinct	235	232
Anisactinella_venetiana	extinct	247.2	242
Anisactinella_venetiana	extinct	247.2	242
Anisactinella_venetiana	extinct	247.2	242
Araxathyris_abichi	extinct	259	254
Araxathyris_abichi	extinct	259	254
Araxathyris_abichi	extinct	259	254
Araxathyris_abichi	extinct	259	254
Araxathyris_abichi	extinct	259	254
Araxathyris_abichi	extinct	259	254
Araxathyris_abichi	extinct	259	254
Araxathyris_araxaensis	extinct	254	252.3
Araxathyris_bruntoni	extinct	254	252.3
Araxathyris_bruntoni	extinct	254	252.3
Araxathyris_bruntoni	extinct	254	252.3
Araxathyris_bruntoni	extinct	254	252.3
Araxathyris_bruntoni	extinct	254	252.3
Araxathyris_dilatata	extinct	254	252.3
Araxathyris_dilatata	extinct	254	252.3
Araxathyris_dilatata	extinct	254	252.3
Araxathyris_dilatata	extinct	254	252.3
Araxathyris_dilatata	extinct	254	252.3
Araxathyris_dilatata	extinct	254	252.3
Araxathyris_dilatata	extinct	254	252.3
Araxathyris_dilatata	extinct	254	252.3
Araxathyris_dilatata	extinct	254	252.3
Araxathyris_dilatata	extinct	254	252.3
Araxathyris_dilatata	extinct	254	252.3
Araxathyris_dilatata	extinct	254	252.3
Araxathyris_dilatata	extinct	259	254
Araxathyris_dilatata	extinct	259	254
Araxathyris_dilatata	extinct	259	254
Araxathyris_felina	extinct	259	252.3
Araxathyris_felina	extinct	259	254
Araxathyris_felina	extinct	259	254
Araxathyris_felina	extinct	259	254
Araxathyris_felina	extinct	259	254
Araxathyris_felina	extinct	259	254
Araxathyris_felina	extinct	259	254
Araxathyris_felina	extinct	259	254
Araxathyris_felina	extinct	259	254
Araxathyris_felina	extinct	259	254
Araxathyris_felina	extinct	259	254
Araxathyris_guizhouensis	extinct	254	252.3
Araxathyris_guizhouensis	extinct	254	252.3
Araxathyris_guizhouensis	extinct	254	252.3
Araxathyris_guizhouensis	extinct	254	252.3
Araxathyris_guizhouensis	extinct	254	252.3
Araxathyris_guizhouensis	extinct	254	252.3
Araxathyris_guizhouensis	extinct	254	252.3
Araxathyris_guizhouensis	extinct	254	252.3
Araxathyris_guizhouensis	extinct	254	252.3
Araxathyris_guizhouensis	extinct	254	252.3
Araxathyris_guizhouensis	extinct	254	252.3
Araxathyris_guizhouensis	extinct	254	252.3
Araxathyris_guizhouensis	extinct	254	252.3
Araxathyris_guizhouensis	extinct	254	252.3
Araxathyris_guizhouensis	extinct	254	252.3
Araxathyris_guizhouensis	extinct	254	252.3
Araxathyris_guizhouensis	extinct	254	252.3
Araxathyris_guizhouensis	extinct	254	252.3
Araxathyris_guizhouensis	extinct	254	252.3
Araxathyris_guizhouensis	extinct	254	252.3
Araxathyris_guizhouensis	extinct	254	252.3
Araxathyris_guizhouensis	extinct	259	254
Araxathyris_guizhouensis	extinct	259	254
Araxathyris_guizhouensis	extinct	259	254
