Taxon_name	Status	MinAge	MaxAge	Site
Glaphyrites	extinct	306	312.8	78
Glaphyrites	extinct	306	312.8	86
Gonioglyphioceras	extinct	306	312.8	94
Neodimorphoceras	extinct	306	312.8	94
Bisatoceras	extinct	306	312.8	95
Glaphyrites	extinct	306	312.8	95
Maximites	extinct	306	312.8	95
Bisatoceras	extinct	303.7	306	119
Glaphyrites	extinct	303.7	306	119
Glaphyrites	extinct	303.7	306	120
Glaphyrites	extinct	303.7	306	143
Glaphyrites	extinct	303.7	306	144
Glaphyrites	extinct	303.7	306	149
Glaphyrites	extinct	303.7	306	155
Glaphyrites	extinct	298.9	358.86	157
Glaphyrites	extinct	298.9	358.86	159
Glaphyrites	extinct	298.9	358.86	163
Eoasianites	extinct	303.7	306	171
Neoaganides	extinct	303.7	306	171
Glaphyrites	extinct	303.7	306	174
Glaphyrites	extinct	298.9	303.7	176
Glaphyrites	extinct	298.9	303.7	180
Imitoceras	extinct	351.9	358.86	548
Pericyclus	extinct	342.9	351.9	551
Protocanites	extinct	342.9	351.9	551
Ammonellipsites	extinct	342.9	351.9	551
Merocanites	extinct	342.9	351.9	551
Beyrichoceras	extinct	342.9	351.9	551
Beyrichoceras	extinct	342.9	351.9	560
Dzhaprakoceras	extinct	342.9	351.9	560
Kazakhstania	extinct	342.9	351.9	561
Ammonellipsites	extinct	339.9	346.7	562
Beyrichoceras	extinct	339.9	346.7	562
Merocanites	extinct	339.9	346.7	562
Dimorphoceras	extinct	323.6	326.9	580
Cravenoceratoides	extinct	323.6	326.9	580
Richardsonites	extinct	323.4	335.4	584
Eumorphoceras	extinct	323.4	335.4	584
Glyphiolobus	extinct	323.4	335.4	584
Goniatites	extinct	387.95	393.47	611
Goniatites	extinct	387.95	393.47	615
Cabrieroceras	extinct	387.95	393.47	615
Agoniatites	extinct	382.31	393.47	623
Anarcestes	extinct	382.31	393.47	623
Manticoceras	extinct	372.15	382.31	633
Archoceras	extinct	358.86	382.31	640
Tornoceras	extinct	358.86	382.31	640
Dombarites	extinct	323.6	326.9	671
Cravenoceras	extinct	323.6	326.9	671
Reticuloceras	extinct	315.2	323.6	672
Retites	extinct	315.2	323.6	672
Bilinguites	extinct	315.2	323.4	673
Amoeboceras	extinct	154.8	161.5	1468
Amoeboceras	extinct	154.8	161.5	1464
Amoeboceras	extinct	154.8	161.5	1405
Pachydiscus	extinct	72.2	83.6	1510
Baculites	extinct	72.2	83.6	1511
Pachydiscus	extinct	72.2	83.6	1511
Baculites	extinct	72.2	83.6	1512
Baculites	extinct	72.2	83.6	1513
