taxon	max_ts	min_ts	max_te	min_te
Abadehceras	NA	NA	NA	251.902
Abichites	NA	NA	NA	251.902
Acanthoclymenia	NA	NA	NA	372.15
Acanthopleuroceras	201.4	NA	NA	NA
Acanthoscaphites	NA	NA	NA	66
Acutimitoceras	372.15	NA	NA	NA
Adrianites	NA	NA	NA	251.902
Adygeites	NA	NA	NA	201.4
Aegeiceras	251.902	NA	NA	NA
Aegoceras	201.4	NA	NA	NA
Aegolytoceras	201.4	NA	NA	NA
Aequilobus	201.4	NA	NA	NA
Afrolobites	372.15	NA	NA	NA
Agathiceras	NA	NA	NA	251.902
Aghdarbandites	251.902	NA	NA	NA
Alanites	251.902	NA	NA	NA
Alibashites	NA	NA	NA	251.902
Alkaites	251.902	NA	NA	NA
Alloclionites	NA	NA	NA	201.4
Allogevanites	251.902	NA	NA	NA
Alpinites	372.15	NA	NA	NA
Altudoceras	NA	NA	NA	251.902
Amarassites	NA	NA	NA	201.4
Amauroceras	201.4	NA	NA	NA
Amoeboceras	372.15	NA	NA	NA
Amphipopanoceras	251.902	NA	NA	NA
Anagaudryceras	NA	NA	NA	66
Anagymnites	251.902	NA	NA	NA
Anagymnotoceras	251.902	NA	NA	NA
Anaklinoceras	NA	NA	NA	66
Ananorites	251.902	NA	NA	NA
Anapachydiscus	NA	NA	NA	66
Anatibetites	NA	NA	NA	201.4
Anderssonoceras	NA	NA	NA	251.902
Andicoeloceras	201.4	NA	NA	NA
Andidiscus	201.4	NA	NA	NA
Androgynoceras	201.4	NA	NA	NA
Anfuceras	NA	NA	NA	251.902
Anolcites	251.902	NA	NA	201.4
Aplococeras	251.902	NA	NA	NA
Apoderoceras	201.4	NA	NA	NA
Arasella	NA	NA	NA	251.902
Araxoceras	NA	NA	NA	251.902
Arcestes	NA	NA	NA	201.4
Arctoasteroceras	201.4	NA	NA	NA
Arctogymnites	251.902	NA	NA	NA
Arctohungarites	251.902	NA	NA	NA
Arctophyllites	251.902	NA	NA	NA
Arctoptychites	251.902	NA	NA	NA
Argolites	251.902	NA	NA	NA
Argosirenites	NA	NA	NA	201.4
Arianites	251.902	NA	NA	NA
Aristoptychites	251.902	NA	NA	NA
Arpadites	251.902	NA	NA	NA
Arthaberites	251.902	NA	NA	NA
Asklepioceras	251.902	NA	NA	NA
Asseretoceras	251.902	NA	NA	NA
Astreptoceras	NA	NA	NA	66
