66.0	201.4	251.902	372.15
Acanthoscaphites	Adygeites	Abadehceras	Acanthoclymenia
Anagaudryceras	Alloclionites	Abichites	Aulatornoceras
Anaklinoceras	Amarassites	Adrianites	Beloceras
Anapachydiscus	Anatibetites	Agathiceras	Carinoceras
Astreptoceras	Anolcites	Alibashites	Chutoceras
Axonoceras	Arcestes	Altudoceras	Clauseniceras
Bostrychoceras	Argosirenites	Anderssonoceras	Crassotornoceras
Brahmaites	Brouwerites	Anfuceras	Delphiceras
Canadoceras	Catenohalorites	Arasella	Devonopronorites
Cirroceras	Cladiscites	Araxoceras	Domanikoceras
Coahuilites	Clionites	Avushoceras	Gogoceras
Damesites	Clionitites	Changhsingoceras	Hoeninghausia
Daradiceras	Clydonites	Chaotianoceras	Koenenites
Desmoceras	Cochloceras	Cibolites	Komioceras
Desmophyllites	Cycloceltites	Clivotirolites	Maternoceras
Desmoscaphites	Cyrtopleurites	Cyclolobus	Mesobeloceras
Didymoceras	Dionites	Daubichites	Mixomanticoceras
Diplomoceras	Discotropites	Difuntites	Naplesites
Discoscaphites	Distichites	Discotoceras	Nordiceras
Epigoniceras	Drepanites	Doulingoceras	Pharciceras
Eubaculites	Dronovites	Durvilleoceras	Playfordites
Eubostrychoceras	Eosteinmannites	Dushanoceras	Ponticeras
Eulophoceras	Eremites	Dzhulfites	Probeloceras
Eupachydiscus	Euisculites	Dzhulfoceras	Prochorites
Exicrioceras	Gabboceras	Eoaraxoceras	Retrotornoceras
Exiteloceras	Gnomohalorites	Eojiangxiceras	Sandbergeroceras
Forresteria	Gonionotites	Epadrianites	Schindewolfoceras
Fresvillia	Gymnotropites	Epitauroceras	Serramanticoceras
Gaudryceras	Halorites	Esfahanites	Sphaeromanticoceras
Gissarites	Hauerites	Etoushanoceras	Timanites
Glyptoxoceras	Helictites	Eumedlicottia	Timanoceras
Grossouvrites	Heraclites	Eusanyangites	Trimanticoceras
Gunnarites	Himavatites	Fengchengoceras	Uchtites
Hamites	Indojuvavites	Gastrioceras	Virginoceras
Hauericeras	Joannites	Geermuceras	Wellsites
