201.4	251.902	372.15
Acanthopleuroceras	Aegeiceras	Acutimitoceras
Aegoceras	Aghdarbandites	Afrolobites
Aegolytoceras	Alanites	Alpinites
Aequilobus	Alkaites	Amoeboceras
Amauroceras	Allogevanites	Balvia
Andicoeloceras	Amphipopanoceras	Biloclymenia
Andidiscus	Anagymnites	Carinoclymenia
Androgynoceras	Anagymnotoceras	Clymenia
Apoderoceras	Ananorites	Costaclymenia
Arctoasteroceras	Anolcites	Cymaclymenia
Aveyroniceras	Aplococeras	Cyrtoclymenia
Bagnolites	Arctogymnites	Czarnoclymenia
Bakonyceras	Arctohungarites	Discoclymenia
Baltzerites	Arctophyllites	Ebbighausenites
Beaniceras	Arctoptychites	Endosiphonites
Calaiceras	Argolites	Enkebergoceras
Callomoniceras	Arianites	Epiwocklumeria
Canavaria	Aristoptychites	Erfoudites
Carixiceras	Arpadites	Falciclymenia
Castanyiceras	Arthaberites	Felisporadoceras
Catriceras	Asklepioceras	Finiclymenia
Cetonoceras	Asseretoceras	Franconiclymenia
Charmasseiceras	Audaxlytoceras	Gattendorfia
Coeloceras	Augustaceras	Genuclymenia
Coeloderoceras	Azarianites	Glatziella
Dayiceras	Badiotites	Gonioclymenia
Derolytoceras	Balhaeceras	Hexaclymenia
Emaciaticeras	Balkanites	Imitoceras
Eoamaltheus	Barrandeites	Kalloclymenia
Epammonites	Beatites	Kamptoclymenia
Epophioceroides	Beaumontites	Karaclymenia
Eteoderoceras	Beneckeia	Kenseyoceras
Eucoroniceras	Beyrichites	Kiaclymenia
Euerbenites	Billingsites	Kielcensia
Exomiloceras	Boreiohungarites	Kosmoclymenia
Fastigiceras	Bosnites	Lagowites
Foetterleiceras	Brackites	Linguaclymenia
Fontanelliceras	Bradyia	Lissoclymenia
Fucinites	Buddhaites	Maideroceras
Galaticeras	Bugunzhites	Mesoclymenia
Gorgheiceras	Bukowskiites	Mimimitoceras
Grammoceras	Bullatihungarites	Muessenbiaergia
Guexiceras	Bulogites	Pachyclymenia
Hammatoceras	Byrrangoceras	Parawocklumeria
Hantkeniceras	Caribouceras	Platyclymenia
Harpoceras	Carteria	Postglatziella
Hildaites	Caucasites	Pricella
Hildoceras	Ceccaceras	Prionoceras
Holcolytoceras	Ceccaisculitoides	Procymaclymenia
Hypasteroceras	Chieseiceras	Progonioclymenia
Hyperderoceras	Chioceras	Prolecanites
Jamesonites	Chiratites	Protactoclymenia
Kericserites	Cladiscites	Protocanites
Lioceratoides	Clionitites	Protoxyclymenia
Liparoceras	Columbisculites	Raymondiceras
Lytoconites	Columboceras	Rectoclymenia
Lytotropites	Constrigymnites	Renites
Mauretaniaceras	Coscaites	Riphaeoclymenia
Meridiceras	Costigymnites	Sellaclymenia
Metacymbites	Courtilloticeras	Selwoodites
Metarnioceras	Cowboyiceras	Simicheiloceras
Metophioceras	Cuccoceras	Soliclymenia
Miltoceras	Czekanowskites	Sphenoclymenia
Mucrodactylites	Daxatina	Spirosporadoceras
Neolioceratoides	Detoniceras	Synwocklumeria
Nodicoeloceras	Deweveria	Tardewocklumeria
Oistoceras	Discoceratites	Tornia
Oxyarietites	Discogymnites	Triaclymenia
Oxynoticeroides	Discoptychites	Trigonoclymenia
Paracoroniceras	Dixieceras	Trochoclymenia
Paracymbites	Drumoceras	Ungusporadoceras
Parinodiceras	Durgaites	Uraloclymenia
Phricodoceras	Eoacrochordiceras	Wocklumeria
Platypleuroceras	Eodanubites	NA
Pleuroceras	Eofrechites	NA
Pleydellia	Eogymnotoceras	NA
Polymorphites	Eonathorstites	NA
Protechioceras	Eoprotrachyceras	NA
Protocymbites	Eosagenites	NA
Pseudoskirroceras	Epiboreoceras	NA
Pseudotropites	Epiceltitoides	NA
Pseuduptonia	Epigymnites	NA
Reynesocoeloceras	Epikellnerites	NA
Sinuiceras	Escarguelites	NA
Sphenoacanthites	Eschericeratites	NA
Stephanoceras	Esinoceras	NA
Sulciferites	Eudiscoceras	NA
Tauromeniceras	Eutomoceras	NA
Tiltoniceras	Evenites	NA
Tipperoceras	Falsanolcites	NA
Tmaegoceras	Favreticeras	NA
Tragolytoceras	Fengshanites	NA
