feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.1747235660335024,0.14990906076634544,0.20044383609294095,NA,NA,NA
Acinonyx__taxon,0.04842633944802118,-0.07927754431553911,0.05401395045103969,1.1862858560266225,0.4103907276087764,1.9819057691012947
Acinonyx__BodyMass,0.003031548962663147,-0.10551379340908013,0.01990510836826872,NA,NA,NA
Acinonyx__geography,0.019299699012786834,-0.0879897857137494,0.036103012753862546,NA,NA,NA
Acinonyx__Temperature,0.08465430753381202,0.14781698194809717,0.06292460387291389,NA,NA,NA
Acinonyx__time,0.019311671076219238,-0.02494491927607396,0.027497160646856117,NA,NA,NA
Actiocyon__taxon,0.27575595656091323,0.028812827707486707,0.15521919402912285,0.1958012088787212,0.05989270920858544,0.3176654607369904
Actiocyon__BodyMass,0.02012814651071217,-0.00799990016455699,0.02447186311433351,NA,NA,NA
Actiocyon__geography,-0.011241692358533308,-0.05911334316014026,0.05050713823519182,NA,NA,NA
Actiocyon__Temperature,-0.24649013845098083,-0.08872866217917773,-0.043795242742751136,NA,NA,NA
Actiocyon__time,-0.017074629416892452,-0.02287998296995719,0.014040883457043893,NA,NA,NA
Adcrocuta__taxon,0.20834592267360166,-0.0017823201753232778,0.13549916484469024,0.3779609652442496,0.18252625590625873,0.6474370599675154
Adcrocuta__BodyMass,0.008251947403695182,-0.013434604157433184,0.01688151570545934,NA,NA,NA
Adcrocuta__geography,0.12033124305477169,0.010080536364488968,0.058426195644662754,NA,NA,NA
Adcrocuta__Temperature,-0.1687401028640196,-0.13106918875430867,-0.020699369036990444,NA,NA,NA
Adcrocuta__time,0.006534555765453473,-0.013703484043769266,0.010336328935119043,NA,NA,NA
Adilophontes__taxon,0.4800831782431853,0.023515487149500015,0.13290763229988453,0.36122807488607284,0.08832297803881851,0.6132601458657412
Adilophontes__BodyMass,-0.049331777773487503,-0.030601088079943883,0.026191780852525753,NA,NA,NA
Adilophontes__geography,0.08570208549427188,-0.02182542467855663,0.041581931669462995,NA,NA,NA
Adilophontes__Temperature,-0.24818949512702548,-0.07317685923212366,-0.0120381726178547,NA,NA,NA
Adilophontes__time,-0.09354042480344182,-0.04782117592522129,0.011800663888922371,NA,NA,NA
Aelurocyon__taxon,0.19318371275879057,0.09285430971054079,0.11346406779933174,0.4711713857834474,0.31970446184328405,0.661149874154483
Aelurocyon__BodyMass,0.010548860962434707,-0.023281599169483684,0.019631247912876935,NA,NA,NA
Aelurocyon__geography,0.09826088835477932,0.050145984297788784,0.0712319006934896,NA,NA,NA
Aelurocyon__Temperature,-0.1044210291806707,-0.176145431192491,-0.011183360390974631,NA,NA,NA
Aelurocyon__time,-0.022848866861831522,-0.09348232441270034,0.007299980078217309,NA,NA,NA
Aelurodon__taxon,0.3099224878815716,0.002256852216078898,0.14244917652277714,0.22845225536598457,0.0340725354224998,0.4560068234909861
Aelurodon__BodyMass,0.017696510685608253,-0.01757900038554701,0.02486859093300251,NA,NA,NA
Aelurodon__geography,-0.013355237451131603,-0.05375417018469861,0.051422828363749215,NA,NA,NA
Aelurodon__Temperature,-0.25396140220450186,-0.06739403179087866,-0.029646654889805116,NA,NA,NA
