feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.17528294778828435,0.147109338634684,0.20211136353525846,NA,NA,NA
Acinonyx__taxon,0.14361185486052716,0.013155507142464837,0.11321815072694559,0.876951699961668,0.3946266257671235,1.683245757898657
Acinonyx__BodyMass,0.019869134202677288,-0.031228342227300372,0.02670612443337771,NA,NA,NA
Acinonyx__geography,0.05448324962649586,0.005654017989066695,0.049616478841161396,NA,NA,NA
Acinonyx__Temperature,0.013966123684055068,-0.018372890747013364,0.018960022856512538,NA,NA,NA
Acinonyx__time,-0.056647414585471,-0.1163176307919018,-0.0063894133227387784,NA,NA,NA
Actiocyon__taxon,0.2288158459273996,-0.008083965592717936,0.09155938984926203,0.3430575941024825,0.0,0.675284787610733
Actiocyon__BodyMass,-0.05252791194593136,-0.028545992070787094,0.013124218260758038,NA,NA,NA
Actiocyon__geography,-0.036828354581228996,-0.06704970417170159,0.03728079737227602,NA,NA,NA
Actiocyon__Temperature,-0.014539575355272148,-0.03088538851809624,0.02173471843638793,NA,NA,NA
Actiocyon__time,0.04285464226923121,-0.012544288281381148,0.038412239616574445,NA,NA,NA
Adcrocuta__taxon,0.10271889811300373,-0.04934190444551858,0.09305536210489106,0.7324273427180433,0.3297250656491303,1.2802824979253915
Adcrocuta__BodyMass,0.02317485683741133,-0.012437083290971557,0.025022164049272846,NA,NA,NA
Adcrocuta__geography,0.06679343579429599,0.008728580441583412,0.05422461192263003,NA,NA,NA
Adcrocuta__Temperature,0.008404075479828521,-0.02642361702551558,0.023047691302128113,NA,NA,NA
Adcrocuta__time,-0.025808318436255234,-0.0676353143142617,0.006761534156336405,NA,NA,NA
Adilophontes__taxon,0.01200895863813053,-0.07102633991691892,0.0488410347270073,0.3846564439311349,0.0,0.6812836877146929
Adilophontes__BodyMass,0.04605044205339955,-0.021957297805076943,0.0512080659215487,NA,NA,NA
Adilophontes__geography,-0.013209617835401881,-0.0393286458323651,0.029540291901341678,NA,NA,NA
Adilophontes__Temperature,-0.029650178952754097,-0.03127793819801737,0.008524470986891202,NA,NA,NA
Adilophontes__time,0.16008334388491025,0.016480883117694335,0.0639974999984696,NA,NA,NA
Aelurocyon__taxon,0.15545034633526547,0.014711086328080748,0.11436270727342837,0.4530951553060719,0.2828683963767232,0.7127102312934679
Aelurocyon__BodyMass,-0.05683636622567193,-0.09532756782250029,0.0016230610648835801,NA,NA,NA
Aelurocyon__geography,0.1034151425999147,0.017947080388651497,0.0642447169433388,NA,NA,NA
Aelurocyon__Temperature,0.00746314007917267,-0.032569291568714666,0.01952350854728836,NA,NA,NA
Aelurocyon__time,-0.03420931500039654,-0.0518706459602013,0.002357369706319352,NA,NA,NA
Aelurodon__taxon,-0.18790784387255602,-0.08658297484435372,0.017517524183818224,0.33078642979699674,0.0,0.8240743077876036
Aelurodon__BodyMass,0.0876204529587977,-0.006385134964916307,0.04894699864415017,NA,NA,NA
Aelurodon__geography,0.019094625379166646,-0.04347094793017577,0.039799326961900895,NA,NA,NA
Aelurodon__Temperature,-0.0324407971234116,-0.03159493915630659,0.016992636283030223,NA,NA,NA
Aelurodon__time,0.26913704466671584,0.020924658261068357,0.07885487746235895,NA,NA,NA
Afrosmilus__taxon,-0.1153225974722688,-0.09572417020304969,0.04742653823479128,0.275175481410666,0.0,0.6408513690891776
Afrosmilus__BodyMass,0.03534011824551372,-0.004125178319245035,0.022954720542626372,NA,NA,NA
Afrosmilus__geography,0.13492202041759002,-0.002006829144690403,0.06732793597971927,NA,NA,NA
Afrosmilus__Temperature,-0.04426131149633254,-0.04442718779421628,0.018896118949315154,NA,NA,NA
Afrosmilus__time,0.0892143039278793,-0.0008259731734826204,0.04550604982880639,NA,NA,NA
Agnotherium__taxon,0.005013845251183496,-0.07048575172327846,0.05252591104189122,0.5788311923865606,0.2137125601824774,0.9828776995155701
Agnotherium__BodyMass,0.06904275940441444,-0.016442029490966348,0.054460946287239693,NA,NA,NA
Agnotherium__geography,0.08052709124380529,0.014286871396073781,0.052771622377239764,NA,NA,NA
Agnotherium__Temperature,-0.021935219021924256,-0.07581601119838843,0.01108923760088853,NA,NA,NA
Agnotherium__time,0.042634470910805355,0.001347582381875477,0.031263646227999264,NA,NA,NA
Agriarctos__taxon,-0.11306245836758105,-0.09630169391369166,0.06452063148783535,0.29644380949043786,0.0008378367310300228,0.7365019085163438
Agriarctos__BodyMass,0.08189856321645789,-0.0128921591361126,0.05443687125613782,NA,NA,NA
Agriarctos__geography,0.16618607699284205,0.006566330589198184,0.054764968518427826,NA,NA,NA
Agriarctos__Temperature,0.017965232170102385,-0.020751456090598648,0.020077196982671446,NA,NA,NA
Agriarctos__time,-0.031826552309667716,-0.023730360083479254,0.008311695290186017,NA,NA,NA
Agriotherium__taxon,-0.006762349030766843,-0.06413508708393427,0.10104559777850936,0.05810286679680612,0.0,0.3574731898951242
Agriotherium__BodyMass,0.12171766048375147,0.0023283828026397176,0.07927606396420613,NA,NA,NA
Agriotherium__geography,-0.20752155475648043,-0.056026067471354704,-0.012186804361076728,NA,NA,NA
Agriotherium__Temperature,0.021603366039084505,-0.008039016204507136,0.027991405684571796,NA,NA,NA
Agriotherium__time,-0.04621720372706695,-0.02123755067752762,0.005985100469047932,NA,NA,NA
Ailurarctos__taxon,-0.03787593930925255,-0.07398452610215786,0.07781516334463555,0.23497096790765856,0.009759514446041562,0.5760643531135552
Ailurarctos__BodyMass,0.04290682167411502,-0.01632851634160505,0.04316122012844874,NA,NA,NA
Ailurarctos__geography,0.14163850022904959,0.001134942146032743,0.04704214339262892,NA,NA,NA
Ailurarctos__Temperature,0.04689948839059672,-0.011478247656997983,0.029242281729454856,NA,NA,NA
Ailurarctos__time,-0.13388085086513457,-0.04645299067995586,0.004850554940090398,NA,NA,NA
Ailuropoda__taxon,0.10113732237939893,-0.036813726755147595,0.09344833526350112,0.3156261232522179,0.042054162993835686,0.6173058780894207
Ailuropoda__BodyMass,0.039039413364321596,-0.019087174291441952,0.030048085402201823,NA,NA,NA
Ailuropoda__geography,0.14334191198219254,0.00596189859261982,0.04949984706186538,NA,NA,NA
Ailuropoda__Temperature,0.0762526192045132,-0.00698086834810522,0.03793682731648757,NA,NA,NA
Ailuropoda__time,-0.2194280914664927,-0.09018946783260906,-0.00882173150879745,NA,NA,NA
Ailurus__taxon,0.1358216695641344,0.00304284665924127,0.06972337266404097,0.4464489187888922,0.2583652126570186,0.6902728659998577
Ailurus__BodyMass,0.006391947515385403,-0.012116575035205327,0.009716026979692467,NA,NA,NA
Ailurus__geography,0.10270469919905124,0.009406138247154267,0.04904402623223089,NA,NA,NA
Ailurus__Temperature,0.07489418588300256,-0.017014030957214665,0.07496047957828922,NA,NA,NA
Ailurus__time,-0.1445295543732893,-0.13042771754865953,-0.0013325419189951075,NA,NA,NA
Aktaucyon__taxon,-0.0005013544645893612,-0.0665933889834879,0.05578241979858711,0.45368100509014797,0.23389027218697003,0.7098253352156463
Aktaucyon__BodyMass,0.06205548072163413,-0.01830826907441981,0.047878256091324164,NA,NA,NA
Aktaucyon__geography,0.10222419879548315,0.011280092104274997,0.054135289368165015,NA,NA,NA
Aktaucyon__Temperature,-0.03399967581760568,-0.07561629740386054,0.015392338621937517,NA,NA,NA
Aktaucyon__time,0.0455042985533621,0.002128524722809251,0.028923059655244616,NA,NA,NA
Albanosmilus__taxon,-0.09798832231257561,-0.0831566697906937,0.04508680354635025,0.3933543372382149,0.0,0.9170245467571567
Albanosmilus__BodyMass,0.1332531374374204,-0.006576963038619666,0.06093239439337996,NA,NA,NA
Albanosmilus__geography,0.1175932289017265,-0.016695639676292444,0.052850563784444825,NA,NA,NA
Albanosmilus__Temperature,-0.03072150749720658,-0.037971940342939985,0.014631908333597218,NA,NA,NA
Albanosmilus__time,0.05314641125891963,-0.002708125786138199,0.02860969347748618,NA,NA,NA
