feature1,feature2,feature1_state,feature2_state,posterior_probability,magnitude_effect,magnitude_lwr_CI,magnitude_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
taxon,none,Amphicyonidae_Canidae,none,0.84,43.276411211396216,0.032994219364670646,60.78017882398197,2.1753009257734033,1.6172948795647213,2.7358632136761534,-563.3687478293142,-1027.9441029502896,-126.3582221509484,1.0
taxon,none,Amphicyonidae_Felidae,none,0.82,9.797054451269274,0.023655781019371023,46.46571328968163,2.1753009257734033,1.6172948795647213,2.7358632136761534,-563.3687478293142,-1027.9441029502896,-126.3582221509484,1.0
taxon,none,Amphicyonidae_FeliformiaOther,none,0.66,11.000826132300844,0.022038842424534095,44.71423582486143,2.1753009257734033,1.6172948795647213,2.7358632136761534,-563.3687478293142,-1027.9441029502896,-126.3582221509484,1.0
taxon,none,Amphicyonidae_Hyaenidae,none,0.88,32.09465023742525,0.04060258889247003,153.6193952819522,2.1753009257734033,1.6172948795647213,2.7358632136761534,-563.3687478293142,-1027.9441029502896,-126.3582221509484,1.0
taxon,none,Amphicyonidae_Musteloidea,none,0.57,1.7946204242716124,0.005781466890054621,5.600596335451079,2.1753009257734033,1.6172948795647213,2.7358632136761534,-563.3687478293142,-1027.9441029502896,-126.3582221509484,1.0
taxon,none,Amphicyonidae_Ursidae,none,0.71,18.46339729953348,0.014907532484581288,36.34094702595323,2.1753009257734033,1.6172948795647213,2.7358632136761534,-563.3687478293142,-1027.9441029502896,-126.3582221509484,1.0
taxon,none,Amphicyonidae_Viverridae,none,0.78,24.05965146542157,0.013770182823795055,72.82924950805317,2.1753009257734033,1.6172948795647213,2.7358632136761534,-563.3687478293142,-1027.9441029502896,-126.3582221509484,1.0
taxon,none,Canidae_Felidae,none,0.55,2.100745166354061,0.0024647447173090247,9.361426130130184,2.1753009257734033,1.6172948795647213,2.7358632136761534,-563.3687478293142,-1027.9441029502896,-126.3582221509484,1.0
taxon,none,Canidae_FeliformiaOther,none,0.79,1.9266631056161083,0.0008756706235058824,4.5147040940307,2.1753009257734033,1.6172948795647213,2.7358632136761534,-563.3687478293142,-1027.9441029502896,-126.3582221509484,1.0
taxon,none,Canidae_Hyaenidae,none,0.53,4.08296085088541,0.023164433229864657,15.054841452427876,2.1753009257734033,1.6172948795647213,2.7358632136761534,-563.3687478293142,-1027.9441029502896,-126.3582221509484,1.0
