feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.15837878369625488,0.09988321319824932,0.21091928897051695,NA,NA,NA
Acinonyx__taxon,0.03125984489088094,0.009742926690819019,0.044966468452653945,17.62575740855989,12.496021303030233,23.770902272932474
Acinonyx__BodyMass,0.0036527346548818227,-0.014107904523464757,0.014810034953617051,NA,NA,NA
Acinonyx__geography,0.002530969181639836,-0.029587144541539354,0.0169498959698798,NA,NA,NA
Acinonyx__Humans,0.09256968375296025,0.11916412856533817,0.09034800823919442,NA,NA,NA
Acinonyx__Temperature,0.014212756489165855,0.013743166298029692,0.017670568570344113,NA,NA,NA
Acinonyx__time,0.014152794726726155,0.0009280407090665486,0.026174312784827618,NA,NA,NA
Actiocyon__taxon,0.3066375419183888,0.09404343033171646,0.16696407283670997,2.411982484629816,1.5295868607581742,3.85377499026491
Actiocyon__BodyMass,0.012966510120858574,-0.007546432787240714,0.015961642071659583,NA,NA,NA
Actiocyon__geography,0.09800742948848706,0.013788091065316779,0.06315997420125874,NA,NA,NA
Actiocyon__Humans,-0.23653396371888175,-0.13449014725939626,-0.05828960197662393,NA,NA,NA
Actiocyon__Temperature,-0.007309092087479602,-0.03003487550470169,0.014092911249548897,NA,NA,NA
Actiocyon__time,-0.015389642025118177,-0.03564327904394388,0.009030290587963707,NA,NA,NA
Adcrocuta__taxon,0.2771727427650468,0.06928707725516285,0.1814504120068027,2.7353354895630924,1.256227376292607,3.96295804029385
Adcrocuta__BodyMass,0.0151910503164337,-0.008056736061957281,0.01356304615404025,NA,NA,NA
Adcrocuta__geography,0.013346971589647925,-0.02321639899315532,0.028870089919810916,NA,NA,NA
Adcrocuta__Humans,-0.19715668351751608,-0.13153782103441913,-0.05667421926672934,NA,NA,NA
Adcrocuta__Temperature,0.036730434902496376,0.005123435974563526,0.02658489809904954,NA,NA,NA
Adcrocuta__time,0.013094267640146155,-0.011482770338443955,0.017125062057542894,NA,NA,NA
Adilophontes__taxon,0.36021875798085634,0.026276676862487094,0.1326335173787608,1.9161440052772247,0.3554915258582046,3.267934823756522
Adilophontes__BodyMass,-0.010756041153910451,-0.013943737905208833,0.016065690041789368,NA,NA,NA
Adilophontes__geography,0.08725841349984409,-0.013143830410302884,0.050940062348799685,NA,NA,NA
Adilophontes__Humans,-0.22292251127191937,-0.05334137073444863,-0.02541331413548452,NA,NA,NA
Adilophontes__Temperature,0.03843356605140268,-0.0011142663588626508,0.02872611721986642,NA,NA,NA
Adilophontes__time,-0.09385340141001851,-0.044616684651913416,0.00796721611678526,NA,NA,NA
Aelurocyon__taxon,0.2846678900941466,0.0943678217921612,0.1733505562109394,2.955319519136812,1.9551107074429261,4.262664802401464
Aelurocyon__BodyMass,0.01021292072683908,-0.007588759820333495,0.016262793762015153,NA,NA,NA
Aelurocyon__geography,0.0252540353497167,-0.008162543173305387,0.0287906552444372,NA,NA,NA
Aelurocyon__Humans,-0.17291244951329965,-0.12641739278361086,-0.055639725703867514,NA,NA,NA
Aelurocyon__Temperature,0.043979884058044164,0.0005488685625835644,0.03913260336701405,NA,NA,NA
Aelurocyon__time,-0.03282349701919205,-0.05263120777574435,0.009022406089978693,NA,NA,NA
Aelurodon__taxon,0.33137663851140187,0.031642580821225716,0.14900311300827998,2.055823943014352,0.7459542489602065,3.2816463038129267
Aelurodon__BodyMass,0.03524809104443675,-0.0013049955188145492,0.024468251242344665,NA,NA,NA
Aelurodon__geography,0.07771143073753757,-0.025351170660874802,0.0667319357183066,NA,NA,NA
Aelurodon__Humans,-0.2596131349426436,-0.07201385018975334,-0.05617110923814729,NA,NA,NA
Aelurodon__Temperature,-0.028716787736046766,-0.024269186933203787,0.014624799299677098,NA,NA,NA
Aelurodon__time,0.002372546081569009,-0.008586590716828546,0.01226229894005589,NA,NA,NA
Afrosmilus__taxon,0.29631759934528795,0.035308734735476306,0.15127582354389663,2.494263656195541,1.413518399320975,3.83053528120303
Afrosmilus__BodyMass,0.024989064774978524,0.003742161834077994,0.014198978001984594,NA,NA,NA
Afrosmilus__geography,0.03667082703533768,-0.00662950282764094,0.029260252370258942,NA,NA,NA
Afrosmilus__Humans,-0.17001989481425747,-0.06368747423285402,-0.02512225693040885,NA,NA,NA
Afrosmilus__Temperature,0.0378548808173184,-0.011348242309683617,0.03694968378942658,NA,NA,NA
Afrosmilus__time,-0.06743369346241017,-0.05726889039762504,0.004356808195359006,NA,NA,NA
Agnotherium__taxon,0.28313117412971145,0.04400135884721263,0.14335983237035296,2.453724538892234,1.2974689038299647,3.5533684358580517
Agnotherium__BodyMass,0.0024776098405680743,-0.021046328040693854,0.024293481274358614,NA,NA,NA
Agnotherium__geography,0.042220275320818554,-0.007582499289276493,0.034551587062379686,NA,NA,NA
Agnotherium__Humans,-0.17965451914403927,-0.07933646576766526,-0.03020451621283797,NA,NA,NA
Agnotherium__Temperature,0.029501042235284228,-0.01568413849203246,0.02966382700527376,NA,NA,NA
Agnotherium__time,-0.01929679868608818,-0.020235140455793887,0.009255077470989897,NA,NA,NA
Agriarctos__taxon,0.27996076712806583,0.030109961716572816,0.160882803229745,2.3942166095882116,1.070959446335226,3.8023358280556296
Agriarctos__BodyMass,0.0032990641606012896,-0.023208934688221355,0.0191723570515413,NA,NA,NA
Agriarctos__geography,0.042773403344945636,-0.0017855029019709634,0.03395884823286256,NA,NA,NA
Agriarctos__Humans,-0.20261986878466828,-0.08005106197923446,-0.04353631300114912,NA,NA,NA
Agriarctos__Temperature,0.049342989128572434,0.0015042325392688287,0.03156023839972852,NA,NA,NA
Agriarctos__time,-0.014377571281262073,-0.026451907884664175,0.008881355057788726,NA,NA,NA
Agriotherium__taxon,0.283350350564149,0.04058005617769642,0.1585961269530365,2.076173227315564,0.977193709338182,3.1672309245822583
Agriotherium__BodyMass,0.026780340413756216,-0.014105438456957851,0.03056185224082746,NA,NA,NA
Agriotherium__geography,0.03700158872346467,-0.0022198151364754945,0.03348173127351117,NA,NA,NA
Agriotherium__Humans,-0.2375387027444775,-0.11777813941989668,-0.05614350680663556,NA,NA,NA
Agriotherium__Temperature,0.01378317853994832,-0.009829473472053856,0.014981027247482494,NA,NA,NA
Agriotherium__time,0.03500202819941421,0.0034695971094381344,0.029442058062294933,NA,NA,NA
Ailurarctos__taxon,0.26954455358187357,0.05070956396320514,0.16145014676164818,2.455790356451631,0.9876874334851582,3.7743740596013002
Ailurarctos__BodyMass,0.009402885737926782,-0.025229633743891585,0.022902087155899777,NA,NA,NA
Ailurarctos__geography,0.03638191579738327,-0.005412277120701435,0.032973526378414046,NA,NA,NA
Ailurarctos__Humans,-0.2066809153753085,-0.11409404187745062,-0.04915585419367218,NA,NA,NA
Ailurarctos__Temperature,0.04895739372340095,0.0067661551736276065,0.028895867785046863,NA,NA,NA
Ailurarctos__time,0.0007729502309787983,-0.012622979593038427,0.013853515083180222,NA,NA,NA
Ailuropoda__taxon,0.01410883538599945,-0.40526041009340164,0.041407721868422814,15.58130473466955,6.6113594869311605,21.939426429562186
Ailuropoda__BodyMass,0.0062254995309913115,-0.11067633999715686,0.018036148797344737,NA,NA,NA
Ailuropoda__geography,0.003076156254598837,-0.21482975094603288,0.016483049785651304,NA,NA,NA
Ailuropoda__Humans,0.10116682446905037,0.7367246442503151,0.08960933055392138,NA,NA,NA
Ailuropoda__Temperature,0.01570239865512514,0.07785190336871065,0.017071563704552803,NA,NA,NA
Ailuropoda__time,0.018099069400489786,0.016073166615814812,0.02831147426062394,NA,NA,NA
Ailurus__taxon,0.0326026664018013,0.015187151170714484,0.04338014283356327,18.62437195657939,12.921686888960487,23.35245397231074
Ailurus__BodyMass,0.002854070331274892,-0.0037104977620530774,0.007164779237182466,NA,NA,NA
Ailurus__geography,-0.0003932545501993602,-0.017977266639331094,0.011715547521907916,NA,NA,NA
Ailurus__Humans,0.09156988244059674,0.09417343990386656,0.09906608419585604,NA,NA,NA
Ailurus__Temperature,0.015092564286325945,0.011016818476670187,0.019112103544956204,NA,NA,NA
Ailurus__time,0.016652854786455402,0.0011935680483822657,0.03048063163705107,NA,NA,NA
Aktaucyon__taxon,0.3053176731111493,0.0515624871872127,0.1451521288517672,2.4410799856073915,1.3308289289699258,3.3377479870560665
Aktaucyon__BodyMass,0.00857911687536744,-0.012144207730849172,0.01720185061080242,NA,NA,NA
Aktaucyon__geography,0.04851622328700589,-0.00025186697746586216,0.029911122891777355,NA,NA,NA
Aktaucyon__Humans,-0.1622948991854213,-0.0659386668132121,-0.025669300902202246,NA,NA,NA
Aktaucyon__Temperature,0.020028412985440426,-0.028844823899529762,0.03455113393117614,NA,NA,NA
Aktaucyon__time,-0.06176774337728689,-0.044266134964405124,0.009772353587196109,NA,NA,NA
Albanosmilus__taxon,0.25794325754165526,0.029010955246055493,0.14340267962307848,2.4812310631361947,0.6895426010029935,3.827046685122667
Albanosmilus__BodyMass,0.033257508659998436,-0.003667480538377647,0.026506969390713533,NA,NA,NA
Albanosmilus__geography,0.03754800397492679,-0.006859400226043571,0.036918862176405956,NA,NA,NA
Albanosmilus__Humans,-0.1788329816892659,-0.08292317061551259,-0.0370255004927988,NA,NA,NA
Albanosmilus__Temperature,0.034598547679635355,-0.007009684871680206,0.03414505817983778,NA,NA,NA
Albanosmilus__time,-0.026135552470695135,-0.028434432192690793,0.006971220093280018,NA,NA,NA
Algarolutra__taxon,0.10970314667092555,0.010639503036116773,0.05722795940485154,6.094152027704187,1.3980140303901933,19.680372866222363
Algarolutra__BodyMass,0.006310299015897345,-0.0012254496600476428,0.006466793692948542,NA,NA,NA
Algarolutra__geography,-0.017984424669694195,-0.033224497889421216,0.00838635935114065,NA,NA,NA
Algarolutra__Humans,0.05886364824750052,-0.027851847325442644,0.09296540893041921,NA,NA,NA
Algarolutra__Temperature,-0.029178264433227713,-0.04881786232208213,0.0159289040298502,NA,NA,NA
Algarolutra__time,0.030664378864853355,0.000596940962627539,0.029943863561306804,NA,NA,NA
Allohyaena__taxon,0.23171448853224427,0.08085005042451529,0.1563604402004465,3.428724010352168,1.4276278095178734,5.9965618796003985
Allohyaena__BodyMass,0.025028153243769273,-0.008420675428779605,0.02883661311922945,NA,NA,NA
Allohyaena__geography,0.022327191456528925,-0.014508104489297515,0.033997989057759366,NA,NA,NA
Allohyaena__Humans,-0.14030151380930617,-0.11593620923048593,-0.0444467007096038,NA,NA,NA
Allohyaena__Temperature,0.036593182483276296,-0.0013404140720466873,0.029247581147442935,NA,NA,NA
Allohyaena__time,-0.0169827182102577,-0.040527860402154864,0.006923366155242457,NA,NA,NA
Alopecocyon__taxon,0.3138118113818615,0.11189469979470908,0.19192122145061827,2.44666487150458,1.7042086951121531,3.3838974486167404
Alopecocyon__BodyMass,0.020055431813016944,0.0019217979529733624,0.01790197605972575,NA,NA,NA
Alopecocyon__geography,0.015872005206509526,-0.010252348503747363,0.024340481298448773,NA,NA,NA
Alopecocyon__Humans,-0.22080737666191355,-0.17624599820499354,-0.0752574198567031,NA,NA,NA
Alopecocyon__Temperature,0.042834419599883496,0.009210816857863027,0.04115472810063865,NA,NA,NA
Alopecocyon__time,-0.013387507643102991,-0.03641218109505389,0.010858301917788651,NA,NA,NA
Alopex__taxon,0.022382884501307546,-0.028926999042803724,0.051208152705644314,16.17224269499151,10.039932996371487,23.098217928341278
Alopex__BodyMass,0.0025665469209634573,-0.013688744101748786,0.007918339116931974,NA,NA,NA
Alopex__geography,0.004419238391869128,-0.04870628985402128,0.02499816929927473,NA,NA,NA
Alopex__Humans,0.09776162583417031,0.18588893839739787,0.08291124492245441,NA,NA,NA
Alopex__Temperature,0.01053588607004663,-0.0012171192970335386,0.015736477558556287,NA,NA,NA
Alopex__time,0.020712601977897833,0.006533427096458782,0.028146905367655232,NA,NA,NA
Amblonyx__taxon,0.07392847043402463,0.026407685064998607,0.05265745023587283,9.748537210433778,2.112723579447613,22.38730929368438
Amblonyx__BodyMass,-0.0008447387388468674,-0.020251029512046072,0.010229690344033678,NA,NA,NA
Amblonyx__geography,-0.02549895358569276,-0.07285700013311067,0.00845970891045885,NA,NA,NA
Amblonyx__Humans,0.13019148682117007,0.06449272573630306,0.09487374691198476,NA,NA,NA
Amblonyx__Temperature,-0.04528129630494267,-0.10150862748855514,0.019919254147315824,NA,NA,NA
Amblonyx__time,0.025883815070542503,0.0038330331341608916,0.02477943842085101,NA,NA,NA
Amphictis__taxon,0.3213055378088434,0.12157470790064197,0.1904390683498677,2.4196407905649258,1.6154969706209388,3.4871731323656983
Amphictis__BodyMass,0.020218698808799347,0.0018048110351139017,0.015844429695017488,NA,NA,NA
Amphictis__geography,0.015655154933361674,-0.012172640511645906,0.020022710664824014,NA,NA,NA
Amphictis__Humans,-0.2114467409293253,-0.16295643257618014,-0.06059792814338456,NA,NA,NA
Amphictis__Temperature,0.04333433017979781,0.0021800937110022303,0.036552915077293434,NA,NA,NA
Amphictis__time,-0.03068819710522206,-0.05031375275718137,0.00865809332689885,NA,NA,NA
Amphicyon__taxon,0.22765414700506711,0.035366618375301855,0.1270326908166752,3.012614642694709,1.0225001970184564,5.39157617813295
Amphicyon__BodyMass,0.023285731305906297,-0.01910047417849045,0.02898802677904457,NA,NA,NA
Amphicyon__geography,0.00976777502427344,-0.022766179334574848,0.04085913142894748,NA,NA,NA
Amphicyon__Humans,-0.14957447108617342,-0.08141659623113537,-0.03647128029691676,NA,NA,NA
Amphicyon__Temperature,0.023656646810267284,-0.00832456329002421,0.029339887436888874,NA,NA,NA
Amphicyon__time,0.023588954636914135,-0.0036420185393263066,0.021170832805877608,NA,NA,NA
Amphicyonopsis__taxon,0.2836920861256029,0.03862182018793271,0.1426676455156045,2.427390215339934,1.3378817752652499,3.5626106561191166
Amphicyonopsis__BodyMass,0.0027915187555707668,-0.019730745285330635,0.02280830853601935,NA,NA,NA
Amphicyonopsis__geography,0.04212110883861445,-0.008501891385076154,0.03481802736124039,NA,NA,NA
