feature1,feature2,feature1_state,feature2_state,posterior_probability,magnitude_effect,magnitude_lwr_CI,magnitude_upr_CI,shap,lwr_shap,upr_shap,delta_lik,lwr_delta_lik,upr_delta_lik,rank
taxon,none,Amphicyonidae_Canidae,none,0.9,0.6194091095772055,0.1582057162798032,1.1574436472993868,0.16417237223791192,0.10328241986098773,0.22735485808399894,-184.07881211157888,-304.62970651611874,-77.82480126378164,2.0
taxon,none,Amphicyonidae_Felidae,none,1.0,0.2953467302752144,0.05312927834862077,0.5660375516496217,0.16417237223791192,0.10328241986098773,0.22735485808399894,-184.07881211157888,-304.62970651611874,-77.82480126378164,2.0
taxon,none,Amphicyonidae_FeliformiaOther,none,0.62,1.0368952368882487,0.2465323099844321,2.098062634244318,0.16417237223791192,0.10328241986098773,0.22735485808399894,-184.07881211157888,-304.62970651611874,-77.82480126378164,2.0
taxon,none,Amphicyonidae_Hyaenidae,none,0.95,0.5234129502740528,0.13280559864852903,0.9425858409817351,0.16417237223791192,0.10328241986098773,0.22735485808399894,-184.07881211157888,-304.62970651611874,-77.82480126378164,2.0
taxon,none,Amphicyonidae_Musteloidea,none,1.0,0.36269524736700115,0.09323063804269956,0.703701507092818,0.16417237223791192,0.10328241986098773,0.22735485808399894,-184.07881211157888,-304.62970651611874,-77.82480126378164,2.0
taxon,none,Amphicyonidae_Ursidae,none,0.89,0.6089387083013249,0.10736548925729307,1.1535248634392727,0.16417237223791192,0.10328241986098773,0.22735485808399894,-184.07881211157888,-304.62970651611874,-77.82480126378164,2.0
taxon,none,Amphicyonidae_Viverridae,none,0.92,0.5157433847813785,0.10035288617062242,1.1284620778577226,0.16417237223791192,0.10328241986098773,0.22735485808399894,-184.07881211157888,-304.62970651611874,-77.82480126378164,2.0
taxon,none,Canidae_Felidae,none,0.96,0.5142410325169378,0.10144108617884304,0.8700860634645533,0.16417237223791192,0.10328241986098773,0.22735485808399894,-184.07881211157888,-304.62970651611874,-77.82480126378164,2.0
taxon,none,Canidae_FeliformiaOther,none,0.84,1.9437830324312688,0.5183684734965534,4.623542283027161,0.16417237223791192,0.10328241986098773,0.22735485808399894,-184.07881211157888,-304.62970651611874,-77.82480126378164,2.0
taxon,none,Canidae_Hyaenidae,none,0.62,0.9723299331831879,0.38142303384170817,1.9334688006799778,0.16417237223791192,0.10328241986098773,0.22735485808399894,-184.07881211157888,-304.62970651611874,-77.82480126378164,2.0
taxon,none,Canidae_Musteloidea,none,0.97,0.6119997090540066,0.2452694743492911,0.9620760879151816,0.16417237223791192,0.10328241986098773,0.22735485808399894,-184.07881211157888,-304.62970651611874,-77.82480126378164,2.0
taxon,none,Canidae_Ursidae,none,0.57,1.1111585350030864,0.28964032717563193,2.227021627791154,0.16417237223791192,0.10328241986098773,0.22735485808399894,-184.07881211157888,-304.62970651611874,-77.82480126378164,2.0
taxon,none,Canidae_Viverridae,none,0.73,0.8887201352762066,0.31363404182374044,1.6701726811156157,0.16417237223791192,0.10328241986098773,0.22735485808399894,-184.07881211157888,-304.62970651611874,-77.82480126378164,2.0
taxon,none,Felidae_FeliformiaOther,none,1.0,4.083603673580272,1.0933946654516975,9.147765619539499,0.16417237223791192,0.10328241986098773,0.22735485808399894,-184.07881211157888,-304.62970651611874,-77.82480126378164,2.0
taxon,none,Felidae_Hyaenidae,none,0.92,2.056710373248637,0.6728866037497394,3.9468910042684686,0.16417237223791192,0.10328241986098773,0.22735485808399894,-184.07881211157888,-304.62970651611874,-77.82480126378164,2.0
taxon,none,Felidae_Musteloidea,none,0.8,1.3131569858966838,0.6452069175272843,2.1432711064555656,0.16417237223791192,0.10328241986098773,0.22735485808399894,-184.07881211157888,-304.62970651611874,-77.82480126378164,2.0
taxon,none,Felidae_Ursidae,none,0.94,2.2792576527795076,0.8941945130334542,4.568476271846242,0.16417237223791192,0.10328241986098773,0.22735485808399894,-184.07881211157888,-304.62970651611874,-77.82480126378164,2.0
taxon,none,Felidae_Viverridae,none,0.83,1.9229830009418771,0.5377042353603931,4.033595588070711,0.16417237223791192,0.10328241986098773,0.22735485808399894,-184.07881211157888,-304.62970651611874,-77.82480126378164,2.0
taxon,none,FeliformiaOther_Hyaenidae,none,0.91,0.5874937317304711,0.2256553131045824,1.155729675673889,0.16417237223791192,0.10328241986098773,0.22735485808399894,-184.07881211157888,-304.62970651611874,-77.82480126378164,2.0
taxon,none,FeliformiaOther_Musteloidea,none,0.99,0.39630594594064045,0.11319388663811422,0.7258628528052506,0.16417237223791192,0.10328241986098773,0.22735485808399894,-184.07881211157888,-304.62970651611874,-77.82480126378164,2.0
taxon,none,FeliformiaOther_Ursidae,none,0.83,0.6792224548139838,0.09949540704158082,1.4772893746763602,0.16417237223791192,0.10328241986098773,0.22735485808399894,-184.07881211157888,-304.62970651611874,-77.82480126378164,2.0
taxon,none,FeliformiaOther_Viverridae,none,0.91,0.5617788719254063,0.11032859497544278,1.3168952010272206,0.16417237223791192,0.10328241986098773,0.22735485808399894,-184.07881211157888,-304.62970651611874,-77.82480126378164,2.0
taxon,none,Hyaenidae_Musteloidea,none,0.85,0.7378983380965239,0.2383838655801257,1.349999124297935,0.16417237223791192,0.10328241986098773,0.22735485808399894,-184.07881211157888,-304.62970651611874,-77.82480126378164,2.0
taxon,none,Hyaenidae_Ursidae,none,0.6,1.2630440212696061,0.34982725078940574,2.8691684579136627,0.16417237223791192,0.10328241986098773,0.22735485808399894,-184.07881211157888,-304.62970651611874,-77.82480126378164,2.0
taxon,none,Hyaenidae_Viverridae,none,0.58,1.0798600576525264,0.12131396474746388,2.38200895336937,0.16417237223791192,0.10328241986098773,0.22735485808399894,-184.07881211157888,-304.62970651611874,-77.82480126378164,2.0
taxon,none,Musteloidea_Ursidae,none,0.86,1.8365936362842732,0.5315532539694925,3.1233323810555644,0.16417237223791192,0.10328241986098773,0.22735485808399894,-184.07881211157888,-304.62970651611874,-77.82480126378164,2.0
taxon,none,Musteloidea_Viverridae,none,0.74,1.4441004669725248,0.674966137695361,2.5162493637863985,0.16417237223791192,0.10328241986098773,0.22735485808399894,-184.07881211157888,-304.62970651611874,-77.82480126378164,2.0
taxon,none,Ursidae_Viverridae,none,0.67,0.9691819653041618,0.2696857980816469,2.0786117452709743,0.16417237223791192,0.10328241986098773,0.22735485808399894,-184.07881211157888,-304.62970651611874,-77.82480126378164,2.0
BodyMass,none,none,none,0.83,1.797598980788203,0.7851998165913968,3.6512349988242394,0.07316886576383914,0.0313960769995259,0.1351003427139451,-96.82470538580486,-173.21997729430495,-26.495168560932143,4.0
geography,none,Eurasia_NAmerica,none,0.95,0.6454031029733764,0.3251132868135075,0.9800218191417341,0.15380546294151654,0.08116266175916882,0.2526950590352038,-191.21200048753815,-315.72113718697756,-88.26232164816292,3.0
Temperature,none,none,none,0.99,8.588558007433429,3.21811209000975,19.140221732549477,0.2036915779212439,0.0981725886424032,0.30511565500925525,-261.80885576609916,-409.50848702803637,-123.07587796993198,1.0
