feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.1736165890388654,0.15298136372568363,0.19963986901528627,NA,NA,NA
Acinonyx__taxon,0.1787882780085682,0.011117992340591668,0.11894469558504799,0.7987251996645862,0.19687956980608595,1.4741303057902988
Acinonyx__BodyMass,0.01810909192584076,-0.028857034914311113,0.03195746491112941,NA,NA,NA
Acinonyx__geography,0.015253662012866168,-0.04886447210440746,0.02426293897113456,NA,NA,NA
Acinonyx__Temperature,-0.02842436504370617,-0.0530501146912732,0.009408547253144703,NA,NA,NA
Acinonyx__time,-0.010110077864703554,-0.033327734356283535,0.015066222294829635,NA,NA,NA
Actiocyon__taxon,0.36422661240104276,0.010673502566170162,0.11174830168499733,0.36440444395784044,0.06987081139839182,0.7319256705977645
Actiocyon__BodyMass,-0.07081090257942008,-0.03627322963966025,0.011417665054582459,NA,NA,NA
Actiocyon__geography,0.10916344631450366,-0.04262473522232913,0.06790454508942488,NA,NA,NA
Actiocyon__Temperature,-0.2503165265017034,-0.07407380000141585,-0.009986190425587484,NA,NA,NA
Actiocyon__time,0.016773968295442192,-0.010683101428448583,0.018555547611869068,NA,NA,NA
Adcrocuta__taxon,0.19370132026454664,0.0027710862468369084,0.11317562588407781,0.45691225172167976,0.1599962257362441,0.7175002851002702
Adcrocuta__BodyMass,0.03406490016623479,-0.014286958855861018,0.026656010314347597,NA,NA,NA
Adcrocuta__geography,-0.012579202198065477,-0.06365334976679471,0.03810564557082398,NA,NA,NA
Adcrocuta__Temperature,-0.022469794068734752,-0.040531581431965114,0.015965985534002566,NA,NA,NA
Adcrocuta__time,-0.019100635125115794,-0.037280559917899685,0.00573660171203431,NA,NA,NA
Adilophontes__taxon,-0.0944800959349998,-0.06364670482811352,0.03935988575637296,0.20617978916008395,0.0,0.5818031609246868
Adilophontes__BodyMass,0.059158947944604405,-0.031890710897989095,0.057646358227913565,NA,NA,NA
Adilophontes__geography,0.14067736460368102,-0.014046109959254616,0.08860052148313993,NA,NA,NA
Adilophontes__Temperature,-0.10559349834242746,-0.03668294423148778,-0.006973611402084511,NA,NA,NA
Adilophontes__time,0.020755943676335053,-0.0067148938088386016,0.021006714949944345,NA,NA,NA
Aelurocyon__taxon,0.2622991628331759,0.037920599985992426,0.13035032194444743,0.3899880874551723,0.2148746762024161,0.6042776648711795
Aelurocyon__BodyMass,-0.07867174816458032,-0.08000266216605556,0.004713121088188398,NA,NA,NA
Aelurocyon__geography,-0.020468081436407905,-0.07070985007736186,0.029559849967650292,NA,NA,NA
Aelurocyon__Temperature,0.008988473359999057,-0.021717886614187446,0.024266580952943102,NA,NA,NA
Aelurocyon__time,0.001468782446678656,-0.01847156485407117,0.01074999506205702,NA,NA,NA
Aelurodon__taxon,0.005138847490154765,-0.12957026193081356,0.041404418805220285,1.0745810648247218,0.0,1.8692417410409827
Aelurodon__BodyMass,0.009967773969474417,-0.0432070854733118,0.02701106209763844,NA,NA,NA
Aelurodon__geography,0.06843401556240213,0.014067458611824445,0.05716935774730226,NA,NA,NA
Aelurodon__Temperature,0.08304819058440042,0.040960159340424726,0.05570595663337438,NA,NA,NA
Aelurodon__time,0.007027761432433644,-0.03523163427380749,0.018349073731750893,NA,NA,NA
Afrosmilus__taxon,-0.15624683195963104,-0.09717725315365618,0.05380470123158058,0.16927157244406602,0.0,0.5737164427848398
Afrosmilus__BodyMass,0.042939907368746935,-0.005143004346129548,0.02587069432105392,NA,NA,NA
Afrosmilus__geography,-0.037620275940672195,-0.05050765742472421,0.041716575773172296,NA,NA,NA
Afrosmilus__Temperature,0.10378623898196623,0.004377932989566369,0.04939374863154922,NA,NA,NA
Afrosmilus__time,0.027529233425980286,-0.004531381790740052,0.028854149057930278,NA,NA,NA
Agnotherium__taxon,-0.06343993525526408,-0.10952911357491822,0.021542788161262573,0.4982900403983046,0.198918766683202,1.0018264455570716
Agnotherium__BodyMass,0.09771066350896243,-0.010888167956949402,0.06807534968174192,NA,NA,NA
Agnotherium__geography,0.03592976724274095,-0.032475591964957175,0.0437055985271937,NA,NA,NA
Agnotherium__Temperature,0.08474146495629213,0.00621386307950706,0.04555548534354878,NA,NA,NA
Agnotherium__time,0.018674628586133946,-0.006302353308365885,0.02076064730153932,NA,NA,NA
Agriarctos__taxon,-0.1615504852459992,-0.08293525493121286,0.07062205611232525,0.17697404857961477,0.0,0.6864575745189043
Agriarctos__BodyMass,0.07531347236900289,-0.02617209865586639,0.04763243782128723,NA,NA,NA
Agriarctos__geography,0.02531676541527553,-0.03161034585427567,0.042594819074103965,NA,NA,NA
Agriarctos__Temperature,0.041673801761861966,-0.007119532509643617,0.030682009984733243,NA,NA,NA
Agriarctos__time,0.004545995633503991,-0.005144131774685094,0.008108546022836585,NA,NA,NA
Agriotherium__taxon,-0.03757284659944123,-0.0701362275352659,0.08789714599696076,0.04105943132911977,0.0,0.23196934721306212
Agriotherium__BodyMass,0.09118771237017187,-0.010284885452979089,0.10504767783650767,NA,NA,NA
Agriotherium__geography,-0.1454889552758906,-0.046364138396847526,-0.014801393465889287,NA,NA,NA
Agriotherium__Temperature,-0.05887326778223764,-0.021075170246763995,0.0050975029035687,NA,NA,NA
Agriotherium__time,0.002058590438006686,-0.005120942093827109,0.016398935744138386,NA,NA,NA
Ailurarctos__taxon,-0.04370698125959217,-0.07503545009883689,0.10041293038534375,0.18323583178939223,0.0,0.4562817796310039
Ailurarctos__BodyMass,0.03652118563591899,-0.02870221732646435,0.036746673614971,NA,NA,NA
Ailurarctos__geography,0.020450551646585217,-0.025945010862858227,0.040782127050854655,NA,NA,NA
Ailurarctos__Temperature,-0.01974050613155623,-0.015132534881181775,0.012556613589583232,NA,NA,NA
Ailurarctos__time,-0.0010042130990002701,-0.00816615055634238,0.009141524374533647,NA,NA,NA
Ailuropoda__taxon,0.10383148596470651,-0.03714040739332586,0.11845491778841002,0.2511440515160835,0.014200205180966957,0.6423800798994472
Ailuropoda__BodyMass,0.020794919970204863,-0.032492704287552916,0.031166785534848633,NA,NA,NA
Ailuropoda__geography,0.02402073337297255,-0.030121062346150414,0.030865766348710296,NA,NA,NA
Ailuropoda__Temperature,-0.08979561490084435,-0.03237329789807095,-0.003452849504198252,NA,NA,NA
Ailuropoda__time,0.0028996234533551,-0.020853891800583467,0.022605248847515583,NA,NA,NA
Ailurus__taxon,0.20586996363292134,0.05524023776144967,0.10835877991957353,0.43024349041931453,0.24305991545654304,0.6641432006107316
Ailurus__BodyMass,0.000995916700197127,-0.022841305277504862,0.012628521915513911,NA,NA,NA
Ailurus__geography,0.053525426375868816,-0.0261274513434272,0.04232365644944733,NA,NA,NA
Ailurus__Temperature,-0.09716801924844212,-0.10530925772575314,-0.004458416846549264,NA,NA,NA
Ailurus__time,0.01039330157832026,-0.05394358714044811,0.040787327577300775,NA,NA,NA
