feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.17290710430583367,0.14478270875126184,0.20380632399212167,NA,NA,NA
Acinonyx__taxon,0.07601628172010505,0.0774335989676041,0.08872948398131372,14.363068184983108,9.623066165241788,18.88195882885218
Acinonyx__BodyMass,0.004705156527889413,-0.008913014229323023,0.014964665254681582,NA,NA,NA
Acinonyx__geography,0.0034158622726688068,-0.025506762774140053,0.010693291909052062,NA,NA,NA
Acinonyx__Temperature,0.003260814270012276,-0.012259824086489431,0.01061990955629827,NA,NA,NA
Acinonyx__time,0.08550898951515813,0.11402871087361023,0.07879897329077605,NA,NA,NA
Actiocyon__taxon,0.3412528413179818,0.10137556292111356,0.1693519296639949,1.7710302629548993,0.8790963808523254,2.316434211372167
Actiocyon__BodyMass,0.01585729339197551,-0.0035870167633231128,0.012078171569741777,NA,NA,NA
Actiocyon__geography,0.05061140883392961,0.010563836289910217,0.03105705182759958,NA,NA,NA
Actiocyon__Temperature,0.0988358550038676,0.0246557209788513,0.0621371871916023,NA,NA,NA
Actiocyon__time,-0.3336502942419208,-0.2777908121778138,-0.07081801626081687,NA,NA,NA
Adcrocuta__taxon,-0.06518105265694653,-0.05678664533481253,0.07080049205179449,0.535700513686212,0.0,1.726139059905568
Adcrocuta__BodyMass,0.16458036691658148,7.787517722082594e-05,0.02710156793334031,NA,NA,NA
Adcrocuta__geography,0.6065079128398368,0.019236397294023287,0.06574861791664754,NA,NA,NA
Adcrocuta__Temperature,0.17541386148459223,-0.026509226562967093,0.05017511006076856,NA,NA,NA
Adcrocuta__time,-0.7084139842782304,-0.08080110932472633,-0.010019463970429262,NA,NA,NA
Adilophontes__taxon,0.41850350107653905,-0.03267164482371779,0.09975672859013675,0.5225737903655943,0.0,1.042754430802805
Adilophontes__BodyMass,0.13122302079778345,-0.0011575883150841987,0.02249274789920019,NA,NA,NA
Adilophontes__geography,0.2725116228662583,0.007480900549732518,0.0347644533876523,NA,NA,NA
Adilophontes__Temperature,0.5583416147980108,0.010841955756337585,0.07666396893720975,NA,NA,NA
Adilophontes__time,-1.2076726552327581,-0.12927633191852997,-0.029871574822077307,NA,NA,NA
Aelurocyon__taxon,0.3149926890994761,0.30094905160176394,0.18169484089660878,2.0117421487037657,1.4759912758993585,2.5563515006420854
Aelurocyon__BodyMass,0.008959697706793867,-0.014031413203836742,0.011749665722440412,NA,NA,NA
Aelurocyon__geography,0.058660947591799475,0.03952067987228733,0.043634354659429955,NA,NA,NA
Aelurocyon__Temperature,0.09857653717081367,0.06652391534013205,0.07566908133828273,NA,NA,NA
Aelurocyon__time,-0.3082827672630494,-0.5377449423616084,-0.10894161862464022,NA,NA,NA
Aelurodon__taxon,0.30482698087018206,-0.006920860055416183,0.13514382221883522,0.8028297519535225,0.033906738158746785,1.7722231746536805
Aelurodon__BodyMass,0.11585065231947783,0.004080685614174047,0.033539956391219705,NA,NA,NA
Aelurodon__geography,0.21169790056898308,0.012562838415951755,0.058451116027694996,NA,NA,NA
Aelurodon__Temperature,0.27200589350481424,0.017975952545690323,0.05777860472324122,NA,NA,NA
Aelurodon__time,-0.7314743229576236,-0.17248132527166177,-0.0811071753688695,NA,NA,NA
Afrosmilus__taxon,0.34279292665797134,0.11120043122629074,0.1644497992531677,1.8891783186126088,0.5341957573630638,2.7946190458663787
Afrosmilus__BodyMass,0.02061379008144004,0.005377645573830064,0.008843515827265011,NA,NA,NA
Afrosmilus__geography,0.053506748953814,0.01008285525302061,0.025946805738990778,NA,NA,NA
Afrosmilus__Temperature,0.10565900523383094,0.017625705082976305,0.052081423450158044,NA,NA,NA
Afrosmilus__time,-0.34966536662122266,-0.28906934588737954,-0.04751522027745983,NA,NA,NA
Agnotherium__taxon,0.2718638566174284,-0.032906694958543585,0.09693259026173282,0.46798422349770824,0.0,1.0559297089122304
Agnotherium__BodyMass,0.18212863891183537,-0.004636542742708946,0.03800667000986357,NA,NA,NA
Agnotherium__geography,0.39524296552457566,0.012246860744225178,0.044753492066780615,NA,NA,NA
Agnotherium__Temperature,0.5774696273667257,0.018290058588805346,0.06067921464238645,NA,NA,NA
Agnotherium__time,-1.2537979841147315,-0.13777639038303985,-0.03656564298864179,NA,NA,NA
Agriarctos__taxon,0.3107257011421308,0.025516070772021514,0.16593272215214822,1.6794603586830887,0.7817649474750106,2.7817382219113633
Agriarctos__BodyMass,0.033798135649465544,-0.005215341857774822,0.024567617718342028,NA,NA,NA
Agriarctos__geography,0.07880431734905725,0.011317114435837274,0.04823047728574616,NA,NA,NA
Agriarctos__Temperature,0.10636894998568494,0.027016939725319544,0.05457671580274178,NA,NA,NA
Agriarctos__time,-0.35678999982050486,-0.20341749182666535,-0.08950120896685651,NA,NA,NA
Agriotherium__taxon,-0.47909451303615086,-0.07299589811061734,0.025892457396222236,0.0,0.0,0.8184232717359665
Agriotherium__BodyMass,0.2685698486332667,0.0004015312495202859,0.04902922393319384,NA,NA,NA
Agriotherium__geography,0.43856323940057995,0.011327488794287204,0.0681932908463447,NA,NA,NA
Agriotherium__Temperature,-0.8759931007991469,-0.07852635677789763,-0.021918742452618867,NA,NA,NA
Agriotherium__time,0.47504742149561746,-0.004989473906554367,0.08261009426897979,NA,NA,NA
Ailurarctos__taxon,0.2646760535744247,-0.03034255795617296,0.12813691268231517,1.1283690839643026,0.0,2.2342422894789795
Ailurarctos__BodyMass,0.06702455990368653,0.002473538721547373,0.027612302389235198,NA,NA,NA
Ailurarctos__geography,0.16208919039901823,0.009527840468014566,0.050446206625765044,NA,NA,NA
Ailurarctos__Temperature,0.18298900008952584,0.017941867956520217,0.052107018249794884,NA,NA,NA
Ailurarctos__time,-0.5038716996608217,-0.14438339794117103,-0.05449611595498862,NA,NA,NA
Ailuropoda__taxon,0.06728009299775459,0.06030213828580104,0.08071934311730534,13.667822304102565,7.778276568036039,17.353998907022806
Ailuropoda__BodyMass,0.011569104771696486,-0.009312411695841266,0.024976495699112134,NA,NA,NA
Ailuropoda__geography,0.003938497819501853,-0.030121064880256936,0.012782929263669935,NA,NA,NA
Ailuropoda__Temperature,0.001435742865411303,-0.02906502386408093,0.008404082697306957,NA,NA,NA
Ailuropoda__time,0.08868366585146945,0.15297907090563992,0.07692347321472731,NA,NA,NA
Ailurus__taxon,0.07011308381230917,0.06884759976905418,0.07928495401083732,14.849429913029047,12.16784401997418,18.305895243137922
Ailurus__BodyMass,9.93598723184548e-05,-0.006206151929167259,0.006043154035605455,NA,NA,NA
Ailurus__geography,0.007038461191393078,-0.002745721398212125,0.014306112232049669,NA,NA,NA
Ailurus__Temperature,0.006046576216445161,-0.0060331977238825395,0.011595999974283018,NA,NA,NA
Ailurus__time,0.08960962321336781,0.09092018003346958,0.09257610373934623,NA,NA,NA
Aktaucyon__taxon,0.4150352811834049,-0.027820829026262824,0.10218995934888771,0.4945754838150143,0.0,1.0305421910830328
Aktaucyon__BodyMass,0.15016861354938954,0.001595280825154184,0.022025663179743877,NA,NA,NA
