feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.16966161826316462,0.14339241316600487,0.20023448047173853,NA,NA,NA
Acinonyx__taxon,0.13181354404160703,0.020229292043769772,0.09834233879644395,0.840283490342322,0.26747700421819376,1.4460446400855211
Acinonyx__BodyMass,0.019839877898479047,-0.032108378810823686,0.02636460535001779,NA,NA,NA
Acinonyx__geography,0.0585409360368233,0.0025880665186922003,0.05141088952768779,NA,NA,NA
Acinonyx__Temperature,0.01775508194078499,-0.016836579102641143,0.022145103548231085,NA,NA,NA
Acinonyx__time,-0.05828782165452979,-0.117264813815002,0.0019715432493578986,NA,NA,NA
Actiocyon__taxon,0.20333849366858117,-0.005148996277380684,0.09657030223678462,0.3682411433171569,0.06278377604841598,0.7497912128656481
Actiocyon__BodyMass,-0.04993845038409964,-0.03940770752638276,0.013353158953291904,NA,NA,NA
Actiocyon__geography,-0.015841465780774062,-0.060186642953233005,0.03601830899411061,NA,NA,NA
Actiocyon__Temperature,-0.007659514800101291,-0.025831971020395295,0.01750799450122135,NA,NA,NA
Actiocyon__time,0.03976255555955843,-0.01281709538861313,0.03678471578633002,NA,NA,NA
Adcrocuta__taxon,0.1286618057818583,-0.025511750703378747,0.10077884079988272,0.5686021358276625,0.1639066123045722,1.1653598957121478
Adcrocuta__BodyMass,0.01953096533736622,-0.012539329130686836,0.02286865105050383,NA,NA,NA
Adcrocuta__geography,0.07994235988336688,0.00688626792609823,0.04722435150421277,NA,NA,NA
Adcrocuta__Temperature,0.009177344127457581,-0.02223851923655138,0.022909736011926606,NA,NA,NA
Adcrocuta__time,-0.06765085686688435,-0.08998908202148613,0.006452901105212591,NA,NA,NA
Adilophontes__taxon,0.0007092157794575536,-0.06178405487008152,0.06417570458005009,0.3062904950199001,0.0,0.6558388557311938
Adilophontes__BodyMass,0.03710679966596599,-0.03319569587552195,0.04527912541030538,NA,NA,NA
Adilophontes__geography,-0.004649576748113568,-0.03724817934599552,0.035412452989695975,NA,NA,NA
Adilophontes__Temperature,-0.026162829305020195,-0.015297781159938375,0.013779814090620356,NA,NA,NA
Adilophontes__time,0.12962526736444568,0.004133298085532524,0.04158738340106672,NA,NA,NA
Aelurocyon__taxon,0.16498617464438725,-0.013977072927062411,0.11721018340021891,0.44536065638711975,0.21320562001973284,0.6837219296240087
Aelurocyon__BodyMass,-0.05812342411463006,-0.05999017088587878,0.0068138420569085175,NA,NA,NA
Aelurocyon__geography,0.09713078512769024,0.003945692914932968,0.059289060547913185,NA,NA,NA
Aelurocyon__Temperature,0.004636089775083406,-0.025613574497269583,0.015538604149078844,NA,NA,NA
Aelurocyon__time,-0.03896800716936624,-0.04775728777072703,0.001382790317619066,NA,NA,NA
Aelurodon__taxon,-0.055099579140244194,-0.06999627137995933,0.043446347100615866,0.4851369725698102,0.0,1.4394338468855306
Aelurodon__BodyMass,0.04585033531506363,-0.008816535984321293,0.03904124213932082,NA,NA,NA
Aelurodon__geography,0.015629432882007244,-0.05574479940105792,0.04320034173451574,NA,NA,NA
Aelurodon__Temperature,-0.0154857289245407,-0.022239970760763863,0.009493692797878445,NA,NA,NA
Aelurodon__time,0.17876715813087865,0.013405164360097529,0.06505285669940762,NA,NA,NA
Afrosmilus__taxon,-0.08532326631751676,-0.09293171855888196,0.059496476418847595,0.36817197973327664,0.009547046512524165,0.8304321309660329
Afrosmilus__BodyMass,0.03633975823181259,-0.009133200780301,0.020343137737669055,NA,NA,NA
Afrosmilus__geography,0.13396801717079143,-0.00954481025603385,0.06357725305493953,NA,NA,NA
Afrosmilus__Temperature,-0.03608439041714429,-0.03515388238465133,0.010164718085500745,NA,NA,NA
Afrosmilus__time,0.12076149959522164,0.0033711988138632456,0.0466528951747816,NA,NA,NA
Agnotherium__taxon,-0.006661541253233072,-0.08909246609676963,0.03837436805552183,0.6554042877415022,0.1630099459134251,1.1371814882832354
Agnotherium__BodyMass,0.06526045548279788,-0.010127549621856954,0.06039045039779819,NA,NA,NA
Agnotherium__geography,0.07379111496783979,0.007129123031682535,0.05456689139377718,NA,NA,NA
Agnotherium__Temperature,-0.016775423269536474,-0.061869602415520926,0.0124513519935383,NA,NA,NA
Agnotherium__time,0.0540470123352965,0.01056808193646013,0.03445141863110307,NA,NA,NA
Agriarctos__taxon,-0.1679364495542839,-0.09526757809519965,0.0394878992646669,0.26842012156925504,0.0,0.758736004759303
Agriarctos__BodyMass,0.10276387377293625,-0.007903245533754719,0.06562938888893055,NA,NA,NA
Agriarctos__geography,0.18562128022079274,-0.0018444571062422154,0.060434700035150925,NA,NA,NA
Agriarctos__Temperature,0.0190225780496286,-0.018319093192996797,0.024253818384664345,NA,NA,NA
Agriarctos__time,-0.04071277918298321,-0.020058039237811503,0.01042867389832581,NA,NA,NA
Agriotherium__taxon,-0.029987934299164937,-0.05489339819666379,0.0787019527687659,0.028816606083419818,0.0,0.30985969244337497
Agriotherium__BodyMass,0.13442872720143834,0.00026094982315903617,0.10679520760198792,NA,NA,NA
