Age	Temperature	Humans
0	-1.16467914245729	0
0.002	-1.23123895460452	0
0.004	-1.18464708610146	0
0.006	-1.54673246418239	0
0.008	-1.75040548935292	0
0.01	-3.03500986379447	0
0.012	-2.89523425828528	0
0.014	-3.60476185577476	0
0.016	-3.57414434218703	0
0.018	-3.50359094131097	0
0.02	-3.35449696210117	0
0.022	-3.20140939416254	0
0.024	-3.16546709560304	0
0.026	-3.03234747130858	0
0.028	-3.04166584500919	0
0.03	-3.1015696759417	0
0.032	-2.91120861320062	0
0.034	-2.91786459441534	0
0.036	-2.78208257763499	0
0.038	-2.80870650249388	0
0.04	-2.81536248370861	0
0.042	-2.88192229585584	0
0.044	-2.70221080305831	0
0.046	-2.76477702647671	0
0.048	-2.77542659642027	0
0.05	-2.77542659642027	0
0.052	-2.77542659642027	0
0.054	-2.63964457963992	0
0.056	-2.76211463399082	0
0.058	-2.78873855884971	0
0.06	-2.97111244413312	0
0.062	-3.05764019992453	0
0.064	-3.0150419201503	0
0.066	-3.09491369472697	0
0.068	-2.83533042735278	0
0.07	-2.63964457963992	0
0.072	-2.50918734783135	0
0.074	-2.50918734783135	0
0.076	-2.29619594896021	0
0.078	-2.20301221195409	0
0.08	-2.08320455008907	0
0.082	-2.12314043737741	0
0.084	-2.01265114921301	0
0.086	-2.12314043737741	0
0.088	-2.30551432266082	0
0.09	-2.70886678427304	0
0.092	-2.48522581545834	0
0.094	-2.26291604288659	0
0.096	-2.41999719955406	0
0.098	-2.26291604288659	0
0.1	-2.25626006167187	0
0.102	-2.10317249373324	0
0.104	-1.81696530150015	0
0.106	-1.96339688822406	0
0.108	-1.93677296336516	0
0.11	-2.13645239980686	0
0.112	-2.22564254808414	0
0.114	-2.46925146054301	0
0.116	-2.38937968596633	0
0.118	-2.29619594896021	0
0.12	-2.30551432266082	0
0.122	-1.81696530150015	0
0.124	-1.57734997777012	0
0.126	-1.42692480231738	0
0.128	-1.15402957251373	0
0.13	-1.44156796098977	0
0.132	-2.14577077350747	0
0.134	-3.26397561758094	0
0.136	-3.43436873667785	0
0.138	-3.40108883060423	0
0.14	-3.53420845489869	0
0.142	-3.33053542972817	0
0.144	-3.38777686817479	0
0.146	-3.04166584500919	0
0.148	-3.07760814356869	0
0.15	-3.14816154444476	0
0.152	-2.77542659642027	0
