Canidae	Musteloidea	Amphicyonidae	Eurasia	Less10kg	Borophagus
Aelurodon	Actiocyon	Adilophontes	Acinonyx	Xenictis	Borophagus
Alopex	Aelurocyon	Agnotherium	Adcrocuta	Sminthosinis	
Borophagus	Ailurus	Aktaucyon	Afrosmilus	Spilogale	
Canis	Algarolutra	Amphicyon	Agnotherium	Chamitataxus	
Carpocyon	Alopecocyon	Amphicyonopsis	Agriarctos	Mustela	
Cerdocyon	Amblonyx	Crassidia	Agriotherium	Miomustela	
Chrysocyon	Amphictis	Cynelos	Ailurarctos	Tisisthenes	
Cormocyon	Anatolictis	Daphoenodon	Ailuropoda	Baranogale	
Cuon	Angustictis	Daphoenus	Aktaucyon	Vormela	
Cynarctoides	Aonyx	Haplocyon	Albanosmilus	Brevimalictis	
Cynarctus	Arctomeles	Haplocyonoides	Allohyaena	Prionodon	
Cynotherium	Arctonasua	Ictiocyon	Amphicyon	Grivamephitis	
Desmocyon	Arctonyx	Ischyrocyon	Amphicyonopsis	Semantor	
Ectopocynus	Baranogale	Maemohcyon	Amphimachairodus	Martinogale	
Enhydrocyon	Bassaricyon	Magericyon	Arctictis	Protarctos	
Epicyon	Bassaricyonoides	Mammacyon	Arctogalidia	Buisnictis	
Eucyon	Bassariscus	Meiniogale	Ballusia	Osmotherium	
Euoplocyon	Bassicyonoides	Paradaphoenus	Barbourofelis	Bassariscus	
Euplocyon	Bathygale	Pliocyon	Caracal	Brachyprotoma	
Ferrucyon	Brachyopsigale	Pseudarctos	Cephalogale	Pliogale	
Gobicyon	Brachyprotoma	Pseudocyon	Chasmaporthetes	Shandgolictis	
Leptocyon	Brachypsalis	Temnocyon	Crassidia	Leptoplesictis	
Lycaon	Brevimalictis	Ysengrinia	Crocuta	Neovison	
Mesocyon	Broiliana		Cynelos	Trocharion	
Metalopex	Buisnictis		Cynogale	Plionictis	
Metatomarctus	Canimartes		Dinocrocuta	Bassaricyon	
Microtomarctus	Cernictis		Dinocyon	Cynarctoides	
Nyctereutes	Chamitataxus		Dinofelis	Protoprocyon	
Osbornodon	Circamustela		Epimachairodus	Matanomictis	
Paracynarctus	Conepatus		Euboictis	Angustictis	
