"Age"	"Temperature"
0	-1.16467914245729
0.002	-1.23123895460452
0.004	-1.18464708610146
0.006	-1.54673246418239
0.008	-1.75040548935292
0.01	-3.03500986379447
0.012	-2.89523425828528
0.014	-3.60476185577476
0.016	-3.57414434218703
0.018	-3.50359094131097
0.02	-3.35449696210117
0.022	-3.20140939416254
0.024	-3.16546709560304
0.026	-3.03234747130858
0.028	-3.04166584500919
0.03	-3.1015696759417
0.032	-2.91120861320062
0.034	-2.91786459441534
0.036	-2.78208257763499
0.038	-2.80870650249388
0.04	-2.81536248370861
0.042	-2.88192229585584
0.044	-2.70221080305831
0.046	-2.76477702647671
0.048	-2.77542659642027
0.05	-2.77542659642027
0.052	-2.77542659642027
0.054	-2.63964457963992
0.056	-2.76211463399082
0.058	-2.78873855884971
0.06	-2.97111244413312
0.062	-3.05764019992453
0.064	-3.0150419201503
0.066	-3.09491369472697
0.068	-2.83533042735278
0.07	-2.63964457963992
0.072	-2.50918734783135
0.074	-2.50918734783135
0.076	-2.29619594896021
0.078	-2.20301221195409
0.08	-2.08320455008907
0.082	-2.12314043737741
0.084	-2.01265114921301
0.086	-2.12314043737741
0.088	-2.30551432266082
0.09	-2.70886678427304
0.092	-2.48522581545834
0.094	-2.26291604288659
0.096	-2.41999719955406
0.098	-2.26291604288659
0.1	-2.25626006167187
0.102	-2.10317249373324
0.104	-1.81696530150015
0.106	-1.96339688822406
0.108	-1.93677296336516
0.11	-2.13645239980686
0.112	-2.22564254808414
0.114	-2.46925146054301
0.116	-2.38937968596633
0.118	-2.29619594896021
0.12	-2.30551432266082
0.122	-1.81696530150015
0.124	-1.57734997777012
0.126	-1.42692480231738
0.128	-1.15402957251373
0.13	-1.44156796098977
0.132	-2.14577077350747
0.134	-3.26397561758094
0.136	-3.43436873667785
0.138	-3.40108883060423
0.14	-3.53420845489869
0.142	-3.33053542972817
0.144	-3.38777686817479
0.146	-3.04166584500919
0.148	-3.07760814356869
0.15	-3.14816154444476
0.152	-2.77542659642027
0.154	-3.22137733780671
0.156	-3.06429618113925
0.158	-2.8419864085675
0.16	-2.93517014557362
0.162	-2.87260392215522
0.164	-2.86861033342639
0.166	-2.79805693255033
0.168	-2.72617233543132
0.17	-2.68224285941415
0.172	-2.76211463399082
0.174	-2.80205052127916
0.176	-2.93517014557362
0.178	-2.73549070913193
0.18	-2.83533042735278
0.182	-2.89523425828528
0.184	-2.90455263198589
0.186	-2.91520220192945
0.188	-2.68224285941415
0.19	-2.1138220636768
0.192	-2.2362921180277
0.194	-1.87686913243266
0.196	-1.87953152491855
0.198	-1.72644395697992
0.2	-1.65189696737502
0.202	-1.57734997777012
0.204	-1.79034137664126
0.206	-1.77037343299709
0.208	-1.75040548935292
0.21	-1.69715763963513
0.212	-1.72378156449403
0.214	-1.75040548935292
0.216	-1.67319610726213
0.218	-1.5946555289284
0.22	-1.55471964164006
0.222	-1.68917046217747
0.224	-1.82362128271487
0.226	-2.52915529147551
0.228	-2.67824927068531
0.23	-2.69954841057243
0.232	-2.72217874670248
0.234	-2.35609977989272
0.236	-2.62899500969636
0.238	-2.23895451051359
0.24	-1.93677296336516
0.242	-2.21632417438353
0.244	-1.3470530277407
0.246	-2.22031776311237
0.248	-2.73549070913193
0.25	-2.54912323511968
0.252	-3.07494575108281
0.254	-3.09491369472697
0.256	-2.99773636899202
0.258	-2.96845005164724
0.26	-2.79805693255033
0.262	-2.80604411000799
0.264	-2.87925990336995
0.266	-2.86195435221167
0.268	-2.93517014557362
0.27	-3.02835388257974
0.272	-3.02835388257974
0.274	-2.88458468834173
0.276	-2.94848210800307
0.278	-2.85529837099694
0.28	-2.71552276548776
0.282	-2.57574715997858
0.284	-2.43597155446939
0.286	-2.32015748133321
0.288	-2.20301221195409
0.29	-2.30950791138965
0.292	-1.72378156449403
0.294	-2.46925146054301
0.296	-2.69555482184359
0.298	-2.85529837099694
0.3	-2.46925146054301
0.302	-2.77542659642027
0.304	-2.60237108483747
0.306	-2.4093476296105
0.308	-2.3467814061921
0.31	-2.28288398653076
0.312	-2.06989258765962
0.314	-2.70886678427304
0.316	-2.20301221195409
0.318	-1.69715763963513
0.32	-1.90349305729155
0.322	-1.73043754570875
0.324	-1.96339688822406
0.326	-1.20461502974563
0.328	-1.24455091703397
0.33	-1.27117484189286
0.332	-1.08480736788061
0.334	-0.7919441944328
0.336	-1.07548899418
0.338	-2.04326866280073
0.34	-2.373405331051
0.342	-2.7048731955442
0.344	-3.03500986379447
0.346	-3.40108883060423
0.348	-2.36275576110744
0.35	-3.14816154444476
0.352	-2.81536248370861
0.354	-2.96179407043251
0.356	-2.8419864085675
0.358	-3.0150419201503
0.36	-2.99507397650613
0.362	-2.97510603286196
0.364	-3.00172995772085
0.366	-3.02835388257974
0.368	-2.90189023950001
0.37	-2.69555482184359
0.372	-2.74880267156138
0.374	-2.78873855884971
0.376	-2.73549070913193
0.378	-2.52649289898963
0.38	-2.42931557325467
0.382	-2.70886678427304
0.384	-2.39869805966694
0.386	-2.60237108483747
0.388	-2.36275576110744
0.39	-2.18570666079581
0.392	-2.22963613681298
0.394	-2.19635623073936
0.396	-1.91014903850627
0.398	-2.13645239980686
0.4	-1.98070243938234
0.402	-1.45754231590511
0.404	-1.06483942423644
0.406	-1.66387773356152
0.408	-1.27117484189286
0.41	-1.00759798578983
0.412	-1.37367695259959
0.414	-1.54673246418239
0.416	-2.37606772353688
0.418	-2.49321299291601
0.42	-2.46925146054301
0.422	-2.44528992817
0.424	-3.61274903323243
0.426	-3.48761658639563
0.428	-2.88591588458467
0.43	-2.88458468834173
0.432	-3.16014231063126
0.434	-3.07760814356869
0.436	-3.14816154444476
0.438	-3.01903550887913
0.44	-3.00705474269263
0.442	-2.99507397650613
0.444	-2.6689308969847
