scientificName	Status	earliestAge	latestAge
Acinonyx	Extant	5.333	2.588
Acinonyx	Extant	5.333	2.588
Acinonyx	Extant	2.588	0.781
Acinonyx	Extant	5.333	2.588
Acinonyx	Extant	5.333	2.588
Acinonyx	Extant	5.333	2.588
Acinonyx	Extant	2.588	1.806
Acinonyx	Extant	2.588	0.781
Acinonyx	Extant	5.333	0.0117
Acinonyx	Extant	3.2	2.588
Acinonyx	Extant	2.588	1.806
Acinonyx	Extant	2.588	0.781
Acinonyx	Extant	0.781	0.126
Acinonyx	Extant	3.2	2.588
Acinonyx	Extant	0.781	0.126
Acinonyx	Extant	0.781	0.126
Acinonyx	Extant	2.588	0.781
Acinonyx	Extant	5.333	0.0117
Acinonyx	Extant	2.588	0.781
Acinonyx	Extant	2.588	0.781
Acinonyx	Extant	2.588	0.781
Acinonyx	Extant	0.781	0.126
Actiocyon	Extinct	15.97	13.6
Adcrocuta	Extinct	11.608	5.333
Adcrocuta	Extinct	8.7	5.333
Adcrocuta	Extinct	11.608	5.333
Adcrocuta	Extinct	8.7	5.333
Adcrocuta	Extinct	8.7	5.333
Adcrocuta	Extinct	8.7	5.333
Adcrocuta	Extinct	7.75	7.246
Adcrocuta	Extinct	8.7	5.333
Adcrocuta	Extinct	8.7	7.75
Adcrocuta	Extinct	8.7	5.333
Adcrocuta	Extinct	7.75	4.9
Adcrocuta	Extinct	8.7	5.333
Adcrocuta	Extinct	8.7	5.333
Adcrocuta	Extinct	11.608	8.7
Adcrocuta	Extinct	11.608	5.333
Adcrocuta	Extinct	11.608	5.333
Adcrocuta	Extinct	11.608	5.333
Adcrocuta	Extinct	11.608	5.333
Adcrocuta	Extinct	11.608	5.333
Adcrocuta	Extinct	11.62	7.246
Adcrocuta	Extinct	23.03	5.333
Adcrocuta	Extinct	11.608	5.333
Adcrocuta	Extinct	11.608	5.333
Adcrocuta	Extinct	11.608	5.333
Adcrocuta	Extinct	8.7	5.333
Adcrocuta	Extinct	7.75	7.246
Adcrocuta	Extinct	8.7	5.333
Adilophontes	Extinct	24.8	20.43
Adilophontes	Extinct	30.8	20.43
Adilophontes	Extinct	24.8	20.43
