feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.17561506521070713,0.16443027964967005,0.19410177472407397,NA,NA,NA
Acinonyx__taxon,0.042940231074517686,0.0010090013670413934,0.06890496354901492,1.0387402339602982,0.7166597817371825,1.3611170962246555
Acinonyx__BodyMass,-0.002396223770554345,-0.04100458796144543,0.006853478038961363,NA,NA,NA
Acinonyx__geography,0.03503486187111574,0.04360465336481269,0.032653819293056364,NA,NA,NA
Acinonyx__Temperature,0.08170007732210174,0.1355164527146946,0.06664535522628913,NA,NA,NA
Acinonyx__time,0.018336118713526327,0.02530476016456681,0.019044158616752217,NA,NA,NA
Actiocyon__taxon,0.24117556784996547,0.12862482653251547,0.23557467739112092,0.20406215871903552,0.12896860079766284,0.28535640204740553
Actiocyon__BodyMass,0.009351529761352971,-0.009718634809664704,0.015391597659503101,NA,NA,NA
Actiocyon__geography,-0.045693346674227676,-0.0938899609479995,0.024643005055372723,NA,NA,NA
Actiocyon__Temperature,-0.1685526232790954,-0.16652759756300917,-0.09189519058298387,NA,NA,NA
Actiocyon__time,-0.007834034149667013,-0.02291891286151214,0.010387685201061125,NA,NA,NA
Adcrocuta__taxon,0.14995106100649375,-0.04489206969854379,0.16276936985281001,0.2739098572299481,0.10946402623875935,0.47732766443807045
Adcrocuta__BodyMass,0.010894745217548898,-0.0025761212412006014,0.012708552669046216,NA,NA,NA
Adcrocuta__geography,0.1095852282559511,0.04756850792332457,0.062123099923915195,NA,NA,NA
Adcrocuta__Temperature,-0.17052377519715375,-0.15402686590542247,-0.048391314028303094,NA,NA,NA
Adcrocuta__time,-0.001612467263598991,-0.010503730727827731,0.0048920663066056485,NA,NA,NA
Adilophontes__taxon,0.2939992117562415,0.13035653937664096,0.24816104437896913,0.19884896480269124,0.14896140932801682,0.25035088587534965
Adilophontes__BodyMass,0.006827339502432054,-0.012441780603545173,0.02932210592044424,NA,NA,NA
Adilophontes__geography,0.006683206487031526,-0.037140683941735544,0.043009994971592753,NA,NA,NA
Adilophontes__Temperature,-0.20119900096152393,-0.1740258527739967,-0.09364127319134082,NA,NA,NA
Adilophontes__time,-0.083076857192197,-0.07117850170703359,-0.03275009735559133,NA,NA,NA
Aelurocyon__taxon,0.21888545493182077,0.1416868366613357,0.19711621218378825,0.29605789117345804,0.22583037101512543,0.3362460879555814
Aelurocyon__BodyMass,0.011023200483117276,-0.017871911238562296,0.02295101004982432,NA,NA,NA
Aelurocyon__geography,0.10878728356764042,0.0732509833953287,0.09444835572069651,NA,NA,NA
Aelurocyon__Temperature,-0.16775611068216784,-0.21763120069867814,-0.0967647972149306,NA,NA,NA
Aelurocyon__time,-0.050497002337659636,-0.06391085153309184,-0.023649006015304518,NA,NA,NA
Aelurodon__taxon,0.2597195910206691,0.14717182507916537,0.22279303364480857,0.21637562103654476,0.14183928402740836,0.27669686517298403
Aelurodon__BodyMass,0.026929324423211276,-0.010312382969514209,0.033757449423379673,NA,NA,NA
