feature,shap,lwr_shap,upr_shap,rate,rate_lwr,rate_upr
baseline,0.1719693102470936,0.14717819391709486,0.18780948582604257,NA,NA,NA
Acinonyx__taxon,0.22464109625028508,0.041820579605884596,0.15678038860205235,0.36988504471311445,0.1774852303961191,0.6859809088159388
Acinonyx__BodyMass,0.010277597098560628,-0.03306217820075093,0.01387370945550967,NA,NA,NA
Acinonyx__geography,0.06498319947415124,0.0067324951751327085,0.04067357508962514,NA,NA,NA
Acinonyx__Temperature,-0.06514566911006492,-0.08350720547916803,-0.015049420166117766,NA,NA,NA
Acinonyx__time,-0.06278691346583844,-0.0791618850181932,-0.008468767155026839,NA,NA,NA
Actiocyon__taxon,0.16278990557668274,0.08218172901564771,0.10693351416529764,0.3586825963898014,0.14699360971884567,0.5341637018937371
Actiocyon__BodyMass,-0.024809688130835904,-0.07204753338184067,0.0031646766401108493,NA,NA,NA
Actiocyon__geography,-0.03161583006202159,-0.15517386627070506,0.02981699272259253,NA,NA,NA
Actiocyon__Temperature,0.04726263844456868,0.0063798620039183405,0.03627007763800437,NA,NA,NA
Actiocyon__time,0.018342284418699683,-0.008518385284115177,0.011624224660037168,NA,NA,NA
Adcrocuta__taxon,0.13199466870514848,0.01646639951438003,0.11686378670099658,0.4752608407119463,0.2841625523144884,0.7305741661074294
Adcrocuta__BodyMass,0.022219798685214582,0.0011023816750617363,0.027208385491549848,NA,NA,NA
Adcrocuta__geography,0.05512679490772401,0.006679408772468379,0.04932826874531642,NA,NA,NA
Adcrocuta__Temperature,-0.011842976670935661,-0.05308736496451029,-0.00010300026208965897,NA,NA,NA
Adcrocuta__time,-0.02552897538005779,-0.08079702014505064,-0.005487954849730625,NA,NA,NA
Adilophontes__taxon,0.026774514603855597,-0.08854743337433901,0.06653622561749604,0.3210083052442336,0.09992428882373194,0.5132669394713391
Adilophontes__BodyMass,0.040704569253036595,-0.013454980546991638,0.041392251277844815,NA,NA,NA
Adilophontes__geography,-0.024566584272503016,-0.08174607408158492,0.015426073090261385,NA,NA,NA
Adilophontes__Temperature,0.027768162665232177,0.004559967775621372,0.02089770587461155,NA,NA,NA
Adilophontes__time,0.07835833274751866,0.032010326310199344,0.043557229965828774,NA,NA,NA
Aelurocyon__taxon,0.13335653511115303,0.07416562359348963,0.09953024610794596,0.36956417865427693,0.28902093143991053,0.4372091215594478
Aelurocyon__BodyMass,-0.015093887291349703,-0.057463266691325204,0.004297445408937425,NA,NA,NA
Aelurocyon__geography,0.08370947891148489,0.04427529582345496,0.08238881633597679,NA,NA,NA
Aelurocyon__Temperature,-0.02163064680107555,-0.039159858564189576,-0.004616006996589029,NA,NA,NA
Aelurocyon__time,-0.008372169683119065,-0.02339264075509795,0.0062089849697714,NA,NA,NA
Aelurodon__taxon,-0.23137152505388678,-0.1167510490295512,-0.20038651133063864,0.0,0.0,0.004955894341301198
Aelurodon__BodyMass,0.008131222888227544,-0.009138850684878802,0.0636606449327936,NA,NA,NA
Aelurodon__geography,-0.021478224355805813,-0.029489885274421916,0.058220873163278085,NA,NA,NA
