"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"184924","occ","30185","","18126","Canis ferox","species","44840","Late Hemphillian","","10.3","4.9","52058"
"186878","occ","","","18359","Canis lepophagus","species","44856","Late Hemphillian","","10.3","4.9","3510"
"188816","occ","","","18737","Canis ferox","species","44840","Late Hemphillian","","10.3","4.9","2596"
"188870","occ","","","18745","Canis ferox","species","44840","Hemphillian","","10.3","4.9","2596"
"192135","occ","30184","","19473","Canis ferox","species","44840","Late Hemphillian","","10.3","4.9","52058"
"192926","occ","8376","","19617","Canis edwardii","species","44838","Blancan","Irvingtonian","4.9","0.3","2673"
"192927","occ","30222","","19617","Canis armbrusteri","species","44827","Blancan","Irvingtonian","4.9","0.3","52058"
"192928","occ","","","19617","Canis latrans","species","44854","Blancan","Irvingtonian","4.9","0.3","1813"
"193271","occ","8462","","19656","Canis latrans","species","44854","Blancan","","4.9","1.8","6294"
"193272","occ","30218","","19656","Canis thooides","species","301914","Blancan","","4.9","1.8","52058"
"193288","occ","8467","","19657","Canis latrans","species","44854","Blancan","","4.9","1.8","6294"
"193323","occ","8475","","19658","Canis latrans","species","44854","Blancan","","4.9","1.8","6294"
"193373","occ","8495","","19668","Canis lepophagus","species","44856","Blancan","","4.9","1.8","2673"
"193775","occ","","","19758","Canis lepophagus","species","44856","Blancan","","4.9","1.8","3567"
"193898","occ","","","19805","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069"
"193901","occ","","","19807","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069"
"193916","occ","","","19812","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069"
"193936","occ","","","19815","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069"
"193942","occ","","","19816","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069"
"193957","occ","","","19819","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069"
"193965","occ","","","19821","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069"
"193985","occ","30190","","19832","Canis ferox","species","44840","Blancan","","4.9","1.8","52058"
"193989","occ","30189","","19836","Canis ferox","species","44840","Blancan","","4.9","1.8","52058"
"193992","occ","","","19839","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069"
"194001","occ","","","19847","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069"
"194012","occ","","","19854","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069"
"194033","occ","30188","","19868","Canis ferox","species","44840","Blancan","","4.9","1.8","52058"
"194047","occ","","","19879","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069"
"194056","occ","","","19888","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069"
"194070","occ","","","19895","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069"
"194077","occ","30187","","19902","Canis ferox","species","44840","Blancan","","4.9","1.8","52058"
"194090","occ","","","19903","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1069"
"194115","occ","30191","","19906","Canis ferox","species","44840","Blancan","","4.9","1.8","52058"
"194251","occ","","","19927","Canis latrans","species","44854","Blancan","","4.9","1.8","24906"
"194285","occ","8765","","19929","Canis lepophagus","species","44856","Blancan","","4.9","1.8","2673"
"194362","occ","","","19932","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1905"
"194379","occ","","","19934","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1894"
"194409","occ","30186","","19936","Canis ferox","species","44840","Blancan","","4.9","1.8","52058"
"194480","occ","","","19940","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1070"
"194652","occ","","","19955","Canis lepophagus","species","44856","Blancan","","4.9","1.8","2673"
"194677","occ","30192","","19959","Canis ferox","species","44840","Blancan","","4.9","1.8","52058"
"194686","occ","30193","","19960","Canis ferox","species","44840","Blancan","","4.9","1.8","52058"
"194695","occ","","","19962","Canis lepophagus","species","44856","Blancan","","4.9","1.8","3512"
"194719","occ","","","19963","Canis lepophagus","species","44856","Blancan","","4.9","1.8","2518"
"194765","occ","","","19965","Canis lepophagus","species","44856","Blancan","","4.9","1.8","2886"
"194814","occ","","","19973","Canis latrans","species","44854","Blancan","","4.9","1.8","3378"
"194838","occ","","","19981","Canis lepophagus","species","44856","Blancan","","4.9","1.8","2618"
"194983","occ","","","20023","Canis lepophagus","species","44856","Blancan","","4.9","1.8","1309"
"195063","occ","","","20033","Canis lepophagus","species","44856","Blancan","","4.9","1.8","2044"
"195093","occ","","","20034","Canis lepophagus","species","44856","Blancan","","4.9","1.8","2673"
"195134","occ","30194","","20050","Canis lepophagus","species","44856","Blancan","","4.9","1.8","52058"
"195215","occ","30195","","20060","Canis lepophagus","species","44856","Blancan","","4.9","1.8","52058"
"195263","occ","","","20062","Canis lepophagus","species","44856","Blancan","","4.9","1.8","3382"
"195346","occ","9025","","20074","Canis edwardii","species","44838","Blancan","","4.9","1.8","2673"
"195542","occ","","","20112","Canis latrans","species","44854","Blancan","","4.9","1.8","1186"
"195581","occ","9093","","20115","Canis rufus","species","44879","Blancan","","4.9","1.8","6294"
"195614","occ","","","20117","Canis latrans","species","44854","Blancan","","4.9","1.8","1186"
"195688","occ","","","20120","Canis latrans","species","44854","Blancan","","4.9","1.8","1186"
"195689","occ","9122","","20120","Canis rufus","species","44879","Blancan","","4.9","1.8","6294"
