Species	Status	min_age	max_age
Canis_ferox	extinct	4.9	10.3
Canis_lepophagus	extinct	4.9	10.3
Canis_ferox	extinct	4.9	10.3
Canis_ferox	extinct	4.9	10.3
Canis_ferox	extinct	4.9	10.3
Canis_edwardii	extinct	0.3	4.9
Canis_armbrusteri	extinct	0.3	4.9
Canis_latrans	extant	0.3	4.9
Canis_latrans	extant	1.8	4.9
Canis_thooides	extinct	1.8	4.9
Canis_latrans	extant	1.8	4.9
Canis_latrans	extant	1.8	4.9
Canis_lepophagus	extinct	1.8	4.9
Canis_lepophagus	extinct	1.8	4.9
Canis_lepophagus	extinct	1.8	4.9
Canis_lepophagus	extinct	1.8	4.9
Canis_lepophagus	extinct	1.8	4.9
Canis_lepophagus	extinct	1.8	4.9
Canis_lepophagus	extinct	1.8	4.9
Canis_lepophagus	extinct	1.8	4.9
Canis_lepophagus	extinct	1.8	4.9
Canis_ferox	extinct	1.8	4.9
Canis_ferox	extinct	1.8	4.9
Canis_lepophagus	extinct	1.8	4.9
Canis_lepophagus	extinct	1.8	4.9
Canis_lepophagus	extinct	1.8	4.9
Canis_ferox	extinct	1.8	4.9
Canis_lepophagus	extinct	1.8	4.9
Canis_lepophagus	extinct	1.8	4.9
Canis_lepophagus	extinct	1.8	4.9
Canis_ferox	extinct	1.8	4.9
Canis_lepophagus	extinct	1.8	4.9
Canis_ferox	extinct	1.8	4.9
Canis_latrans	extant	1.8	4.9
Canis_lepophagus	extinct	1.8	4.9
Canis_lepophagus	extinct	1.8	4.9
Canis_lepophagus	extinct	1.8	4.9
Canis_ferox	extinct	1.8	4.9
Canis_lepophagus	extinct	1.8	4.9
Canis_lepophagus	extinct	1.8	4.9
Canis_ferox	extinct	1.8	4.9
Canis_ferox	extinct	1.8	4.9
Canis_lepophagus	extinct	1.8	4.9
Canis_lepophagus	extinct	1.8	4.9
Canis_lepophagus	extinct	1.8	4.9
Canis_latrans	extant	1.8	4.9
Canis_lepophagus	extinct	1.8	4.9
Canis_lepophagus	extinct	1.8	4.9
Canis_lepophagus	extinct	1.8	4.9
Canis_lepophagus	extinct	1.8	4.9
Canis_lepophagus	extinct	1.8	4.9
Canis_lepophagus	extinct	1.8	4.9
Canis_lepophagus	extinct	1.8	4.9
Canis_edwardii	extinct	1.8	4.9
Canis_latrans	extant	1.8	4.9
Canis_rufus	extant	1.8	4.9
Canis_latrans	extant	1.8	4.9
Canis_latrans	extant	1.8	4.9
Canis_rufus	extant	1.8	4.9
Canis_rufus	extant	1.8	4.9
Canis_latrans	extant	1.8	4.9
Canis_latrans	extant	0.3	1.8
Canis_latrans	extant	0.3	1.8
Canis_latrans	extant	0.3	1.8
Canis_latrans	extant	0.3	1.8
Canis_latrans	extant	0.3	1.8
Canis_latrans	extant	0.3	1.8
Canis_latrans	extant	0.3	1.8
Canis_edwardii	extinct	0.3	1.8
Canis_latrans	extant	0.3	1.8
Canis_edwardii	extinct	0.3	1.8
Canis_latrans	extant	0.3	1.8
Canis_dirus	extinct	0.3	1.8
Canis_latrans	extant	0.3	1.8
Canis_latrans	extant	0.3	1.8
Canis_latrans	extant	0.3	1.8
Canis_dirus	extinct	0.3	1.8
Canis_latrans	extant	0.3	1.8
Canis_latrans	extant	0.3	1.8
Canis_latrans	extant	0.3	1.8
Canis_cedazoensis	extinct	0.3	1.8
Canis_dirus	extinct	0.3	1.8
Canis_dirus	extinct	0.3	1.8
Canis_latrans	extant	0.3	1.8
Canis_armbrusteri	extinct	0.3	1.8
Canis_latrans	extant	0.3	1.8
Canis_armbrusteri	extinct	0.3	1.8
Canis_latrans	extant	0.3	1.8
Canis_dirus	extinct	0.3	1.8
Canis_latrans	extant	0.3	1.8
Canis_lupus	extant	0.3	1.8
Canis_edwardii	extinct	0.3	1.8
Canis_edwardii	extinct	0.3	1.8
Canis_armbrusteri	extinct	0.3	1.8
Canis_latrans	extant	0.3	1.8
Canis_edwardii	extinct	1.8	4.9
Canis_edwardii	extinct	0.3	1.8
Canis_edwardii	extinct	0.3	1.8
Canis_lepophagus	extinct	1.8	4.9
Canis_latrans	extant	0.012	1.8
Canis_latrans	extant	0.3	1.8
Canis_dirus	extinct	0.3	1.8
Canis_latrans	extant	0.3	1.8
Canis_edwardii	extinct	0.3	1.8
Canis_edwardii	extinct	0.3	1.8
Canis_latrans	extant	0.3	1.8
Canis_armbrusteri	extinct	0.3	1.8
Canis_lupus	extant	0.3	1.8
Canis_dirus	extinct	0.3	1.8
Canis_latrans	extant	0.3	1.8
Canis_armbrusteri	extinct	0.3	1.8
Canis_edwardii	extinct	0.3	1.8
