it	l_0	l_1	l_2	l_3	l_4	l_5	l_6	l_7	l_8	l_9	l_10	m_0	m_1	m_2	m_3	m_4	m_5	m_6	m_7	m_8	m_9	m_10	r_0	r_1	r_2	r_3	r_4	r_5	r_6	r_7	r_8	r_9	r_10	
0	0.4753839870489438	0.4753839870489438	0.4753839870489438	0.4753839870489438	0.4753839870489438	0.4753839870489438	0.4753839870489438	0.4753839870489438	0.4753839870489438	0.4753839870489438	0.4753839870489438	0.1736097502924519	0.1736097502924519	0.1736097502924519	0.1736097502924519	0.1736097502924519	0.1736097502924519	0.1736097502924519	0.1736097502924519	0.1736097502924519	0.1736097502924519	0.1736097502924519	0.3017742367564919	0.3017742367564919	0.3017742367564919	0.3017742367564919	0.3017742367564919	0.3017742367564919	0.3017742367564919	0.3017742367564919	0.3017742367564919	0.3017742367564919	0.3017742367564919
1000	0.37372970295304048	0.37372970295304048	0.37372970295304048	0.37372970295304048	0.37372970295304048	0.37372970295304048	0.37372970295304048	0.37372970295304048	0.37372970295304048	0.37372970295304048	0.37372970295304048	0.13478021448803826	0.13478021448803826	0.13478021448803826	0.13478021448803826	0.13478021448803826	0.13478021448803826	0.13478021448803826	0.13478021448803826	0.13478021448803826	0.13478021448803826	0.13478021448803826	0.23894948846500222	0.23894948846500222	0.23894948846500222	0.23894948846500222	0.23894948846500222	0.23894948846500222	0.23894948846500222	0.23894948846500222	0.23894948846500222	0.23894948846500222	0.23894948846500222
2000	0.29868109766604101	0.29868109766604101	0.29868109766604101	0.29868109766604101	0.29868109766604101	0.29868109766604101	0.29868109766604101	0.29868109766604101	0.29868109766604101	0.29868109766604101	0.29868109766604101	0.24399393630016045	0.24399393630016045	0.24399393630016045	0.24399393630016045	0.24399393630016045	0.24399393630016045	0.24399393630016045	0.24399393630016045	0.24399393630016045	0.24399393630016045	0.24399393630016045	0.05468716136588056	0.05468716136588056	0.05468716136588056	0.05468716136588056	0.05468716136588056	0.05468716136588056	0.05468716136588056	0.05468716136588056	0.05468716136588056	0.05468716136588056	0.05468716136588056
3000	0.28663693691940451	0.28663693691940451	0.28663693691940451	0.28663693691940451	0.28663693691940451	0.28663693691940451	0.28663693691940451	0.28663693691940451	0.28663693691940451	0.28663693691940451	0.28663693691940451	0.18723315293814466	0.18723315293814466	0.18723315293814466	0.18723315293814466	0.18723315293814466	0.18723315293814466	0.18723315293814466	0.18723315293814466	0.18723315293814466	0.18723315293814466	0.18723315293814466	0.099403783981259847	0.099403783981259847	0.099403783981259847	0.099403783981259847	0.099403783981259847	0.099403783981259847	0.099403783981259847	0.099403783981259847	0.099403783981259847	0.099403783981259847	0.099403783981259847
4000	0.25030747235614337	0.25030747235614337	0.25030747235614337	0.25030747235614337	0.25030747235614337	0.25030747235614337	0.25030747235614337	0.25030747235614337	0.25030747235614337	0.25030747235614337	0.25030747235614337	0.17033624644149473	0.17033624644149473	0.17033624644149473	0.17033624644149473	0.17033624644149473	0.17033624644149473	0.17033624644149473	0.17033624644149473	0.17033624644149473	0.17033624644149473	0.17033624644149473	0.079971225914648641	0.079971225914648641	0.079971225914648641	0.079971225914648641	0.079971225914648641	0.079971225914648641	0.079971225914648641	0.079971225914648641	0.079971225914648641	0.079971225914648641	0.079971225914648641
5000	0.30991314427830485	0.30991314427830485	0.30991314427830485	0.30991314427830485	0.30991314427830485	0.30991314427830485	0.30991314427830485	0.30991314427830485	0.30991314427830485	0.30991314427830485	0.30991314427830485	0.084331786618789595	0.084331786618789595	0.084331786618789595	0.084331786618789595	0.084331786618789595	0.084331786618789595	0.084331786618789595	0.084331786618789595	0.084331786618789595	0.084331786618789595	0.084331786618789595	0.22558135765951526	0.22558135765951526	0.22558135765951526	0.22558135765951526	0.22558135765951526	0.22558135765951526	0.22558135765951526	0.22558135765951526	0.22558135765951526	0.22558135765951526	0.22558135765951526
6000	0.29533996896263726	0.29533996896263726	0.29533996896263726	0.29533996896263726	0.29533996896263726	0.29533996896263726	0.29533996896263726	0.29533996896263726	0.29533996896263726	0.29533996896263726	0.29533996896263726	0.30687624556706966	0.30687624556706966	0.30687624556706966	0.30687624556706966	0.30687624556706966	0.30687624556706966	0.30687624556706966	0.30687624556706966	0.30687624556706966	0.30687624556706966	0.30687624556706966	-0.011536276604432405	-0.011536276604432405	-0.011536276604432405	-0.011536276604432405	-0.011536276604432405	-0.011536276604432405	-0.011536276604432405	-0.011536276604432405	-0.011536276604432405	-0.011536276604432405	-0.011536276604432405
7000	0.46254389157031878	0.46254389157031878	0.46254389157031878	0.44887364211950281	0.44887364211950281	0.44887364211950281	0.44887364211950281	0.44887364211950281	0.44887364211950281	0.44887364211950281	0.44887364211950281	0.15868054352000188	0.15868054352000188	0.15868054352000188	0.15868054352000188	0.15868054352000188	0.15868054352000188	0.15868054352000188	0.15868054352000188	0.15868054352000188	0.15868054352000188	0.15868054352000188	0.30386334805031689	0.30386334805031689	0.30386334805031689	0.29019309859950093	0.29019309859950093	0.29019309859950093	0.29019309859950093	0.29019309859950093	0.29019309859950093	0.29019309859950093	0.29019309859950093
8000	0.23251051926946029	0.23251051926946029	0.23251051926946029	0.23251051926946029	0.23251051926946029	0.23251051926946029	0.23251051926946029	0.23251051926946029	0.23251051926946029	0.23251051926946029	0.23251051926946029	0.12493075890224196	0.12493075890224196	0.12493075890224196	0.12493075890224196	0.12493075890224196	0.12493075890224196	0.12493075890224196	0.12493075890224196	0.12493075890224196	0.12493075890224196	0.12493075890224196	0.10757976036721832	0.10757976036721832	0.10757976036721832	0.10757976036721832	0.10757976036721832	0.10757976036721832	0.10757976036721832	0.10757976036721832	0.10757976036721832	0.10757976036721832	0.10757976036721832
9000	0.35456195320226713	0.35456195320226713	0.35456195320226713	0.35456195320226713	0.35456195320226713	0.35456195320226713	0.35456195320226713	0.35456195320226713	0.35456195320226713	0.35456195320226713	0.26919549354121214	0.19300740610056452	0.19300740610056452	0.19300740610056452	0.19300740610056452	0.19300740610056452	0.19300740610056452	0.19300740610056452	0.19300740610056452	0.19300740610056452	0.19300740610056452	0.19300740610056452	0.16155454710170261	0.16155454710170261	0.16155454710170261	0.16155454710170261	0.16155454710170261	0.16155454710170261	0.16155454710170261	0.16155454710170261	0.16155454710170261	0.16155454710170261	0.076188087440647617
