it	posterior	prior	PP_lik	BD_lik	q_rate	alpha	k_birth	k_death	root_age	death_age	tot_length	Canis_adustus_TS	Canis_anthus_TS	Canis_apolloniensis_TS	Canis_armbrusteri_TS	Canis_aureus_TS	Canis_cedazoensis_TS	Canis_dirus_TS	Canis_edwardii_TS	Canis_familiaris_TS	Canis_ferox_TS	Canis_latrans_TS	Canis_lepophagus_TS	Canis_lupus_TS	Canis_mesomelas_TS	Canis_proplatensis_TS	Canis_rufus_TS	Canis_thooides_TS	Pseudalopex_gymnocercus_TS	Canis_adustus_TE	Canis_anthus_TE	Canis_apolloniensis_TE	Canis_armbrusteri_TE	Canis_aureus_TE	Canis_cedazoensis_TE	Canis_dirus_TE	Canis_edwardii_TE	Canis_familiaris_TE	Canis_ferox_TE	Canis_latrans_TE	Canis_lepophagus_TE	Canis_lupus_TE	Canis_mesomelas_TE	Canis_proplatensis_TE	Canis_rufus_TE	Canis_thooides_TE	Pseudalopex_gymnocercus_TE
0	-1079.6570355328668	-7.8083558042579462	-1003.2344010583394	-68.614278670269528	0.95871132746356169	0.95211181292676406	1	1	10.448672675000001	0.0	60.81782495352396	3.2572675499999999	2.5280025999999998	1.9080744000000001	2.242711275	3.3233862000000003	1.32371985	1.80328865	9.9966210249999996	2.4512557249999998	10.448672675000001	4.9531157000000006	8.1463473999999998	3.1974793000000004	4.9089043750000005	1.46849495	4.7767966035239517	2.9682339500000001	1.0434038749999999	0.0	0.0	1.8149976000000001	0.014816099999999999	0.0	1.2591481499999999	0.013514475	0.38072092500000004	0.0	2.12899635	0.0	0.095454449999999996	0.0	0.0	1.3968610499999998	0.0	2.8234420499999997	0.0
1000	-829.89004290838625	-8.0309203862660752	-752.28456273412087	-69.574559787999306	1.357439646445874	0.4518833971258544	1	1	11.090913950533631	0.0	66.511124945948154	3.5841866330388328	3.3873107539180283	1.8794018121273295	2.4187791515599923	3.2992529951698915	1.5377583622319033	1.8251894619122708	10.330130026853475	2.3972328551885056	11.090913950533631	4.8477715144017655	8.4304041852870988	3.5960473813905982	4.7958769382439606	1.6010242249142004	4.4822799567349119	2.9420804334203532	1.1638657129313188	0.0	0.0	1.6259946474442017	0.0058605635616335323	0.0	0.56032403072760884	0.0037101587008978622	0.014551735277521682	0.0	0.78598292540335501	0.0	0.029553425042271236	0.0	0.0	1.1950500338577719	0.0	2.8773538838946573	0.0
2000	-713.59688645864969	-8.5150663487633018	-634.09071709475188	-70.991103015134513	1.9509176674207447	0.25457792910838811	1	1	11.213468664866369	0.0	67.341916434308004	3.6692538058414574	3.1117064149189289	1.9357818170711687	2.5215337145508472	3.3129291352961374	1.503730244203346	1.8058025870830741	10.01309399976344	2.672566607139685	11.213468664866369	4.9780789962769116	8.1446647123516946	3.3238054514046018	4.9093110254892141	1.5602938946559399	4.4908188877052737	3.1175864000957181	2.3698565232322495	0.0	0.0	1.8391699584498817	0.010745912930632677	0.0	0.79023578637454295	0.0016467822837394064	0.015278442385241064	0.0	0.44822130274972782	0.0	0.021315214696892265	0.0	0.0	1.3866752731328904	0.0	2.7990777746344953	0.0
3000	-660.1178370330515	-9.0731305530029811	-580.77993688731476	-70.264769592733728	2.6256875212087349	0.22779287418569558	1	1	11.309590159095782	0.0	68.994571610593042	4.152913011263796	3.3293778800523	2.2380990226018227	2.4584788803718047	3.3334937923589525	1.4336370962524203	1.8727952240122923	10.13452930050425	2.4281901179492444	11.309590159095782	4.8564619272525027	8.0984080562085481	3.2468935092895932	5.0880424623173095	1.9739163726076949	4.5193818601358275	3.0352108796721851	1.8047214464321943	0.0	0.0	1.4073808382887303	0.0014580428662707111	0.0	1.1073832987887766	0.00014676641927796261	0.10824859619134392	0.0	0.43761892585203599	0.0	0.035648078644401227	0.0	0.0	0.64334144812380711	0.0	2.5783433926108437	0.0
4000	-576.55119002820516	-10.67600412748626	-495.94270846494368	-69.932477435775183	4.2257891854017835	0.24935593086945926	1	1	12.494436237987815	0.0	69.11187346167462	3.3357099895477011	3.712765624583354	1.9881436739539264	2.4981204887320687	3.7118178616365225	1.4192708874732436	1.8016095500314804	10.209577942737203	2.4326739664166608	12.494436237987815	4.836229835010923	8.3217211643302758	3.1208922082746859	4.86309866195566	2.1460403810771216	4.8002543356873515	2.9280005915131464	1.73904134774129	0.0	0.0	1.811041785681661	0.0014580428662707111	0.0	1.1680047013795904	0.00014676641927796261	0.0084253064560171897	0.0	0.1904500045337475	0.0	0.04091335320457555	0.0	0.0	1.158258436484791	0.0	2.868832889989875	0.0
5000	-527.37380504825444	-14.847183303067405	-442.89060508940855	-69.636016655778519	8.3762810429965651	0.39895738561099897	1	1	11.758793044235039	0.0	66.69131093350893	4.00357528833133	3.3978380831578141	1.8680705833712508	2.6982913265193327	3.4720963352777856	1.3503257942180111	1.7911468727083015	10.01366709252058	2.7751462786520822	11.758793044235039	4.8327442377517622	8.3304157998060298	3.21601662762352	4.8244395998596303	1.505600438283248	4.6668882317399367	2.9159527835673931	1.2619198603681059	0.0	0.0	1.8585302276199001	0.0014580428662707111	0.0	1.2201802024320227	0.00014676641927796261	0.029756161123019098	0.0	0.69971981831670005	0.0	0.0031365059950598934	0.0	0.0	1.39212273788868	0.0	2.7865668818213059	0.0
6000	-529.58499716710469	-14.815913047789678	-442.90349736761215	-71.865586751702892	8.3066397830106453	0.47296607229186838	1	1	11.113976043248337	0.0	65.226545927181959	4.2427331687744703	2.9830457274107856	1.9307081158088257	2.3966190765713451	3.4628922351515015	1.3431037337972396	1.8492010560142091	10.340925395570654	2.4061654022897518	11.113976043248337	4.9130009675339643	8.1577642405043385	3.1575533099166471	4.8097637379337002	1.6055383281960482	4.8393438483821951	2.9588229034764075	1.0861957184884585	0.0	0.0	1.8225008645514009	0.0014580428662707111	0.0	1.2393400856404801	0.00014676641927796261	0.016591072657708927	0.0	1.0136324484661452	0.0	0.011144582892417043	0.0	0.0	1.39212273788868	0.0	2.8738704805045279	0.0
7000	-530.64851036661241	-18.300650178023258	-442.68032893904666	-69.667531249542492	8.8309220831268735	0.57659884823471996	2	1	10.263876621423865	0.0	63.294628867714259	3.2886670406535297	3.2060723288406181	2.1158691302806472	2.3629212051957453	3.3464079990224809	1.2954988027227974	1.7658032310556262	10.095794991570159	2.4097554529880982	10.263876621423865	4.9158688335888954	8.0565048602891931	3.1399550133525453	5.0403975098189244	1.4445315055193764	4.3288014573797238	2.9703623816536378	1.4343258216534682	0.0	0.0	1.6171414840317551	0.0097211557734737698	0.0	1.2818370133841688	0.00014676641927796261	0.026517531096402258	0.0	0.97290019934969885	0.0	0.0092290684778993937	0.0	0.0	1.4025372598335522	0.0	2.8667548409288424	0.0
8000	-517.49866082377741	-15.999895124611974	-433.71561141033408	-67.783154288831383	9.6215425502171268	0.49012173663346698	1	1	10.772773587976699	0.0	63.799114627969679	3.5243320560889155	2.588313642190244	2.040146488448217	2.4394454346636003	3.4464520179729075	1.3094594933064914	1.7812422212249563	9.8442023776713476	2.4951580679050194	10.772773587976699	4.854349317402276	8.0587003063333196	3.1526294955430312	4.9508165454301887	1.4445315055193764	4.4933615696999629	2.9178769619443736	1.1646691947191341	0.0	0.0	1.6247275348862544	0.0099426342139109711	0.0	1.2818370133841688	0.00014676641927796261	0.054695362121023161	0.0	0.18942266368591321	0.0	0.0076987895029580755	0.0	0.0	1.423251421203984	0.0	2.8876234706528878	0.0
9000	-542.07330283180045	-19.511410878558593	-451.63774871590795	-70.924143237333965	9.5515359730700773	0.45123358363042715	2	1	11.138492528105473	0.0	67.841591706730952	3.2440244588546845	3.2263931257566272	1.9131475478944719	2.7945572669777912	3.4778342090346706	1.3434473843705941	1.794245474579069	10.817568367018774	2.8033425627243167	11.138492528105473	4.9925047853137823	8.7893531601946719	3.1314088129914937	4.7895918585200032	1.5457878878923492	4.6721407516672073	3.0503386146255274	2.0801738607301803	0.0	0.0	1.7341467457568536	0.001725646850080146	0.0	1.236909295510884	0.00014676641927796261	0.0036332692915990727	0.0	0.80432448824395208	0.0	0.016730033005856099	0.0	0.0	1.1591814692923288	0.0	2.8059632361499127	0.0
