scientificName	earliestAge	latestAge	higherGeography
Acinonyx	5.333	2.588	Eurasia
Acinonyx	5.333	2.588	Eurasia
Acinonyx	2.588	0.781	Eurasia
Acinonyx	5.333	2.588	Eurasia
Acinonyx	5.333	2.588	Eurasia
Acinonyx	5.333	2.588	Eurasia
Acinonyx	2.588	1.806	Eurasia
Acinonyx	2.588	0.781	Eurasia
Acinonyx	3.2	2.588	Eurasia
Acinonyx	2.588	1.806	Eurasia
Acinonyx	2.588	0.781	Eurasia
Acinonyx	0.781	0.126	Eurasia
Acinonyx	3.2	2.588	Eurasia
Acinonyx	0.781	0.126	Eurasia
Acinonyx	0.781	0.126	Eurasia
Acinonyx	2.588	0.781	Eurasia
Acinonyx	2.588	0.781	Eurasia
Acinonyx	2.588	0.781	Eurasia
Acinonyx	2.588	0.781	Eurasia
Acinonyx	0.781	0.126	Eurasia
Actiocyon	15.97	13.6	NAmerica
Adcrocuta	8.7	5.333	Eurasia
Adcrocuta	8.7	5.333	Eurasia
Adcrocuta	8.7	5.333	Eurasia
Adcrocuta	8.7	5.333	Eurasia
Adcrocuta	7.75	7.246	Eurasia
Adcrocuta	8.7	5.333	Eurasia
Adcrocuta	8.7	7.75	Eurasia
Adcrocuta	8.7	5.333	Eurasia
Adcrocuta	7.75	4.9	Eurasia
Adcrocuta	8.7	5.333	Eurasia
Adcrocuta	8.7	5.333	Eurasia
Adcrocuta	11.608	8.7	Eurasia
Adcrocuta	11.62	7.246	Eurasia
Adcrocuta	8.7	5.333	Eurasia
Adcrocuta	7.75	7.246	Eurasia
Adcrocuta	8.7	5.333	Eurasia
Adilophontes	24.8	20.43	NAmerica
Adilophontes	24.8	20.43	NAmerica
Aelurodon	20.43	15.97	NAmerica
Aelurodon	20.43	15.97	NAmerica
Aelurodon	13.6	10.3	NAmerica
Aelurodon	15.97	13.6	NAmerica
Aelurodon	15.97	13.6	NAmerica
Aelurodon	13.6	10.3	NAmerica
Aelurodon	15.97	13.6	NAmerica
Aelurodon	15.97	13.6	NAmerica
Aelurodon	13.6	10.3	NAmerica
Aelurodon	15.97	13.6	NAmerica
Aelurodon	13.6	10.3	NAmerica
Aelurodon	13.6	10.3	NAmerica
Aelurodon	13.6	10.3	NAmerica
Aelurodon	13.6	10.3	NAmerica
Aelurodon	13.6	10.3	NAmerica
Aelurodon	13.6	10.3	NAmerica
Aelurodon	15.97	13.6	NAmerica
Aelurodon	15.97	13.6	NAmerica
Aelurodon	15.97	13.6	NAmerica
Aelurodon	13.6	10.3	NAmerica
Aelurodon	15.97	13.6	NAmerica
