scientificName	earliestAge	latestAge	higherGeography	site
Acheronictis	30.8	20.43	NAmerica	pbdb_17476
Acinonyx	5.333	2.588	Eurasia	pbdb_34396
Acinonyx	5.333	2.588	Eurasia	pbdb_34444
Acinonyx	2.588	0.781	Eurasia	pbdb_34911
Acinonyx	5.333	2.588	Eurasia	pbdb_38892
Acinonyx	5.333	2.588	Eurasia	pbdb_39409
Acinonyx	5.333	2.588	Eurasia	pbdb_39411
Acinonyx	2.588	1.806	Eurasia	pbdb_36112
Acinonyx	2.588	0.781	Eurasia	pbdb_44146
Acinonyx	5.333	0.0117	Eurasia	pbdb_44231
Acinonyx	3.2	2.588	Eurasia	pbdb_47100
Acinonyx	2.588	1.806	Eurasia	pbdb_47150
Acinonyx	2.588	0.781	Eurasia	pbdb_47829
Acinonyx	0.781	0.126	Eurasia	pbdb_48890
Acinonyx	3.2	2.588	Eurasia	pbdb_44089
Acinonyx	0.781	0.126	Eurasia	pbdb_50196
Acinonyx	0.781	0.126	Eurasia	pbdb_50258
Acinonyx	2.588	0.781	Eurasia	pbdb_50342
Acinonyx	5.333	0.0117	Eurasia	pbdb_51812
Acinonyx	2.588	0.781	Eurasia	pbdb_77773
Acinonyx	2.588	0.781	Eurasia	pbdb_189020
Acinonyx	2.588	0.781	Eurasia	pbdb_189026
Acinonyx	0.781	0.126	Eurasia	pbdb_189976
Actiocyon	15.97	13.6	NAmerica	pbdb_181725
Adcrocuta	11.608	5.333	Eurasia	pbdb_13998
Adcrocuta	8.7	5.333	Eurasia	pbdb_34436
Adcrocuta	11.608	5.333	Eurasia	pbdb_34462
Adcrocuta	8.7	5.333	Eurasia	pbdb_35339
Adcrocuta	8.7	5.333	Eurasia	pbdb_42675
Adcrocuta	8.7	5.333	Eurasia	pbdb_42676
Adcrocuta	7.75	7.246	Eurasia	pbdb_60534
Adcrocuta	8.7	5.333	Eurasia	pbdb_73553
Adcrocuta	8.7	7.75	Eurasia	pbdb_75087
Adcrocuta	8.7	5.333	Eurasia	pbdb_75492
Adcrocuta	7.75	4.9	Eurasia	pbdb_78328
Adcrocuta	8.7	5.333	Eurasia	pbdb_151910
Adcrocuta	8.7	5.333	Eurasia	pbdb_157582
Adcrocuta	11.608	8.7	Eurasia	pbdb_191070
Adcrocuta	11.608	5.333	Eurasia	pbdb_194879
Adcrocuta	11.608	5.333	Eurasia	pbdb_195432
Adcrocuta	11.608	5.333	Eurasia	pbdb_195555
Adcrocuta	11.608	5.333	Eurasia	pbdb_197642
Adcrocuta	11.608	5.333	Eurasia	pbdb_197445
Adcrocuta	11.62	7.246	Eurasia	pbdb_199755
Adcrocuta	23.03	5.333	Eurasia	pbdb_201497
Adcrocuta	11.608	5.333	Eurasia	pbdb_202222
Adcrocuta	11.608	5.333	Eurasia	pbdb_202630
Adcrocuta	11.608	5.333	Eurasia	pbdb_182746
Adcrocuta	8.7	5.333	Eurasia	pbdb_195489
Adcrocuta	7.75	7.246	Eurasia	pbdb_167995
Adcrocuta	8.7	5.333	Eurasia	pbdb_208566
Adelphailurus	10.3	4.9	NAmerica	pbdb_18140
Adelphailurus	10.3	4.9	NAmerica	pbdb_18166
Adelphailurus	10.3	4.9	NAmerica	pbdb_18304
Adelphailurus	10.3	4.9	NAmerica	pbdb_19514
Adelphailurus	10.3	4.9	NAmerica	pbdb_19612
Adelpharctos	33.9	28.4	Eurasia	pbdb_36709
Adelpharctos	28.4	23.03	Eurasia	pbdb_36712
Adilophontes	24.8	20.43	NAmerica	pbdb_17780
Adilophontes	30.8	20.43	NAmerica	pbdb_17796
Adilophontes	24.8	20.43	NAmerica	pbdb_17788
Aelurodon	20.43	15.97	NAmerica	pbdb_17908
Aelurodon	20.43	15.97	NAmerica	pbdb_17998
Aelurodon	13.6	10.3	NAmerica	pbdb_18022
Aelurodon	15.97	13.6	NAmerica	pbdb_18027
Aelurodon	15.97	13.6	NAmerica	pbdb_18031
Aelurodon	23.03	5.333	NAmerica	pbdb_18032
Aelurodon	13.6	10.3	NAmerica	pbdb_18042
Aelurodon	15.97	13.6	NAmerica	pbdb_18051
Aelurodon	15.97	13.6	NAmerica	pbdb_18058
Aelurodon	13.6	10.3	NAmerica	pbdb_18063
Aelurodon	15.97	13.6	NAmerica	pbdb_18068
Aelurodon	23.03	5.333	NAmerica	pbdb_18071
Aelurodon	13.6	10.3	NAmerica	pbdb_18074
Aelurodon	13.6	10.3	NAmerica	pbdb_18075
Aelurodon	13.6	10.3	NAmerica	pbdb_18077
Aelurodon	13.6	10.3	NAmerica	pbdb_18077
Aelurodon	13.6	4.9	NAmerica	pbdb_18087
Aelurodon	23.03	5.333	NAmerica	pbdb_18091
Aelurodon	13.6	10.3	NAmerica	pbdb_18095
Aelurodon	13.6	10.3	NAmerica	pbdb_18096
Aelurodon	15.97	13.6	NAmerica	pbdb_18119
Aelurodon	15.97	13.6	NAmerica	pbdb_18121
Aelurodon	13.6	4.9	NAmerica	pbdb_18138
Aelurodon	15.97	13.6	NAmerica	pbdb_18141
Aelurodon	23.03	5.333	NAmerica	pbdb_18149
Aelurodon	13.6	10.3	NAmerica	pbdb_18152
Aelurodon	15.97	13.6	NAmerica	pbdb_18153
Aelurodon	15.97	13.6	NAmerica	pbdb_18164
Aelurodon	15.97	13.6	NAmerica	pbdb_18167
Aelurodon	13.6	4.9	NAmerica	pbdb_18174
Aelurodon	23.03	5.333	NAmerica	pbdb_18179
Aelurodon	13.6	4.9	NAmerica	pbdb_18180
Aelurodon	23.03	5.333	NAmerica	pbdb_18188
Aelurodon	13.6	4.9	NAmerica	pbdb_18190
Aelurodon	15.97	13.6	NAmerica	pbdb_18192
Aelurodon	15.97	13.6	NAmerica	pbdb_18199
Aelurodon	13.6	10.3	NAmerica	pbdb_18200
Aelurodon	15.97	13.6	NAmerica	pbdb_18203
Aelurodon	15.97	13.6	NAmerica	pbdb_18206
Aelurodon	23.03	5.333	NAmerica	pbdb_18213
Aelurodon	13.6	10.3	NAmerica	pbdb_18217
Aelurodon	13.6	10.3	NAmerica	pbdb_18222
Aelurodon	13.6	10.3	NAmerica	pbdb_18262
Aelurodon	13.6	10.3	NAmerica	pbdb_18268
Aelurodon	15.97	10.3	NAmerica	pbdb_18270
Aelurodon	15.97	13.6	NAmerica	pbdb_18275
