scientificName	higherGeography
Acinonyx	Eurasia
Ailuropoda	Eurasia
Ailurus	Eurasia
Alopex	Eurasia
Alopex	NAmerica
Aonyx	Eurasia
Arctictis	Eurasia
Arctogalidia	Eurasia
Arctonyx	Eurasia
Bassaricyon	NAmerica
Bassariscus	NAmerica
Canis	Eurasia
Canis	NAmerica
Caracal	Eurasia
Catopuma	Eurasia
Conepatus	NAmerica
Cuon	Eurasia
Cynogale	Eurasia
Enhydra	Eurasia
Enhydra	NAmerica
Felis	Eurasia
Felis	NAmerica
Gulo	Eurasia
Gulo	NAmerica
Helarctos	Eurasia
Herpestes	Eurasia
Hyaena	Eurasia
Leopardus	NAmerica
Lontra	NAmerica
Lutra	Eurasia
Lutrogale	Eurasia
Lynx	Eurasia
Lynx	NAmerica
Martes	Eurasia
Martes	NAmerica
Meles	Eurasia
Mellivora	Eurasia
Melogale	Eurasia
Melursus	Eurasia
Mustela	Eurasia
Mustela	NAmerica
Nasua	NAmerica
Neofelis	Eurasia
Nyctereutes	Eurasia
Paguma	Eurasia
Panthera	Eurasia
Panthera	NAmerica
Paradoxurus	Eurasia
Prionailurus	Eurasia
Procyon	NAmerica
Puma	NAmerica
Taxidea	NAmerica
Urocyon	NAmerica
Ursus	Eurasia
Ursus	NAmerica
Viverra	Eurasia
Viverricula	Eurasia
Vormela	Eurasia
Vulpes	Eurasia
Vulpes	NAmerica
Ailurus	Eurasia
Canis	Eurasia
Cuon	Eurasia
Cynotherium	Eurasia
Nyctereutes	Eurasia
Vulpes	Eurasia
Acinonyx	Eurasia
Caracal	Eurasia
Catopuma	Eurasia
Felis	Eurasia
Homotherium	Eurasia
Lynx	Eurasia
Neofelis	Eurasia
Panthera	Eurasia
Prionailurus	Eurasia
Arctogalidia	Eurasia
Herpestes	Eurasia
Crocuta	Eurasia
Hyaena	Eurasia
Aonyx	Eurasia
Arctonyx	Eurasia
Enhydra	Eurasia
Gulo	Eurasia
Lutra	Eurasia
Lutrogale	Eurasia
Martes	Eurasia
Meles	Eurasia
Mellivora	Eurasia
Melogale	Eurasia
Mustela	Eurasia
Vormela	Eurasia
Ailuropoda	Eurasia
Helarctos	Eurasia
Melursus	Eurasia
Ursus	Eurasia
Arctictis	Eurasia
Cynogale	Eurasia
Paguma	Eurasia
Paradoxurus	Eurasia
Prionodon	Eurasia
Viverra	Eurasia
Viverricula	Eurasia
Canis	NAmerica
Cuon	NAmerica
Urocyon	NAmerica
Vulpes	NAmerica
Homotherium	NAmerica
Leopardus	NAmerica
Lynx	NAmerica
Miracinonyx	NAmerica
Panthera	NAmerica
Puma	NAmerica
Smilodon	NAmerica
Brachyprotoma	NAmerica
Conepatus	NAmerica
Eira	NAmerica
Enhydra	NAmerica
Gulo	NAmerica
Lontra	NAmerica
Martes	NAmerica
Mustela	NAmerica
Taxidea	NAmerica
Bassaricyon	NAmerica
Bassariscus	NAmerica
Nasua	NAmerica
Potos	NAmerica
Procyon	NAmerica
Arctodus	NAmerica
Tremarctos	NAmerica
Ursus	NAmerica
Spilogale	NAmerica
Pekania	NAmerica
Neovison	NAmerica
Mephitis	NAmerica
