scientificName	Family
Acinonyx	6
Actiocyon	1
Adcrocuta	8
Adilophontes	2
Aelurocyon	10
Aelurodon	5
Afrosmilus	3
Agnotherium	2
Agriarctos	15
Agriotherium	15
Ailurarctos	15
Ailuropoda	15
Ailurus	1
Aktaucyon	2
Albanosmilus	3
Algarolutra	10
Allohyaena	8
Alopecocyon	1
Alopex	5
Amblonyx	10
Amphictis	1
Amphicyon	2
Amphicyonopsis	2
Amphimachairodus	6
Anatolictis	10
Angustictis	13
Aonyx	10
Arctictis	16
Arctodus	15
Arctogalidia	16
Arctomeles	10
Arctonasua	13
Arctonyx	10
Arctotherium	15
Arikarictis	10
Asiavorator	14
Ballusia	15
Baranogale	10
Barbourofelis	3
Bassaricyon	13
Bassaricyonoides	13
Bassariscus	13
Bassicyonoides	13
Bathygale	10
Borophagus	5
Brachyopsigale	10
Brachyprotoma	10
Brachypsalis	10
Brevimalictis	10
Broiliana	13
Buisnictis	10
Canimartes	10
Canis	5
Caracal	6
Carpocyon	5
Cephalogale	15
Cerdocyon	5
Cernictis	10
Chamitataxus	10
Chasmaporthetes	8
Chrysocyon	5
Circamustela	10
Conepatus	10
Cormocyon	5
Crassidia	2
Craterogale	10
Crocuta	8
Cryptailurus	4
Cuon	5
Cynarctoides	5
Cynarctus	5
Cynelos	2
Cynogale	16
Cynotherium	5
Cyrnaonyx	10
Daphoenodon	2
Daphoenus	2
Delotrochanter	2
Desmocyon	5
Dinocrocuta	12
Dinocyon	15
Dinofelis	6
Dinogale	10
Ectopocynus	5
Edaphocyon	13
Eira	10
Eirictis	10
Enhydra	10
Enhydrictis	10
Enhydriodon	10
Enhydritherium	10
Enhydrocyon	5
Eomellivora	10
Epicyon	5
Epimachairodus	6
Euboictis	16
Eucyon	5
Euoplocyon	5
Euplocyon	5
Felis	6
Ferinestrix	10
Ferrucyon	5
Floridictis	10
Franconictis	10
Gaillardina	10
Gobicyon	5
Goupilictis	2
Grivamephitis	10
Gulo	10
Hadrictis	10
Haplocyon	2
Haplocyonoides	2
Helarctos	15
Hemicyon	15
Herpestes	7
Herpestides	16
Hesperoviverra	16
Homotherium	6
Hoplictis	10
Hyaena	8
Hyaenarctis	15
Hyaenictis	8
Hyaenictitherium	8
Hyaenotherium	8
Hypsoparia	10
Iberictis	10
Ictiocyon	2
Ictitherium	8
Indarctos	15
Ischyrictis	10
Ischyrocyon	2
Jourdanictis	16
Kolponomos	15
Kretzoiarctos	15
Laphyctis	10
Lartetictis	10
Legionarictis	10
Leopardus	6
Leptarctus	10
Leptocyon	5
Leptoplesictis	16
Limnonyx	10
Lontra	10
Lophocyon	16
Lutra	10
Lutraeximia	10
Lutravus	10
Lutrogale	10
Lycaena	8
Lycaon	5
Lycyaena	8
Lynx	6
Machairodus	6
Maemohcyon	2
Magerictis	1
Magericyon	2
Mammacyon	2
Marcetia	10
Martes	10
Martinogale	10
Matanomictis	10
Megalenhydris	10
Megalictis	10
Megantereon	6
Megaviverra	16
Meiniogale	2
Meles	10
Melidellavus	10
Mellivora	10
Melodon	10
Melogale	10
Melursus	15
Mephitis	9
Mesocyon	5
Metailurus	6
Metalopex	5
Metatomarctus	5
Microtomarctus	5
Miohyaenotherium	8
Miomachairodus	6
Miomaci	15
Miomustela	10
Mionictis	10
Miracinonyx	6
Mustela	10
Nannomephitis	10
Nasua	13
Negodiaetictis	10
Neofelis	6
Neovison	10
Nimravides	6
Nimravus	11
Nyctereutes	5
Oligobunis	10
Osbornodon	5
Osmotherium	10
Pachycrocuta	8
Paguma	16
Palaeogale	4
Palinhyaena	8
Paludolutra	10
Pannonictis	10
Panthera	6
Parabrachypsalis	10
Paracynarctus	5
Paradaphoenus	2
Paradoxurus	16
Paraenhydrocyon	5
Paragale	10
Parahyaena	8
Parailurus	1
Paralutra	10
Paramachaerodus	6
Paramartes	10
Parameles	10
Paranasua	13
Paraoligobunus	10
Parapotos	13
Parataxidea	10
Paratomarctus	5
Parenhydrocyon	5
Pekania	10
Percrocuta	12
Perunium	10
Phlaocyon	5
Phoberocyon	15
Phoberogale	15
Plesictis	10
Plesiogale	10
Plesiogulo	10
Pliocrocuta	8
Pliocyon	2
Pliogale	10
Plionarctos	15
Plionictis	10
Pliotaxidea	10
Plioviverrops	8
Plithocyon	15
Pogonodon	11
Polgardia	10
Potamotherium	10
Potos	13
Prionailurus	6
Prionodon	16
Pristifelis	6
Pristinailurus	1
Proailurus	6
Probassariscus	13
Procyon	13
Progenetta	16
Promartes	10
Promegantereon	6
Promeles	10
Promephitis	10
Proputorius	10
Prosansanosmilus	3
Protarctos	10
Protepicyon	5
Protictitherium	8
Protocyon	5
Protomarctus	5
Protoprocyon	13
Protursus	1
Psalidocyon	5
Pseudaelurus	6
Pseudailurus	12
Pseudarctos	2
Pseudocyon	2
Puijila	10
Puma	6
Putorius	10
Rhizosmilodon	6
Rhodanictis	10
Sabadellictis	10
Sansanosmilus	3
Sardolutra	10
Satherium	10
Schlossericyon	16
Semantor	10
Semigenetta	16
Shandgolictis	14
Siamogale	10
Simocyon	1
Sinictis	10
Sivanasua	16
Sivaonyx	10
Smilodon	6
Sminthosinis	10
Spilogale	9
Stenogale	14
Sthenictis	10
Stromeriella	13
Taxidea	10
Taxodon	10
Temnocyon	2
Tephrocyon	5
Teruelictis	10
Thalassictis	8
Thaumastocyon	15
Theriodictis	5
Thos	5
Tisisthenes	10
Tomarctus	5
Tremarctos	15
Trigonictis	10
Trocharion	10
Trochictis	10
Trochotherium	10
Tyrrhenolutra	10
Urocyon	5
Ursavus	15
Ursulus	15
Ursus	15
Viretailurus	6
Viretictis	14
Vishnufelis	6
Vishnuictis	16
Vishnuonyx	10
Viverra	16
Viverrictis	16
Viverricula	16
Vormela	10
Vulpes	5
Watay	10
Xenictis	10
Xenocyon	5
Xenosmilus	6
Ysengrinia	2
Zaragocyon	15
Zodiolestes	10
