age	sealevel
0	-19.6363636363636
0.002	-23.2727272727273
0.004	-20.7272727272727
0.006	-40.5090909090909
0.008	-51.6363636363636
0.01	-121.818181818182
0.012	-114.181818181818
0.014	-152.945454545455
0.016	-151.272727272727
0.018	-147.418181818182
0.02	-139.272727272727
0.022	-130.909090909091
0.024	-128.945454545455
0.026	-121.672727272727
0.028	-122.181818181818
0.03	-125.454545454545
0.032	-115.054545454545
0.034	-115.418181818182
0.036	-108
0.038	-109.454545454545
0.04	-109.818181818182
0.042	-113.454545454545
0.044	-103.636363636364
0.046	-107.054545454545
0.048	-107.636363636364
0.05	-107.636363636364
0.052	-107.636363636364
0.054	-100.218181818182
0.056	-106.909090909091
0.058	-108.363636363636
0.06	-118.327272727273
0.062	-123.054545454545
0.064	-120.727272727273
0.066	-125.090909090909
0.068	-110.909090909091
0.07	-100.218181818182
0.072	-93.0909090909091
0.074	-93.0909090909091
0.076	-81.4545454545455
0.078	-76.3636363636363
0.08	-69.8181818181818
0.082	-72
0.084	-65.9636363636364
0.086	-72
0.088	-81.9636363636364
0.09	-104
0.092	-91.7818181818182
0.094	-79.6363636363636
0.096	-88.2181818181818
0.098	-79.6363636363636
0.1	-79.2727272727273
0.102	-70.9090909090909
0.104	-55.2727272727273
0.106	-63.2727272727273
0.108	-61.8181818181818
0.11	-72.7272727272727
0.112	-77.6
0.114	-90.9090909090909
0.116	-86.5454545454546
0.118	-81.4545454545455
0.12	-81.9636363636364
0.122	-55.2727272727273
0.124	-42.1818181818182
0.126	-33.9636363636364
0.128	-19.0545454545455
0.13	-34.7636363636364
0.132	-73.2363636363636
0.134	-134.327272727273
0.136	-143.636363636364
0.138	-141.818181818182
0.14	-149.090909090909
0.142	-137.963636363636
0.144	-141.090909090909
0.146	-122.181818181818
0.148	-124.145454545455
0.15	-128
0.152	-107.636363636364
0.154	-132
0.156	-123.418181818182
0.158	-111.272727272727
0.16	-116.363636363636
0.162	-112.945454545455
0.164	-112.727272727273
0.166	-108.872727272727
0.168	-104.945454545455
0.17	-102.545454545455
0.172	-106.909090909091
0.174	-109.090909090909
0.176	-116.363636363636
0.178	-105.454545454545
0.18	-110.909090909091
0.182	-114.181818181818
0.184	-114.690909090909
0.186	-115.272727272727
0.188	-102.545454545455
0.19	-71.4909090909091
0.192	-78.1818181818182
0.194	-58.5454545454545
0.196	-58.6909090909091
0.198	-50.3272727272727
0.2	-46.2545454545455
0.202	-42.1818181818182
0.204	-53.8181818181818
0.206	-52.7272727272727
0.208	-51.6363636363636
0.21	-48.7272727272727
0.212	-50.1818181818182
0.214	-51.6363636363636
0.216	-47.4181818181818
0.218	-43.1272727272727
0.22	-40.9454545454546
0.222	-48.2909090909091
0.224	-55.6363636363636
0.226	-94.1818181818182
0.228	-102.327272727273
0.23	-103.490909090909
0.232	-104.727272727273
0.234	-84.7272727272727
0.236	-99.6363636363636
0.238	-78.3272727272727
0.24	-61.8181818181818
0.242	-77.0909090909091
0.244	-29.6
0.246	-77.3090909090909
0.248	-105.454545454545
0.25	-95.2727272727273
0.252	-124
0.254	-125.090909090909
0.256	-119.781818181818
0.258	-118.181818181818
0.26	-108.872727272727
0.262	-109.309090909091
0.264	-113.309090909091
0.266	-112.363636363636
0.268	-116.363636363636
0.27	-121.454545454545
0.272	-121.454545454545
0.274	-113.6
0.276	-117.090909090909
0.278	-112
0.28	-104.363636363636
0.282	-96.7272727272727
0.284	-89.0909090909091
0.286	-82.7636363636364
0.288	-76.3636363636363
0.29	-82.1818181818182
0.292	-50.1818181818182
0.294	-90.9090909090909
0.296	-103.272727272727
0.298	-112
0.3	-90.9090909090909
0.302	-107.636363636364
0.304	-98.1818181818182
0.306	-87.6363636363637
0.308	-84.2181818181818
0.31	-80.7272727272728
0.312	-69.0909090909091
0.314	-104
0.316	-76.3636363636363
0.318	-48.7272727272727
0.32	-60
0.322	-50.5454545454545
0.324	-63.2727272727273
0.326	-21.8181818181818
0.328	-24
0.33	-25.4545454545455
0.332	-15.2727272727273
0.334	0.399999999999991
0.336	-14.7636363636364
0.338	-67.6363636363636
0.34	-85.6727272727273
0.342	-103.781818181818
0.344	-121.818181818182
0.346	-141.818181818182
0.348	-85.0909090909091
0.35	-128
0.352	-109.818181818182
0.354	-117.818181818182
0.356	-111.272727272727
0.358	-120.727272727273
0.36	-119.636363636364
0.362	-118.545454545455
0.364	-120
0.366	-121.454545454545
0.368	-114.545454545455
0.37	-103.272727272727
0.372	-106.181818181818
0.374	-108.363636363636
0.376	-105.454545454545
0.378	-94.0363636363637
0.38	-88.7272727272727
0.382	-104
0.384	-87.0545454545455
0.386	-98.1818181818182
0.388	-85.0909090909091
0.39	-75.4181818181818
0.392	-77.8181818181818
0.394	-76
0.396	-60.3636363636364
0.398	-72.7272727272727
0.4	-64.2181818181818
0.402	-35.6363636363637
0.404	-14.1818181818182
0.406	-46.9090909090909
0.408	-25.4545454545455
0.41	-11.0545454545455
0.412	-31.0545454545455
0.414	-40.5090909090909
0.416	-85.8181818181818
0.418	-92.2181818181818
0.42	-90.9090909090909
0.422	-89.6
0.424	-153.381818181818
0.426	-146.545454545455
0.428	-113.672727272727
0.43	-113.6
0.432	-128.654545454545
0.434	-124.145454545455
0.436	-128
0.438	-120.945454545455
0.44	-120.290909090909
0.442	-119.636363636364
0.444	-101.818181818182
0.446	-101.454545454545
0.448	-101.090909090909
0.45	-106.181818181818
0.452	-111.272727272727
0.454	-116.363636363636
0.456	-124.363636363636
0.458	-109.309090909091
0.46	-94.3272727272727
0.462	-79.2727272727273
0.464	-112.727272727273
0.466	-108.727272727273
0.468	-99.0545454545455
0.47	-89.4545454545455
0.472	-91.6363636363636
0.474	-80.7272727272728
0.476	-76.7272727272727
0.478	-72.6545454545454
0.48	-68.6545454545455
0.482	-64.6545454545455
0.484	-60.5818181818182
0.486	-69.0909090909091
0.488	-41.0909090909091
0.49	-46.5454545454546
0.492	-52
0.494	-53.4545454545455
0.496	-55.2727272727273
0.498	-98.9090909090909
0.5	-78.8363636363636
0.502	-72.7272727272727
0.504	-74.1818181818182
0.506	-90.1818181818182
0.508	-75.8545454545455
0.51	-75.2727272727273
0.512	-77.0909090909091
0.514	-74.9090909090909
0.516	-74.1818181818182
0.518	-68.5090909090909
0.52	-74.9090909090909
0.522	-70.5454545454545
0.524	-83.1272727272727
0.526	-78.4
0.528	-91.7818181818182
0.53	-100.290909090909
0.532	-111.490909090909
0.534	-123.781818181818
0.536	-117.672727272727
0.538	-119.418181818182
0.54	-116.363636363636
0.542	-113.963636363636
0.544	-105.672727272727
0.546	-103.272727272727
0.548	-90.9090909090909
0.55	-90.4
0.552	-98.1818181818182
0.554	-70.5454545454545
0.556	-77.0909090909091
0.558	-88.7272727272727
0.56	-34.1818181818182
0.562	-89.0909090909091
0.564	-65.0909090909091
