Time	Temperature
0	9.317
0.006	7.838
0.02	0.912
0.12	7.907
0.17	3.436
0.33	9.351
0.5	4.066
0.67	9.393
0.83	5.874
1	9.431
1.17	6.21
1.33	9.477
1.5	6.551
1.67	9.522
1.83	6.888
2	9.562
2.17	7.223
2.33	8.419
2.5	9.623
2.67	9.642
2.83	9.667
3	9.685
3.17	9.706
3.33	9.729
3.5	9.751
3.67	9.775
3.83	9.794
4	9.816
4.17	9.844
4.33	9.866
4.5	9.894
4.67	9.916
4.83	9.94
5	9.963
5.17	10.015
5.33	10.065
5.5	10.134
5.67	10.183
5.83	10.2
6	10.332
6.17	10.331
6.33	10.412
6.5	10.419
6.67	10.457
6.83	10.504
7	10.558
7.17	10.592
7.33	10.661
7.5	10.736
7.67	10.831
7.83	10.874
8	10.921
8.17	10.958
8.33	10.973
8.5	11.062
8.67	11.104
8.83	11.132
9	11.173
9.17	11.215
9.33	11.257
9.5	11.3
9.67	11.346
9.83	11.416
10	11.47
10.17	11.509
10.33	11.536
10.5	11.574
10.67	11.609
10.83	11.68
11	11.731
11.17	11.778
11.33	11.832
11.5	11.899
11.67	11.917
11.83	11.988
12	11.977
12.17	12.052
12.33	12.086
12.5	12.094
12.67	12.152
12.83	12.172
13	12.228
13.17	12.307
13.33	12.333
13.5	12.384
13.67	12.454
13.83	12.489
14	12.526
14.17	12.61
14.33	12.651
14.5	12.68
14.67	12.753
14.83	12.824
15	12.884
15.17	12.91
15.33	12.951
15.5	12.978
15.67	12.99
15.83	13.041
16	13.058
16.17	13.09
16.33	13.124
16.5	13.151
16.67	13.181
16.83	13.227
17	13.245
17.17	13.26
17.33	13.31
17.5	13.357
17.67	13.369
17.83	13.391
18	13.42
18.17	13.444
18.33	13.477
18.5	13.513
18.67	13.537
18.83	13.53
19	13.568
19.17	13.593
19.33	13.616
19.5	13.668
19.67	13.692
19.83	13.748
20	13.79
20.17	13.765
20.33	13.777
20.5	13.8
20.67	13.814
20.83	13.828
21	13.824
21.17	13.818
21.33	13.837
21.5	13.88
21.67	13.91
21.83	13.93
22	13.95
22.17	13.96
22.33	13.97
22.5	14.02
22.67	14.05
22.83	14.06
23	14.08
23.17	14.09
23.33	14.11
23.5	14.11
23.67	14.13
23.83	14.14
24	14.16
24.17	14.18
24.33	14.19
24.5	14.21
24.67	14.23
24.83	14.23
25	14.23
25.17	14.3
25.33	14.39
25.5	14.48
25.67	14.56
25.83	14.65
26	14.73
26.17	14.8
26.33	14.9
26.5	15
26.67	15.1
26.83	15.19
27	15.27
27.17	15.36
27.33	15.44
27.5	15.53
27.67	15.62
27.83	15.72
28	15.8
28.17	15.87
28.33	15.95
28.5	16.04
28.67	16.12
28.83	16.21
29	16.27
29.17	16.36
29.33	16.48
29.5	16.56
29.67	16.65
29.83	16.74
30	16.85
30.17	16.88
30.33	16.93
30.5	16.95
30.67	17.01
30.83	17.07
31	17.08
31.17	17.1
31.33	17.16
31.5	17.19
31.67	17.24
31.83	17.27
32	17.3
32.17	17.34
32.33	17.38
32.5	17.41
32.67	17.45
32.83	17.5
33	17.51
33.17	17.54
33.33	17.55
33.5	17.58
33.67	17.62
33.83	17.65
34	17.7
34.17	17.7
34.33	17.74
34.5	17.76
34.67	17.81
34.83	17.85
35	17.87
35.17	17.91
35.33	17.92
35.5	17.95
35.67	17.98
35.83	17.98
36	17.97
36.17	17.99
36.33	18.03
36.5	18.02
36.67	18.07
36.83	18.1
37	18.1
37.17	18.05
37.33	18.05
37.5	18.07
37.67	18.094
37.83	18.155
38	18.2
38.17	18.277
38.33	18.334
38.5	18.351
38.67	18.374
38.83	18.424
39	18.443
39.17	18.467
39.33	18.5
39.5	18.53
39.67	18.554
39.83	18.553
40	18.58
40.17	18.594
40.33	18.603
40.5	18.641
40.67	18.681
40.83	18.7
41	18.734
41.17	18.742
41.33	18.749
41.5	18.77
41.67	18.782
41.83	18.837
42	18.864
42.17	18.892
42.33	18.916
42.5	18.942
42.67	18.941
42.83	18.965
43	18.98
43.17	19.01
43.33	18.999
43.5	18.996
43.67	19.018
43.83	19.009
44	19.034
44.17	19.04
44.33	19.051
44.5	19.072
44.67	19.088
44.83	19.084
45	19.118
45.17	19.139
45.33	19.15
45.5	19.161
45.67	19.186
45.83	19.191
46	19.201
46.17	19.22
46.33	19.22
46.5	19.231
46.67	19.258
46.83	19.242
47	19.247
47.17	19.264
47.33	19.286
47.5	19.326
47.67	19.358
47.83	19.384
48	19.41
48.17	19.418
48.33	19.428
48.5	19.44
48.67	19.45
48.83	19.45
49	19.46
49.17	19.47
49.33	19.5
49.5	19.49
49.67	19.48
49.83	19.5
50	19.5
50.17	19.52
50.33	19.54
50.5	19.55
50.67	19.57
50.83	19.59
51	19.59
51.17	19.61
51.33	19.63
51.5	19.64
51.67	19.66
51.83	19.68
52	19.7
52.17	19.69
52.33	19.7
52.5	19.72
52.67	19.71
52.83	19.74
53	19.74
53.17	19.76
53.33	19.76
53.5	19.73
53.67	19.74
53.83	19.75
54	19.77
54.17	19.78
54.33	19.78
54.5	19.79
54.67	19.79
54.83	19.8
55	19.81
55.17	19.82
55.33	19.85
55.5	19.85
55.67	19.86
55.83	19.86
56	19.86
56.17	19.87
56.33	19.89
56.5	19.88
56.67	19.9
56.83	19.93
57	19.93
57.17	19.93
57.33	19.95
57.5	19.94
57.67	19.96
57.83	19.97
58	19.95
58.17	19.96
58.33	19.96
58.5	19.98
58.67	19.98
58.83	20
59	20
59.17	20
59.33	20.01
59.5	20.02
59.67	20.02
59.83	20.05
60	20.04
60.17	20.04
60.33	20.05
60.5	20.06
60.67	20.07
60.83	20.09
61	20.08
61.17	20.07
61.33	20.06
61.5	20.07
61.67	20.09
61.83	20.1
62	20.08
62.17	20.08
62.33	20.09
62.5	20.1
62.67	20.11
62.83	20.07
63	20.08
63.17	20.09
63.33	20.06
63.5	20.05
63.67	20.04
63.83	20.07
64	20.06
64.17	20.05
64.33	20.04
64.5	20.05
64.67	20.05
64.83	20.06
65	20.05
65.17	20.03
65.33	20.04
65.5	20.05
65.67	20.08
65.83	20.06
66	20.07
66.17	20.07
66.33	20.08
66.5	20.06
66.67	20.07
66.83	20.07
67	20.07
67.17	20.05
67.33	20.06
67.5	20.06
67.67	20.07
67.83	20.07
68	20.05
