age	temp
0	-1.042
0.002	-1.18866666666667
0.004	-1.086
0.006	-1.88386666666667
0.008	-2.33266666666667
0.01	-5.16333333333333
0.012	-4.85533333333333
0.014	-6.4188
0.016	-6.35133333333333
0.018	-6.19586666666667
0.02	-5.86733333333333
0.022	-5.53
0.024	-5.4508
0.026	-5.15746666666667
0.028	-5.178
0.03	-5.31
0.032	-4.89053333333333
0.034	-4.9052
0.036	-4.606
0.038	-4.66466666666667
0.04	-4.67933333333333
0.042	-4.826
0.044	-4.43
0.046	-4.56786666666667
0.048	-4.59133333333333
0.05	-4.59133333333333
0.052	-4.59133333333333
0.054	-4.29213333333333
0.056	-4.562
0.058	-4.62066666666667
0.06	-5.02253333333333
0.062	-5.2132
0.064	-5.11933333333333
0.066	-5.29533333333333
0.068	-4.72333333333333
0.07	-4.29213333333333
0.072	-4.00466666666667
0.074	-4.00466666666667
0.076	-3.53533333333333
0.078	-3.33
0.08	-3.066
0.082	-3.154
0.084	-2.91053333333333
0.086	-3.154
0.088	-3.55586666666667
0.09	-4.44466666666667
0.092	-3.95186666666667
0.094	-3.462
0.096	-3.80813333333333
0.098	-3.462
0.1	-3.44733333333333
0.102	-3.11
0.104	-2.47933333333333
0.106	-2.802
0.108	-2.74333333333333
0.11	-3.18333333333333
0.112	-3.37986666666667
0.114	-3.91666666666667
0.116	-3.74066666666667
0.118	-3.53533333333333
0.12	-3.55586666666667
0.122	-2.47933333333333
0.124	-1.95133333333333
0.126	-1.61986666666667
0.128	-1.01853333333333
0.13	-1.65213333333333
0.132	-3.20386666666667
0.134	-5.66786666666667
0.136	-6.04333333333333
0.138	-5.97
0.14	-6.26333333333333
0.142	-5.81453333333333
0.144	-5.94066666666667
0.146	-5.178
0.148	-5.2572
0.15	-5.41266666666667
0.152	-4.59133333333333
0.154	-5.574
0.156	-5.22786666666667
0.158	-4.738
0.16	-4.94333333333333
0.162	-4.80546666666667
0.164	-4.79666666666667
0.166	-4.6412
0.168	-4.4828
0.17	-4.386
0.172	-4.562
0.174	-4.65
0.176	-4.94333333333333
0.178	-4.50333333333333
0.18	-4.72333333333333
0.182	-4.85533333333333
0.184	-4.87586666666667
0.186	-4.89933333333333
0.188	-4.386
0.19	-3.13346666666667
0.192	-3.40333333333333
0.194	-2.61133333333333
0.196	-2.6172
0.198	-2.27986666666667
0.2	-2.1156
0.202	-1.95133333333333
0.204	-2.42066666666667
0.206	-2.37666666666667
0.208	-2.33266666666667
0.21	-2.21533333333333
0.212	-2.274
0.214	-2.33266666666667
0.216	-2.16253333333333
0.218	-1.98946666666667
0.22	-1.90146666666667
0.222	-2.19773333333333
0.224	-2.494
0.226	-4.04866666666667
0.228	-4.3772
0.23	-4.42413333333333
0.232	-4.474
0.234	-3.66733333333333
0.236	-4.26866666666667
0.238	-3.4092
0.24	-2.74333333333333
0.242	-3.35933333333333
0.244	-1.44386666666667
0.246	-3.36813333333333
0.248	-4.50333333333333
0.25	-4.09266666666667
0.252	-5.25133333333333
0.254	-5.29533333333333
0.256	-5.0812
0.258	-5.01666666666667
0.26	-4.6412
0.262	-4.6588
0.264	-4.82013333333333
0.266	-4.782
0.268	-4.94333333333333
0.27	-5.14866666666667
0.272	-5.14866666666667
0.274	-4.83186666666667
0.276	-4.97266666666667
0.278	-4.76733333333333
0.28	-4.45933333333333
0.282	-4.15133333333333
0.284	-3.84333333333333
0.286	-3.58813333333333
0.288	-3.33
0.29	-3.56466666666667
0.292	-2.274
0.294	-3.91666666666667
0.296	-4.41533333333333
0.298	-4.76733333333333
0.3	-3.91666666666667
0.302	-4.59133333333333
0.304	-4.21
0.306	-3.78466666666667
0.308	-3.6468
0.31	-3.506
0.312	-3.03666666666667
0.314	-4.44466666666667
0.316	-3.33
0.318	-2.21533333333333
0.32	-2.67
0.322	-2.28866666666667
0.324	-2.802
0.326	-1.13
0.328	-1.218
0.33	-1.27666666666667
0.332	-0.866
0.334	-0.220666666666666
0.336	-0.845466666666667
0.338	-2.978
0.34	-3.70546666666667
0.342	-4.43586666666667
0.344	-5.16333333333333
0.346	-5.97
0.348	-3.682
0.35	-5.41266666666667
0.352	-4.67933333333333
0.354	-5.002
0.356	-4.738
0.358	-5.11933333333333
0.36	-5.07533333333333
0.362	-5.03133333333333
0.364	-5.09
0.366	-5.14866666666667
0.368	-4.87
0.37	-4.41533333333333
0.372	-4.53266666666667
0.374	-4.62066666666667
0.376	-4.50333333333333
0.378	-4.0428
0.38	-3.82866666666667
0.382	-4.44466666666667
0.384	-3.7612
0.386	-4.21
0.388	-3.682
0.39	-3.29186666666667
0.392	-3.38866666666667
0.394	-3.31533333333333
0.396	-2.68466666666667
0.398	-3.18333333333333
0.4	-2.84013333333333
0.402	-1.68733333333333
0.404	-0.821999999999999
0.406	-2.142
0.408	-1.27666666666667
0.41	-0.695866666666667
0.412	-1.50253333333333
0.414	-1.88386666666667
0.416	-3.71133333333333
0.418	-3.96946666666667
0.42	-3.91666666666667
0.422	-3.86386666666667
0.424	-6.4364
0.426	-6.16066666666667
0.428	-4.8348
0.43	-4.83186666666667
0.432	-5.43906666666667
0.434	-5.2572
0.436	-5.41266666666667
0.438	-5.12813333333333
0.44	-5.10173333333333
0.442	-5.07533333333333
0.444	-4.35666666666667
0.446	-4.342
0.448	-4.32733333333333
0.45	-4.53266666666667
0.452	-4.738
0.454	-4.94333333333333
0.456	-5.266
0.458	-4.6588
0.46	-4.05453333333333
0.462	-3.44733333333333
0.464	-4.79666666666667
0.466	-4.63533333333333
0.468	-4.2452
0.47	-3.858
0.472	-3.946
0.474	-3.506
0.476	-3.34466666666667
0.478	-3.1804
0.48	-3.01906666666667
0.482	-2.85773333333333
0.484	-2.69346666666667
0.486	-3.03666666666667
0.488	-1.90733333333333
0.49	-2.12733333333333
0.492	-2.34733333333333
0.494	-2.406
0.496	-2.47933333333333
0.498	-4.23933333333333
0.5	-3.42973333333333
0.502	-3.18333333333333
0.504	-3.242
0.506	-3.88733333333333
0.508	-3.30946666666667
0.51	-3.286
0.512	-3.35933333333333
0.514	-3.27133333333333
0.516	-3.242
0.518	-3.0132
0.52	-3.27133333333333
0.522	-3.09533333333333
0.524	-3.6028
0.526	-3.41213333333334
0.528	-3.95186666666667
0.53	-4.29506666666667
0.532	-4.7468
0.534	-5.24253333333333
0.536	-4.99613333333333
0.538	-5.06653333333334
0.54	-4.94333333333333
0.542	-4.84653333333333
0.544	-4.51213333333333
0.546	-4.41533333333333
0.548	-3.91666666666667
0.55	-3.89613333333334
0.552	-4.21
0.554	-3.09533333333333
0.556	-3.35933333333333
0.558	-3.82866666666667
0.56	-1.62866666666667
0.562	-3.84333333333333
0.564	-2.87533333333333
0.566	-3.88733333333333
0.568	-2.92813333333334
0.57	-1.62866666666667
0.572	-2.1332
0.574	-1.89266666666667
0.576	-1.702
0.578	-1.61986666666667
0.58	-1.15933333333333
0.582	-2.61426666666667
0.584	-3.88733333333333
0.586	-3.96946666666667
0.588	-4.10733333333333
0.59	-4.16013333333333
0.592	-5.14866666666667
0.594	-3.91666666666667
0.596	-3.506
0.598	-3.28013333333334
0.6	-3.5324
0.602	-3.4356
