Time	Temperature
0	4.538
0.006	3.818
0.02	-10.905
0.12	4.199
0.17	-9.107
0.33	4.585
0.5	-7.693
0.67	4.632
0.83	-3.546
1	4.679
1.17	-2.82
1.33	4.726
1.5	-2.086
1.67	4.767
1.83	-1.364
2	4.814
2.17	-0.632
2.33	2.125
2.5	4.885
2.67	4.906
2.83	4.932
3	4.95
3.17	4.979
3.33	5.002
3.5	5.026
3.67	5.05
3.83	5.073
4	5.097
4.17	5.12
4.33	5.144
4.5	5.167
4.67	5.19
4.83	5.209
5	5.232
5.17	5.308
5.33	5.356
5.5	5.47
5.67	5.524
5.83	5.6
6	5.677
6.17	5.805
6.33	5.92
6.5	6.053
6.67	6.152
6.83	6.248
7	6.316
7.17	6.356
7.33	6.462
7.5	6.5
7.67	6.571
7.83	6.629
8	6.755
8.17	6.823
8.33	6.927
8.5	7.018
8.67	7.121
8.83	7.239
9	7.352
9.17	7.407
9.33	7.485
9.5	7.582
9.67	7.696
9.83	7.796
10	7.861
10.17	7.863
10.33	7.874
10.5	7.908
10.67	7.923
10.83	7.959
11	8.022
11.17	8.097
11.33	8.161
11.5	8.203
11.67	8.21
11.83	8.257
12	8.281
12.17	8.309
12.33	8.328
12.5	8.378
12.67	8.407
12.83	8.418
13	8.46
13.17	8.493
13.33	8.528
13.5	8.575
13.67	8.612
13.83	8.669
14	8.698
14.17	8.741
14.33	8.785
14.5	8.798
14.67	8.824
14.83	8.879
15	8.909
15.17	8.951
15.33	9.004
15.5	9.023
15.67	9.041
15.83	9.086
16	9.119
16.17	9.152
16.33	9.175
16.5	9.239
16.67	9.307
16.83	9.373
17	9.341
17.17	9.384
17.33	9.439
17.5	9.471
17.67	9.48
17.83	9.528
18	9.559
18.17	9.574
18.33	9.615
18.5	9.668
18.67	9.691
18.83	9.735
19	9.787
19.17	9.829
19.33	9.875
19.5	9.935
19.67	9.975
19.83	10.014
20	10.047
20.17	10.08
20.33	10.115
20.5	10.166
20.67	10.194
20.83	10.22
21	10.261
21.17	10.302
21.33	10.326
21.5	10.369
21.67	10.428
21.83	10.508
22	10.531
22.17	10.586
22.33	10.626
22.5	10.667
22.67	10.735
22.83	10.746
23	10.769
23.17	10.799
23.33	10.835
23.5	10.874
23.67	10.921
23.83	10.956
24	10.968
24.17	11
24.33	11.069
24.5	11.134
24.67	11.147
24.83	11.189
25	11.228
25.17	11.339
25.33	11.447
25.5	11.564
25.67	11.69
25.83	11.806
26	11.91
26.17	12.002
26.33	12.12
26.5	12.226
26.67	12.334
26.83	12.445
27	12.582
27.17	12.722
27.33	12.823
27.5	12.924
27.67	13.033
27.83	13.132
28	13.26
28.17	13.356
28.33	13.468
28.5	13.594
28.67	13.711
28.83	13.812
29	13.9
29.17	14.028
29.33	14.16
29.5	14.257
29.67	14.363
29.83	14.478
30	14.588
30.17	14.633
30.33	14.701
30.5	14.751
30.67	14.775
30.83	14.829
31	14.886
31.17	14.94
31.33	14.97
31.5	15.004
31.67	15.037
31.83	15.08
32	15.119
32.17	15.15
32.33	15.18
32.5	15.231
32.67	15.252
32.83	15.291
33	15.327
33.17	15.351
33.33	15.403
33.5	15.442
33.67	15.483
33.83	15.497
34	15.531
34.17	15.566
34.33	15.63
34.5	15.659
34.67	15.7
34.83	15.74
35	15.781
35.17	15.787
35.33	15.806
35.5	15.805
35.67	15.809
35.83	15.8
36	15.81
36.17	15.812
36.33	15.811
36.5	15.819
36.67	15.829
36.83	15.839
37	15.845
37.17	15.843
37.33	15.834
37.5	15.841
37.67	15.852
37.83	15.882
38	15.897
38.17	15.919
38.33	15.904
38.5	15.909
38.67	15.933
38.83	15.921
39	15.921
39.17	15.929
39.33	15.94
39.5	15.951
39.67	15.924
39.83	15.886
40	15.92
40.17	15.918
40.33	15.917
40.5	15.93
40.67	15.926
40.83	15.924
41	15.912
41.17	15.901
41.33	15.909
41.5	15.893
41.67	15.894
41.83	15.884
42	15.867
42.17	15.876
42.33	15.898
42.5	15.88
42.67	15.85
42.83	15.851
43	15.86
43.17	15.84
43.33	15.82
43.5	15.814
43.67	15.829
43.83	15.857
44	15.84
44.17	15.836
44.33	15.818
44.5	15.821
44.67	15.799
44.83	15.8
45	15.78
45.17	15.802
45.33	15.78
45.5	15.778
45.67	15.803
45.83	15.86
46	15.913
46.17	15.937
46.33	16.027
46.5	16.074
46.67	16.068
46.83	16.118
47	16.195
47.17	16.262
47.33	16.3
47.5	16.341
47.67	16.398
47.83	16.434
48	16.48
48.17	16.52
48.33	16.568
48.5	16.589
48.67	16.653
48.83	16.701
49	16.741
49.17	16.79
49.33	16.799
49.5	16.856
49.67	16.91
49.83	16.947
50	17.008
50.17	17.01
50.33	17.012
50.5	17.011
50.67	17.011
50.83	17.015
51	17.046
51.17	17.055
51.33	17.037
51.5	17.036
51.67	17.051
51.83	17.053
52	17.072
52.17	17.091
52.33	17.094
52.5	17.064
52.67	17.074
52.83	17.088
53	17.074
53.17	17.078
53.33	17.077
53.5	17.089
53.67	17.086
53.83	17.101
54	17.107
54.17	17.097
54.33	17.101
54.5	17.121
54.67	17.107
54.83	17.101
55	17.11
55.17	17.126
55.33	17.126
55.5	17.135
55.67	17.165
55.83	17.196
56	17.208
56.17	17.232
56.33	17.236
56.5	17.25
56.67	17.26
56.83	17.271
57	17.27
57.17	17.273
57.33	17.294
57.5	17.307
57.67	17.341
57.83	17.36
58	17.368
58.17	17.37
58.33	17.379
58.5	17.378
58.67	17.4
58.83	17.421
59	17.396
59.17	17.4
59.33	17.4
59.5	17.421
59.67	17.444
59.83	17.445
60	17.45
60.17	17.446
60.33	17.457
60.5	17.467
60.67	17.459
60.83	17.466
61	17.475
61.17	17.462
61.33	17.453
61.5	17.458
61.67	17.459
61.83	17.45
62	17.442
62.17	17.411
62.33	17.424
62.5	17.438
62.67	17.483
62.83	17.453
63	17.471
63.17	17.449
63.33	17.468
63.5	17.483
63.67	17.47
63.83	17.5
64	17.496
64.17	17.533
64.33	17.553
64.5	17.561
64.67	17.552
64.83	17.571
65	17.581
65.17	17.573
65.33	17.59
65.5	17.593
65.67	17.62
65.83	17.653
66	17.634
66.17	17.64
66.33	17.65
66.5	17.65
66.67	17.64
66.83	17.61
67	17.66
67.17	17.66
67.33	17.71
67.5	17.74
67.67	17.72
67.83	17.7
68	17.68
68.17	17.69
68.33	17.72
68.5	17.73
68.67	17.74
68.83	17.75
69	17.74
69.17	17.75
69.33	17.75
69.5	17.74
69.67	17.74
69.83	17.75
70	17.77
