scientificName	higherGeography
Abies	nearctic
Abies	paleoarctic
Acacia	nearctic
Acacia	paleoarctic
Acalypha	nearctic
Acalypha	paleoarctic
Acer	nearctic
Acer	paleoarctic
Ailanthus	paleoarctic
Alangium	paleoarctic
Alisma	nearctic
Alisma	paleoarctic
Alnus	nearctic
Alnus	paleoarctic
Amelanchier	nearctic
Amelanchier	paleoarctic
Ampelopsis	nearctic
Ampelopsis	paleoarctic
Anacardium	nearctic
Anacardium	paleoarctic
Andromeda	nearctic
Andromeda	paleoarctic
Anemia	nearctic
Aphananthe	nearctic
Aphananthe	paleoarctic
Aralia	nearctic
Aralia	paleoarctic
Arbutus	nearctic
Arbutus	paleoarctic
Arctostaphylos	nearctic
Arctostaphylos	paleoarctic
Artocarpus	paleoarctic
Arundo	nearctic
Arundo	paleoarctic
Asplenium	nearctic
Asplenium	paleoarctic
Azolla	nearctic
Azolla	paleoarctic
Berchemia	nearctic
Berchemia	paleoarctic
Betula	nearctic
Betula	paleoarctic
Bignonia	nearctic
Blechnum	nearctic
Blechnum	paleoarctic
Buettneria	nearctic
Buettneria	paleoarctic
Calyptranthes	nearctic
Canarium	paleoarctic
Carpinus	nearctic
Carpinus	paleoarctic
Carya	nearctic
Carya	paleoarctic
Castanea	nearctic
Castanea	paleoarctic
Castanopsis	paleoarctic
Cayratia	paleoarctic
Ceanothus	nearctic
Cedrela	nearctic
Celastrus	nearctic
Celastrus	paleoarctic
Celtis	nearctic
Celtis	paleoarctic
Ceratozamia	nearctic
Cercidiphyllum	paleoarctic
Cercis	nearctic
Cercis	paleoarctic
Chrysobalanus	nearctic
Cinnamomum	paleoarctic
Cissus	nearctic
Cissus	paleoarctic
Cladrastis	nearctic
Cladrastis	paleoarctic
Cleyera	nearctic
Cleyera	paleoarctic
Clusia	nearctic
Cocculus	nearctic
Cocculus	paleoarctic
Comptonia	nearctic
Cornus	nearctic
Cornus	paleoarctic
Corydalis	nearctic
Corydalis	paleoarctic
Corylopsis	paleoarctic
Corylus	nearctic
Corylus	paleoarctic
Crataegus	nearctic
Crataegus	paleoarctic
Cupania	nearctic
Cyathea	nearctic
Cyathea	paleoarctic
Cymodocea	paleoarctic
Cyperus	nearctic
Cyperus	paleoarctic
Dalbergia	nearctic
Dalbergia	paleoarctic
Decodon	nearctic
Dennstaedtia	nearctic
Dennstaedtia	paleoarctic
Desmodium	nearctic
Desmodium	paleoarctic
Diospyros	nearctic
Diospyros	paleoarctic
Diploclisia	paleoarctic
Dipteronia	paleoarctic
Dombeya	nearctic
Dryopteris	nearctic
Dryopteris	paleoarctic
Elaeodendron	nearctic
Engelhardtia	paleoarctic
Equisetum	nearctic
Equisetum	paleoarctic
Exbucklandia	paleoarctic
Fagus	nearctic
Fagus	paleoarctic
Ficus	nearctic
Ficus	paleoarctic
Fokienia	paleoarctic
Fraxinus	nearctic
Fraxinus	paleoarctic
Gleditsia	nearctic
Gleditsia	paleoarctic
Gleichenia	nearctic
Gleichenia	paleoarctic
Glyptostrobus	paleoarctic
Gordonia	nearctic
Guettarda	nearctic
Guettarda	paleoarctic
Halesia	nearctic
Halesia	paleoarctic
Halodule	nearctic
Halodule	paleoarctic
Hemitelia	nearctic
Hicoria	paleoarctic
Holmskioldia	paleoarctic
Hydrangea	nearctic
Hydrangea	paleoarctic
Hydrocharis	paleoarctic
Inga	nearctic
Juglans	nearctic
Juglans	paleoarctic
Juniperus	nearctic
Juniperus	paleoarctic
Kalmia	nearctic
Kalmia	paleoarctic
Koelreuteria	paleoarctic
Lannea	paleoarctic
Larix	nearctic
Larix	paleoarctic
Laurus	paleoarctic
Liquidambar	nearctic
Liquidambar	paleoarctic
Litsea	nearctic
Litsea	paleoarctic
Lygodium	nearctic
Lygodium	paleoarctic
Lyonia	nearctic
Lyonia	paleoarctic
Magnolia	nearctic
Magnolia	paleoarctic
Mahonia	nearctic
Mahonia	paleoarctic
Mallotus	paleoarctic
Marsilea	nearctic
Marsilea	paleoarctic
Meliosma	nearctic
Meliosma	paleoarctic
Metasequoia	paleoarctic
Morus	nearctic
Morus	paleoarctic
Myrica	nearctic
Myrica	paleoarctic
Myristica	nearctic
Myristica	paleoarctic
Natsiatum	paleoarctic
Nelumbo	nearctic
