scientificName	earliestAge	latestAge	decimalLongitude	decimalLatitude
Abies	0.0117	0	135.733	34.917
Abies	0.126	0.0117	-83.364	42.809
Abies	0.126	0.0117	-84.250	42.549
Abies	0.126	0.0117	-85.907	42.120
Abies	0.126	0.0117	-124.974	49.718
Abies	0.126	0.0117	-114.517	50.183
Abies	0.126	0.0117	-123.117	48.050
Abies	0.126	0.0117	-81.769	36.958
Abies	0.126	0.0117	-111.267	39.583
Abies	0.3	0.012	-82.617	43.050
Abies	0.3	0.012	-82.617	43.050
Abies	0.781	0.126	12.733	42.033
Abies	0.781	0.126	17.300	40.467
Abies	2.588	0.781	-76.817	35.360
Abies	2.588	0.0117	141.537	42.806
Abies	2.588	0.781	135.350	34.450
Abies	2.588	0.781	135.767	35.083
Abies	2.588	0.781	135.767	34.883
Abies	3.6	2.588	11.300	51.467
Abies	3.6	2.588	11.300	51.467
Abies	5.333	2.588	10.067	50.967
Abies	5.333	2.588	-119.988	39.518
Abies	5.333	2.588	-119.649	39.310
Abies	7.246	3.6	14.600	51.433
Abies	11.608	5.333	73.450	55.467
Abies	11.608	5.333	-120.000	38.500
Abies	11.62	5.333	138.500	36.250
Abies	13.6	10.3	-118.897	38.494
Abies	13.6	10.3	-118.973	39.389
Abies	13.6	10.3	-118.936	39.786
Abies	13.82	11.62	13.767	51.733
Abies	13.82	11.62	14.000	51.583
Abies	13.82	11.62	13.900	51.550
Abies	13.82	11.62	13.900	51.550
Abies	13.82	11.62	14.600	51.333
Abies	13.82	11.62	14.600	51.433
Abies	13.82	11.62	14.783	51.400
Abies	13.82	11.62	14.183	51.567
Abies	13.82	11.62	-119.367	39.583
Abies	13.82	11.62	-119.367	39.583
Abies	13.82	11.62	-119.367	39.583
Abies	13.82	11.62	-119.367	39.583
Abies	13.82	11.62	-119.350	39.583
Abies	13.82	11.62	-119.350	39.583
Abies	13.82	11.62	-119.350	39.583
Abies	13.82	11.62	-119.350	39.583
Abies	13.82	11.62	-119.350	39.583
Abies	13.82	11.62	-119.350	39.583
Abies	15.97	11.62	14.600	51.433
Abies	15.97	11.62	18.667	50.267
Abies	15.97	11.62	18.667	50.267
Abies	15.97	11.62	18.667	50.267
Abies	15.97	11.62	18.667	50.267
Abies	15.97	11.62	18.667	50.267
Abies	15.97	11.62	18.667	50.267
Abies	15.97	11.62	18.667	50.267
Abies	15.97	13.6	-119.350	39.583
Abies	15.97	13.6	-119.350	39.583
Abies	15.97	11.608	-119.550	39.900
Abies	15.97	13.6	-118.897	38.494
Abies	15.97	11.608	165.917	60.417
Abies	20.44	15.97	-117.783	39.200
Abies	20.44	15.97	-117.783	39.200
Abies	20.44	15.97	-117.883	39.250
Abies	20.44	15.97	-117.883	39.250
Abies	20.44	15.97	-117.883	39.250
Abies	20.44	15.97	-117.883	39.250
Abies	23.03	2.588	138.167	36.583
Abies	23.03	5.333	136.000	35.000
Abies	23.03	5.333	-113.217	45.000
Abies	23.03	5.333	-113.217	45.000
Abies	23.03	5.333	-113.217	45.000
Abies	23.03	5.333	-114.077	42.237
Abies	23.03	5.333	-114.077	42.237
Abies	23.03	5.333	-114.077	42.237
Abies	23.03	5.333	-114.077	42.237
Abies	23.03	5.333	-114.077	42.237
Abies	23.03	5.333	-114.077	42.237
Abies	28.1	23.03	15.033	51.283
Abies	28.1	23.03	15.033	51.283
Abies	28.1	23.03	14.017	51.283
Abies	28.1	23.03	14.583	51.350
Abies	28.1	23.03	14.583	51.350
Abies	33.9	5.333	-113.117	45.150
Abies	33.9	5.333	-113.017	44.867
Abies	33.9	5.333	-113.017	44.867
Abies	33.9	5.333	-113.017	44.867
Abies	33.9	28.4	-120.205	45.001
Abies	33.9	28.1	-113.883	45.183
Abies	37.2	33.9	-105.250	38.917
Abies	37.2	23.03	-122.741	43.707
Abies	37.2	23.03	-122.741	43.707
Abies	55.8	48.6	-114.222	44.355
Abies	55.8	48.6	-114.222	44.370
Acacia	0.0117	0	145.700	-17.367
Acacia	0.126	0	145.700	-17.367
Acacia	0.126	0	145.700	-17.367
Acacia	0.126	0	145.700	-17.367
Acacia	0.126	0	145.700	-17.367
Acacia	0.126	0	145.700	-17.367
Acacia	0.126	0	145.700	-17.367
Acacia	0.126	0	145.700	-17.367
Acacia	0.781	0	145.700	-17.367
Acacia	1.806	0.781	35.335	-2.989
Acacia	1.806	0.781	35.335	-2.989
Acacia	1.806	0.781	35.344	-2.986
Acacia	2.588	1.806	36.325	3.850
Acacia	2.588	1.806	36.325	3.850
Acacia	2.588	1.806	36.325	3.850
Acacia	2.588	1.806	36.250	3.942
Acacia	2.588	1.806	36.250	3.942
Acacia	2.588	1.806	36.334	4.059
Acacia	2.588	1.806	36.334	4.059
Acacia	2.588	0.781	35.307	-2.958
Acacia	2.588	0.126	145.333	-42.150
Acacia	2.588	0.126	145.333	-42.150
Acacia	2.588	0.0117	145.700	-17.367
Acacia	2.588	0.0117	145.700	-17.367
Acacia	2.588	0.0117	145.700	-17.367
Acacia	2.588	0.0117	145.700	-17.367
Acacia	2.588	0.0117	145.700	-17.367
Acacia	2.588	0.0117	145.700	-17.367
Acacia	2.588	0.0117	145.700	-17.367
Acacia	2.588	0.0117	145.700	-17.367
Acacia	2.588	0.0117	145.700	-17.367
Acacia	2.588	0.0117	145.700	-17.367
Acacia	2.588	0.0117	145.700	-17.367
Acacia	2.588	0.781	144.217	-37.583
Acacia	2.588	0.126	145.333	-42.150
Acacia	2.588	0.781	144.217	-37.583
Acacia	2.588	0.781	144.217	-37.583
Acacia	2.588	0.781	144.217	-37.583
Acacia	2.588	0.781	144.217	-37.583
Acacia	2.588	0.781	144.217	-37.583
Acacia	2.588	0.781	144.217	-37.583
Acacia	2.588	0.781	144.217	-37.583
Acacia	2.588	0.781	144.217	-37.583
Acacia	2.588	0.781	144.217	-37.583
Acacia	2.588	0.781	144.217	-37.583
Acacia	2.588	0.781	144.217	-37.583
Acacia	2.588	0.781	144.217	-37.583
Acacia	2.588	0.781	144.217	-37.583
Acacia	2.588	0.781	144.217	-37.583
Acacia	2.588	0.781	144.217	-37.583
Acacia	2.588	0.781	144.217	-37.583
Acacia	2.588	0.781	144.217	-37.583
Acacia	2.588	0.781	144.217	-37.583
Acacia	2.588	0.781	144.217	-37.583
Acacia	2.588	0.781	144.217	-37.583
Acacia	2.588	0.781	144.217	-37.583
Acacia	5.333	0.0117	29.550	0.133
Acacia	5.333	0.0117	29.550	0.133
Acacia	5.333	0.0117	29.550	0.133
Acacia	5.333	0.0117	29.550	0.133
Acacia	5.333	0.0117	29.550	0.133
Acacia	5.333	0.0117	29.550	0.133
Acacia	5.333	0.0117	29.550	0.133
Acacia	5.333	0.0117	29.550	0.133
Acacia	5.333	0.0117	29.550	0.133
Acacia	5.333	0.0117	29.550	0.133
Acacia	5.333	0.0117	29.550	0.133
Acacia	5.333	0.0117	29.550	0.133
Acacia	5.333	0.0117	29.550	0.133
Acacia	5.333	0.0117	29.550	0.133
Acacia	5.333	0.0117	29.550	0.133
Acacia	5.333	0.0117	29.550	0.133
Acacia	5.333	0.0117	29.550	0.133
Acacia	5.333	0.0117	29.617	0.033
Acacia	5.333	0.0117	29.617	0.033
Acacia	5.333	0.0117	29.617	0.033
Acacia	5.333	0.0117	29.617	0.033
Acacia	5.333	0.0117	29.617	0.033
Acacia	5.333	0.0117	29.617	0.033
Acacia	5.333	0.0117	29.617	0.033
Acacia	5.333	0.0117	29.617	0.033
Acacia	5.333	0.781	35.346	-2.994
Acacia	5.333	2.588	-65.000	-19.000
Acacia	5.333	2.588	-65.000	-19.000
Acacia	5.333	2.588	-65.000	-19.000
Acacia	5.333	2.588	-67.333	-17.000
Acacia	5.333	2.588	-65.533	-19.367
Acacia	5.333	2.588	-65.533	-19.367
Acacia	5.333	2.588	-65.533	-19.367
Acacia	7.246	5.333	35.667	0.500
Acacia	23.03	2.588	31.000	1.500
Acacia	23.03	2.588	31.000	1.500
Acacia	23.03	2.588	31.000	1.500
Acacia	23.03	2.588	31.000	1.500
Acacia	23.03	2.588	31.000	1.500
Acacia	23.03	2.588	31.000	1.500
Acacia	23.03	2.588	31.000	1.500
Acacia	23.03	2.588	31.000	1.500
Acacia	23.03	2.588	31.000	1.500
Acacia	23.03	2.588	31.000	1.500
Acacia	23.03	2.588	31.000	1.500
Acacia	23.03	2.588	31.000	1.500
Acacia	23.03	2.588	31.000	1.500
Acacia	23.03	2.588	31.000	1.500
Acacia	23.03	2.588	31.000	1.500
Acacia	23.03	15.97	-79.633	9.033
Acacia	23.03	15.97	-79.633	9.033
Acacia	33.9	23.03	-66.878	18.297
Acacia	33.9	23.03	-66.188	18.373
