scientificName	earliestAge	latestAge	higherGeography
Podozamites	201.3	174.1	paleoarctic
Nilsonia	201.3	174.1	paleoarctic
Sagenopteris	174.1	163.5	paleoarctic
Podozamites	228	201.3	paleoarctic
Cladophlebis	174.1	163.5	paleoarctic
Cladophlebis	174.1	163.5	paleoarctic
Coniopteris	174.1	163.5	paleoarctic
Coniopteris	201.3	174.1	paleoarctic
Equisetites	174.1	163.5	paleoarctic
Pterophyllum	228	201.3	paleoarctic
Coniopteris	201.3	174.1	paleoarctic
Nilsonia	174.1	163.5	paleoarctic
Cladophlebis	228	201.3	paleoarctic
Ptilophyllum	201.3	174.1	paleoarctic
Otozamites	228	201.3	paleoarctic
Cladophlebis	174.1	163.5	paleoarctic
Nilsonia	174.1	163.5	paleoarctic
Cladophlebis	201.3	174.1	paleoarctic
Klukia	174.1	163.5	paleoarctic
Neocalamites	201.3	174.1	paleoarctic
Pterophyllum	228	201.3	paleoarctic
Pagiophyllum	174.1	163.5	paleoarctic
Coniopteris	174.1	163.5	paleoarctic
Equisetites	228	201.3	paleoarctic
Ptilophyllum	174.1	163.5	paleoarctic
Cladophlebis	201.3	174.1	paleoarctic
Brachyphyllum	201.3	174.1	paleoarctic
Nilsonia	174.1	163.5	paleoarctic
Klukia	174.1	163.5	paleoarctic
Cladophlebis	174.1	163.5	paleoarctic
Williamsonia	174.1	163.5	paleoarctic
Cladophlebis	174.1	163.5	paleoarctic
Pagiophyllum	174.1	163.5	paleoarctic
Pterophyllum	228	201.3	paleoarctic
Nilsonia	228	201.3	paleoarctic
Pterophyllum	228	201.3	paleoarctic
Nilsonia	228	201.3	paleoarctic
Dicotylophyllum	93.5	89.3	paleoarctic
Otozamites	228	201.3	paleoarctic
Cladophlebis	228	201.3	paleoarctic
Pterophyllum	237	228	paleoarctic
Pterophyllum	237	228	paleoarctic
Nilsonia	237	228	paleoarctic
Pterophyllum	237	228	paleoarctic
Equisetites	237	228	paleoarctic
Equisetum	237	228	paleoarctic
Pterophyllum	237	228	paleoarctic
Pterophyllum	237	228	paleoarctic
Pterophyllum	237	228	paleoarctic
Equisetites	237	228	paleoarctic
Equisetites	237	228	paleoarctic
Equisetites	237	228	paleoarctic
Pterophyllum	237	228	paleoarctic
Pterophyllum	237	228	paleoarctic
Pterophyllum	237	228	paleoarctic
Pterophyllum	237	228	paleoarctic
Pterophyllum	237	228	paleoarctic
Pterophyllum	237	228	paleoarctic
Arberophyllum	237	228	paleoarctic
Equisetum	237	228	paleoarctic
Pterophyllum	237	228	paleoarctic
Carpolithes	237	228	paleoarctic
Pinuspollenites	93.5	89.3	paleoarctic
Equisetites	237	228	paleoarctic
Neocalamites	237	228	paleoarctic
Cicatricosisporites	93.5	89.3	paleoarctic
Cycadolepis	237	228	paleoarctic
Sphenophyllum	298.9	290.1	paleoarctic
Alisporites	93.5	89.3	paleoarctic
Voltzia	237	228	paleoarctic
Equisetites	237	228	paleoarctic
Lonchopteris	237	228	paleoarctic
Pterophyllum	237	228	paleoarctic
Pterophyllum	237	228	paleoarctic
Arberophyllum	237	228	paleoarctic
Voltzia	237	228	paleoarctic
Coniopteris	237	228	paleoarctic
Pterophyllum	237	228	paleoarctic
Pterophyllum	237	228	paleoarctic
Biretisporites	93.5	89.3	paleoarctic
Beania	237	228	paleoarctic
Desmiophyllum	237	228	paleoarctic
Pterophyllum	237	228	paleoarctic
Pterophyllum	237	228	paleoarctic
Weltrichia	237	228	paleoarctic
Asterotheca	237	228	paleoarctic
Equisetites	237	228	paleoarctic
Asterotheca	237	228	paleoarctic
Equisetites	237	228	paleoarctic
Pterophyllum	237	228	paleoarctic
Zamites	237	228	paleoarctic
Pterophyllum	237	228	paleoarctic
Brachyphyllum	140.2	136.4	paleoarctic
Bennetticarpus	237	228	paleoarctic
Asterotheca	237	228	paleoarctic
Pterophyllum	237	228	paleoarctic
Voltzia	237	228	paleoarctic
Equisetites	237	228	paleoarctic
Pterophyllum	237	228	paleoarctic
Androstrobus	237	228	paleoarctic
Asterotheca	237	228	paleoarctic
Nyssa	23.03	20.44	paleoarctic
Taxodium	20.44	15.97	paleoarctic
Magnolia	23.03	20.44	paleoarctic
Pinus	20.44	15.97	paleoarctic
Picea	28.1	23.03	paleoarctic
Glyptostrobus	20.44	15.97	paleoarctic
Nilsonia	174.1	166.1	paleoarctic
Betula	20.44	15.97	paleoarctic
Liquidambar	23.03	20.44	paleoarctic
Quercus	23.03	20.44	paleoarctic
Ptilophyllum	174.1	166.1	paleoarctic
Platanus	23.03	20.44	paleoarctic
Pinus	28.1	23.03	paleoarctic
Ulmus	23.03	20.44	paleoarctic
Comptonia	28.1	23.03	paleoarctic
Rhus	20.44	15.97	paleoarctic
Tilia	28.1	23.03	paleoarctic
Sequoia	20.44	15.97	paleoarctic
Tilia	23.03	20.44	paleoarctic
Carya	28.1	23.03	paleoarctic
Corylopsis	23.03	20.44	paleoarctic
Nyssa	20.44	15.97	paleoarctic
Taxodium	28.1	23.03	paleoarctic
Rhus	23.03	20.44	paleoarctic
Tilia	20.44	15.97	paleoarctic
Ptilophyllum	174.1	166.1	paleoarctic
Carya	23.03	20.44	paleoarctic
Sagenopteris	174.1	166.1	paleoarctic
Zamites	174.1	166.1	paleoarctic
Zelkova	23.03	20.44	paleoarctic
Nyssa	28.1	23.03	paleoarctic
Liquidambar	28.1	23.03	paleoarctic
Pinus	28.1	23.03	paleoarctic
Carya	23.03	20.44	paleoarctic
Carya	20.44	15.97	paleoarctic
Ulmus	28.1	23.03	paleoarctic
Glyptostrobus	28.1	23.03	paleoarctic
Sequoia	28.1	23.03	paleoarctic
Betula	28.1	23.03	paleoarctic
Ptilophyllum	174.1	166.1	paleoarctic
Platanus	20.44	15.97	paleoarctic
Ptilophyllum	174.1	166.1	paleoarctic
Sagenopteris	174.1	166.1	paleoarctic
Acer	20.44	15.97	paleoarctic
Juglans	28.1	23.03	paleoarctic
Alnus	28.1	23.03	paleoarctic
Acer	28.1	23.03	paleoarctic
Carpinus	20.44	15.97	paleoarctic
Picea	20.44	15.97	paleoarctic
Nilsonia	174.1	166.1	paleoarctic
Nilsonia	174.1	166.1	paleoarctic
Cladophlebis	174.1	166.1	paleoarctic
Juglans	23.03	20.44	paleoarctic
Pinus	23.03	20.44	paleoarctic
Magnolia	20.44	15.97	paleoarctic
Picea	20.44	15.97	paleoarctic
Carpinus	28.1	23.03	paleoarctic
Corylus	28.1	23.03	paleoarctic
Picea	28.1	23.03	paleoarctic
Pinus	23.03	20.44	paleoarctic
Quercus	28.1	23.03	paleoarctic
Carya	28.1	23.03	paleoarctic
Otozamites	174.1	166.1	paleoarctic
Cladophlebis	174.1	166.1	paleoarctic
Juglans	28.1	23.03	paleoarctic
Liquidambar	20.44	15.97	paleoarctic
Ulmus	20.44	15.97	paleoarctic
Myrica	23.03	20.44	paleoarctic
Pinus	20.44	15.97	paleoarctic
Pinus	20.44	15.97	paleoarctic
Carya	20.44	15.97	paleoarctic
Carya	20.44	15.97	paleoarctic
Liquidambar	23.03	20.44	paleoarctic
Brachyphyllum	168.3	166.1	paleoarctic
