scientificName	earliestAge	latestAge	higherGeography
Abies	0.13	0	nearctic
Abies	0.13	0.01	nearctic
Abies	0.13	0.01	nearctic
Abies	0.13	0.01	nearctic
Abies	0.13	0.01	nearctic
Abies	0.13	0.01	nearctic
Abies	0.13	0	nearctic
Abies	0.13	0.01	nearctic
Abies	0.3	0.01	nearctic
Abies	0.3	0.01	nearctic
Abies	0.78	0.13	paleoarctic
Abies	2.59	0.01	paleoarctic
Abies	2.59	0.78	nearctic
Abies	3.6	2.59	paleoarctic
Abies	3.6	2.59	paleoarctic
Abies	5.33	2.59	paleoarctic
Abies	5.33	2.59	nearctic
Abies	5.33	2.59	nearctic
Abies	7.25	3.6	paleoarctic
Abies	11.61	5.33	paleoarctic
Abies	11.61	5.33	nearctic
Abies	11.62	5.33	paleoarctic
Abies	13.6	10.3	nearctic
Abies	13.6	10.3	nearctic
Abies	13.6	10.3	nearctic
Abies	13.82	11.62	paleoarctic
Abies	13.82	11.62	paleoarctic
Abies	13.82	11.62	paleoarctic
Abies	13.82	11.62	paleoarctic
Abies	13.82	11.62	paleoarctic
Abies	13.82	11.62	paleoarctic
Abies	13.82	11.62	paleoarctic
Abies	13.82	11.62	paleoarctic
Abies	13.82	11.62	nearctic
Abies	13.82	11.62	nearctic
Abies	13.82	11.62	nearctic
Abies	13.82	11.62	nearctic
Abies	13.82	11.62	nearctic
Abies	13.82	11.62	nearctic
Abies	13.82	11.62	nearctic
Abies	13.82	11.62	nearctic
Abies	13.82	11.62	nearctic
Abies	13.82	11.62	nearctic
Abies	15.97	11.62	paleoarctic
Abies	15.97	11.62	paleoarctic
Abies	15.97	11.62	paleoarctic
Abies	15.97	11.62	paleoarctic
Abies	15.97	11.62	paleoarctic
Abies	15.97	11.62	paleoarctic
Abies	15.97	11.62	paleoarctic
Abies	15.97	11.62	paleoarctic
Abies	15.97	11.61	paleoarctic
Abies	15.97	13.6	nearctic
Abies	15.97	13.6	nearctic
Abies	15.97	13.6	nearctic
Abies	15.97	11.61	nearctic
Abies	20.44	15.97	nearctic
Abies	20.44	15.97	nearctic
Abies	20.44	15.97	nearctic
Abies	20.44	15.97	nearctic
Abies	20.44	15.97	nearctic
Abies	20.44	15.97	nearctic
Abies	23.03	5.33	paleoarctic
Abies	23.03	2.59	paleoarctic
Abies	23.03	5.33	nearctic
Abies	23.03	5.33	nearctic
