scientificName	higherGeography
Ailanthus	paleoarctic
Alangium	paleoarctic
Anemia	nearctic
Artocarpus	paleoarctic
Bignonia	nearctic
Calyptranthes	nearctic
Canarium	paleoarctic
Castanopsis	paleoarctic
Cayratia	paleoarctic
Ceanothus	nearctic
Cedrela	nearctic
Ceratozamia	nearctic
Cercidiphyllum	paleoarctic
Chrysobalanus	nearctic
Cinnamomum	paleoarctic
Clusia	nearctic
Comptonia	nearctic
Corylopsis	paleoarctic
Cupania	nearctic
Cymodocea	paleoarctic
Decodon	nearctic
Diploclisia	paleoarctic
Dipteronia	paleoarctic
Dombeya	nearctic
Elaeodendron	nearctic
Engelhardtia	paleoarctic
Exbucklandia	paleoarctic
Fokienia	paleoarctic
Glyptostrobus	paleoarctic
Gordonia	nearctic
Hemitelia	nearctic
Hicoria	paleoarctic
Holmskioldia	paleoarctic
Hydrocharis	paleoarctic
Inga	nearctic
Koelreuteria	paleoarctic
Lannea	paleoarctic
Laurus	paleoarctic
Mallotus	paleoarctic
Metasequoia	paleoarctic
Natsiatum	paleoarctic
Neolitsea	paleoarctic
Nerium	paleoarctic
Ocotea	nearctic
Paliurus	paleoarctic
Parabaena	paleoarctic
Pericampylus	paleoarctic
Platycarya	paleoarctic
Posidonia	paleoarctic
Pterocarya	paleoarctic
Pyrenacantha	paleoarctic
Rhamnidium	nearctic
Schinus	nearctic
Sequoia	nearctic
Stephania	paleoarctic
Stillingia	nearctic
Thalassodendron	paleoarctic
Toddalia	paleoarctic
Trapa	paleoarctic
Vauquelinia	nearctic
Vouapa	nearctic
Weinmannia	nearctic
Zelkova	paleoarctic
Abies	nearctic
Acacia	nearctic
Acalypha	nearctic
Acer	nearctic
Alisma	nearctic
Alnus	nearctic
Amelanchier	nearctic
Ampelopsis	nearctic
Anacardium	nearctic
Andromeda	nearctic
Aphananthe	nearctic
Aralia	nearctic
Arbutus	nearctic
Arctostaphylos	nearctic
Arundo	nearctic
Asplenium	nearctic
Azolla	nearctic
Berchemia	nearctic
Betula	nearctic
Blechnum	nearctic
Buettneria	nearctic
Carpinus	nearctic
Carya	nearctic
Castanea	nearctic
Celastrus	nearctic
Celtis	nearctic
Cercis	nearctic
Cissus	nearctic
Cladrastis	nearctic
Cleyera	nearctic
Cocculus	nearctic
Cornus	nearctic
Corydalis	nearctic
Corylus	nearctic
Crataegus	nearctic
Cyathea	nearctic
Cyperus	nearctic
Dalbergia	nearctic
Dennstaedtia	nearctic
Desmodium	nearctic
Diospyros	nearctic
Dryopteris	nearctic
Equisetum	nearctic
Fagus	nearctic
Ficus	nearctic
Fraxinus	nearctic
Gleditsia	nearctic
Gleichenia	nearctic
Guettarda	nearctic
Halesia	nearctic
Halodule	nearctic
Hydrangea	nearctic
Juglans	nearctic
Juniperus	nearctic
Kalmia	nearctic
Larix	nearctic
Liquidambar	nearctic
Litsea	nearctic
Lygodium	nearctic
Lyonia	nearctic
Magnolia	nearctic
Mahonia	nearctic
Marsilea	nearctic
Meliosma	nearctic
Morus	nearctic
Myrica	nearctic
Myristica	nearctic
Nelumbo	nearctic
Nymphaea	nearctic
Nyssa	nearctic
Onoclea	nearctic
Osmunda	nearctic
Ostrya	nearctic
Parthenocissus	nearctic
Persea	nearctic
Philadelphus	nearctic
Phragmites	nearctic
Physalis	nearctic
Picea	nearctic
Pieris	nearctic
Pinus	nearctic
Pistia	nearctic
Planera	nearctic
Platanus	nearctic
Pongamia	nearctic
Populus	nearctic
Potamogeton	nearctic
Prunus	nearctic
Quercus	nearctic
Rhamnus	nearctic
Rhododendron	nearctic
Rhus	nearctic
Rosa	nearctic
Ruppia	nearctic
Salix	nearctic
Salvinia	nearctic
Sapindus	nearctic
Sassafras	nearctic
Sloanea	nearctic
Smilax	nearctic
Sparganium	nearctic
Spirodela	nearctic
Sterculia	nearctic
Tabernaemontana	nearctic
Taxodium	nearctic
Terminalia	nearctic
Thalassia	nearctic
Thelypteris	nearctic
Tilia	nearctic
Ulmus	nearctic
Viburnum	nearctic
Vitis	nearctic
Woodwardia	nearctic
Zannichellia	nearctic
Ziziphus	nearctic
Zostera	nearctic
Abies	paleoarctic
Acacia	paleoarctic
Acalypha	paleoarctic
Acer	paleoarctic
Alisma	paleoarctic
Alnus	paleoarctic
Amelanchier	paleoarctic
Ampelopsis	paleoarctic
Anacardium	paleoarctic
Andromeda	paleoarctic
Aphananthe	paleoarctic
Aralia	paleoarctic
Arbutus	paleoarctic
Arctostaphylos	paleoarctic
Arundo	paleoarctic
Asplenium	paleoarctic
Azolla	paleoarctic
Berchemia	paleoarctic
Betula	paleoarctic
Blechnum	paleoarctic
Buettneria	paleoarctic
Carpinus	paleoarctic
Carya	paleoarctic
Castanea	paleoarctic
Celastrus	paleoarctic
Celtis	paleoarctic
Cercis	paleoarctic
Cissus	paleoarctic
Cladrastis	paleoarctic
Cleyera	paleoarctic
Cocculus	paleoarctic
Cornus	paleoarctic
Corydalis	paleoarctic
Corylus	paleoarctic
Crataegus	paleoarctic
Cyathea	paleoarctic
Cyperus	paleoarctic
Dalbergia	paleoarctic
Dennstaedtia	paleoarctic
Desmodium	paleoarctic
Diospyros	paleoarctic
Dryopteris	paleoarctic
Equisetum	paleoarctic
Fagus	paleoarctic
Ficus	paleoarctic
Fraxinus	paleoarctic
Gleditsia	paleoarctic
Gleichenia	paleoarctic
Guettarda	paleoarctic
Halesia	paleoarctic
Halodule	paleoarctic
Hydrangea	paleoarctic
Juglans	paleoarctic
Juniperus	paleoarctic
Kalmia	paleoarctic
Larix	paleoarctic
Liquidambar	paleoarctic
Litsea	paleoarctic
Lygodium	paleoarctic
Lyonia	paleoarctic
