scientificName	earliestAge	latestAge	decimalLongitude	decimalLatitude
Posidonia	345	336	-97.742775	30.266945
Posidonia	358.9	323.2	-3.85	56.616669
Posidonia	326.4	318.1	6.166667	49.75
Posidonia	163.5	157.3	48.446667	14.316667
Posidonia	163.5	157.3	48.446667	14.316667
Posidonia	163.5	157.3	48.446667	14.316667
Posidonia	157.3	145	48.392776	14.338056
Ficus	41.3	38	31.25	30.049999
Ficus	37.2	33.9	-75.116669	9.683333
Posidonia	358.9	346.7	-93.238892	42.833332
Ficus	33.9	28.1	-77.044441	35.108334
Ficus	33.9	28.1	-77.044441	35.108334
Posidonia	339.4	314.6	-109.500832	43.61972
Posidonia	376.1	370.6	7.166667	50.966667
Posidonia	336	326.4	-6.733333	54.416668
Posidonia	345	336	-82.25	36.75
Posidonia	339.4	318.1	-82.25	36.75
Ficus	33.9	28.1	-88.730278	30.982222
Ficus	33.9	28.1	-88.690559	31.809999
Ficus	33.9	28.1	-90.245277	32.179169
Ficus	33.9	28.1	-89.498337	31.970833
Ficus	33.9	28.1	-90.180557	32.165279
Ficus	33.9	28.1	-90.803612	32.477501
Ficus	33.9	28.1	-88.660835	31.659721
Ficus	33.9	28.1	-88.660835	31.659721
Ficus	38	28.1	-125.25	45.75
Ficus	47.8	41.3	-0.783333	50.733334
Ficus	47.8	41.3	-0.783333	50.733334
Ficus	47.8	41.3	-0.783333	50.733334
Ficus	47.8	41.3	-0.783333	50.733334
Posidonia	326.4	318.1	-2	52.833332
Posidonia	326.4	318.1	-3	54
Posidonia	336	326.4	-2.833333	54
Posidonia	326.4	318.1	-2.833333	54
Posidonia	326.4	318.1	-2.833333	54
Posidonia	326.4	318.1	-2.833333	54
Posidonia	326.4	318.1	-2.833333	54
Posidonia	326.4	318.1	-2.833333	54
Posidonia	326.4	318.1	-2.833333	54
Posidonia	326.4	318.1	-2.833333	54
Posidonia	326.4	318.1	-2.833333	54
Posidonia	326.4	318.1	-2.833333	54
Ficus	28.1	23.03	19.083332	47.5
Ficus	28.4	23.03	19.083332	47.5
Posidonia	326.4	318.1	-1.866667	54.166668
Posidonia	326.4	318.1	-1.866667	54.166668
Posidonia	326.4	318.1	-1.866667	54.166668
Posidonia	326.4	318.1	-1.866667	54.166668
Posidonia	326.4	318.1	-2	54
Posidonia	326.4	318.1	-2	54
Posidonia	326.4	318.1	-1.866667	54.166668
Posidonia	326.4	318.1	-1.866667	54.166668
Posidonia	326.4	318.1	-1.866667	54.166668
Posidonia	326.4	318.1	-1.866667	54.166668
Posidonia	326.4	318.1	-1.866667	54.166668
Posidonia	326.4	318.1	-2	54
Posidonia	326.4	318.1	-2	54
Posidonia	326.4	318.1	-2	54
Posidonia	326.4	318.1	-1.816667	54.066666
Posidonia	326.4	318.1	-1.816667	54.066666
Posidonia	326.4	318.1	-1.816667	54.066666
Posidonia	326.4	318.1	-1.816667	54.066666
Posidonia	326.4	318.1	-1.816667	54.066666
Posidonia	326.4	318.1	-1.866667	54.166668
Posidonia	326.4	318.1	-1.866667	54.166668
Posidonia	326.4	318.1	-1.866667	54.166668
Posidonia	326.4	318.1	-1.866667	54.166668
Posidonia	326.4	318.1	-1.866667	54.166668
Posidonia	326.4	318.1	-1.816667	54.066666
Posidonia	326.4	318.1	-1.816667	54.066666
Posidonia	326.4	318.1	-1.866667	54.166668
Posidonia	326.4	318.1	-1.866667	54.166668
Posidonia	326.4	318.1	-2.416667	54.233334
Posidonia	326.4	318.1	-2.416667	54.233334
Posidonia	326.4	318.1	-1.866667	54.166668
Posidonia	326.4	318.1	-1.866667	54.166668
Posidonia	326.4	318.1	-1.866667	54.166668
Posidonia	326.4	318.1	-1.866667	54.166668
Posidonia	326.4	318.1	-1.866667	54.166668
Posidonia	326.4	318.1	-1.866667	54.166668
Posidonia	326.4	318.1	-1.866667	54.166668
Posidonia	326.4	318.1	-1.866667	54.166668
Posidonia	326.4	318.1	-1.866667	54.166668
Posidonia	326.4	318.1	-1.816667	54.066666
Posidonia	326.4	318.1	-1.816667	54.066666
Posidonia	326.4	318.1	-1.816667	54.066666
Posidonia	326.4	318.1	-1.866667	54.166668
Posidonia	326.4	318.1	-2.65	54.099998
