Species	ts	te	diet	habitat	locomotion	size	depth	fe_cat
taxon_1	3.30315455	0	1	3	1	2	2	3
taxon_2	15.5209216	10.5965505	1	3	1	2	3	3
taxon_3	3.7178216	1.78805572	1	3	1	2	3	3
taxon_4	21.98385876	16.29431899	1	3	1	2	3	3
taxon_5	9.57523843	0	1	3	1	2	3	3
taxon_6	3.80766616	1.78641083	1	3	1	2	3	3
taxon_7	3.78946396	1.62378047	1	3	1	2	3	3
taxon_8	19.41054348	17.92575474	0	3	1	3	3	4
taxon_9	23.67395831	16.70580777	0	3	1	3	2	4
taxon_10	11.51053391	5.38874599	3	1	0	3	2	4
taxon_11	54.09111912	0	0	1	4	3	3	2
taxon_12	15.13408621	13.8017518	0	1	4	3	3	2
taxon_13	26.99926433	16.98337478	0	1	2	5	5	0
taxon_14	28.05200405	4.93596383	1	3	1	3	5	1
taxon_15	8.15768635	6.95593731	2	1	0	1	3	3
taxon_16	3.25671644	2.62413593	2	1	2	2	3	3
taxon_17	3.51904804	1.65486813	2	1	2	2	3	3
taxon_18	3.08834339	2.4135489	2	1	2	2	3	3
taxon_19	19.52750382	18.41729322	2	1	2	2	3	3
taxon_20	2.92815302	2.38735261	3	1	0	1	4	3
taxon_21	2.90655618	2.10529518	3	1	0	1	4	3
taxon_22	3.00197104	2.35669773	3	1	0	1	4	3
taxon_23	3.09171537	2.36070131	3	1	0	1	4	3
taxon_24	3.223586	2.54342511	3	1	0	1	4	3
taxon_25	0.52604026	0	1	3	1	2	4	2
taxon_26	1.95906869	0.97115764	1	4	1	2	4	0
taxon_27	3.67089529	1.92626947	0	3	1	4	3	4
taxon_28	0.71657714	0.09050426	0	3	1	4	3	4
taxon_29	23.36885373	1.57395683	0	3	1	4	3	4
taxon_30	12.12460583	3.63573197	0	3	1	4	3	4
taxon_31	10.02686584	0	0	3	1	5	3	1
taxon_32	3.66334927	1.86494114	3	1	0	0	2	4
taxon_33	26.90608676	0	3	1	0	1	2	4
taxon_34	9.75735898	0	3	1	0	1	2	4
taxon_35	3.72179423	0	3	1	0	1	1	4
taxon_36	3.64383496	1.94447772	3	1	0	1	2	4
taxon_37	11.09998733	6.38146486	3	1	0	0	2	4
taxon_38	23.55985746	15.91758376	3	1	0	1	2	4
taxon_39	23.63193626	16.34694956	3	1	0	1	2	4
taxon_40	3.08528576	0	3	1	0	1	2	4
taxon_41	4.03413638	0	3	1	0	1	3	4
taxon_42	23.12014192	16.50176065	3	1	0	1	2	4
taxon_43	10.15152685	0	3	1	0	0	3	3
taxon_44	16.96778793	1.74014331	3	1	0	0	2	4
taxon_45	23.5587217	1.05243548	3	1	0	1	2	4
taxon_46	2.76611855	2.27417622	3	1	0	1	2	4
taxon_47	9.32783424	7.92629369	3	1	0	1	2	4
taxon_48	22.90437149	16.7721268	3	1	0	2	3	4
taxon_49	3.69621543	2.39146318	3	1	0	2	3	4
taxon_50	3.49414056	2.06713848	3	1	0	1	3	4
taxon_51	23.44861471	11.24312904	3	1	0	1	3	4
taxon_52	23.71631692	12.89540145	3	1	0	1	3	4
taxon_53	20.46821198	19.35583418	3	1	0	2	3	4
taxon_54	17.42398832	2.01594867	3	1	0	2	3	4
taxon_55	3.44910893	2.26735208	3	1	0	2	3	4
taxon_56	2.70845968	2.05971044	3	1	0	2	2	4
taxon_57	9.16024723	7.81531716	3	1	0	3	2	4
taxon_58	12.03609607	2.03646393	3	1	0	2	4	4
taxon_59	9.61114075	5.73146466	3	1	0	2	4	4
taxon_60	3.27020441	2.68950373	3	1	0	2	4	4
taxon_61	4.55365361	3.95802219	1	3	1	4	1	3
taxon_62	3.29006669	2.48047873	1	3	1	4	1	3
taxon_63	3.16827548	2.54475239	1	3	1	4	1	3
taxon_64	1.64173667	1.13908176	1	3	1	4	1	3
taxon_65	5.09668921	3.4186482	1	3	1	4	1	3
taxon_66	5.58340989	0	1	3	1	4	2	3
taxon_67	8.97379478	7.78376376	2	1	0	3	2	3
taxon_68	3.53669718	2.03725445	0	1	1	3	3	1
taxon_69	21.6796164	20.08305391	0	1	1	3	3	1
taxon_70	1.33167061	0.9783186	0	1	1	3	3	1
taxon_71	9.52388685	0	0	1	1	4	4	2
taxon_72	1.8892556	0.14050795	3	1	0	1	1	4
taxon_73	3.21511528	2.43988705	3	1	0	1	1	4
taxon_74	14.68955924	13.53369123	3	1	0	4	5	2
taxon_75	22.62481282	3.44625487	3	1	0	4	2	4
taxon_76	3.34446943	0	2	1	0	2	1	3
taxon_77	3.60150197	2.17471189	2	1	0	2	2	3
taxon_78	5.17570405	0.19389807	2	1	0	2	2	3
taxon_79	4.61041643	3.89620684	2	1	0	2	2	3
taxon_80	11.05683995	5.99504572	3	1	0	2	4	4
taxon_81	3.98622003	0	3	1	0	2	4	4
taxon_82	14.8031227	3.45341251	3	1	0	2	4	4
taxon_83	4.98253132	4.33759636	0	0	4	4	2	1
taxon_84	11.24171669	5.42809758	3	1	0	2	3	4
taxon_85	15.86331725	11.08264164	3	1	0	2	3	4
taxon_86	3.0303092	2.47721948	3	1	0	2	3	4
taxon_87	3.71967944	1.70823194	3	1	0	2	3	4
taxon_88	11.42753242	5.02635353	3	1	0	2	3	4
taxon_89	11.2767654	5.21905164	3	1	0	2	3	4
taxon_90	4.81653053	4.09560634	3	1	0	2	3	4
taxon_91	2.74382124	2.09405407	3	1	0	2	3	4
taxon_92	3.5839676	1.96986427	3	1	0	2	3	4
taxon_93	11.33059117	5.43474328	3	1	0	2	3	4
taxon_94	11.15474336	6.07206625	3	1	0	2	3	4
taxon_95	21.76303036	16.43450283	0	3	1	3	3	4
taxon_96	11.57826452	3.46278626	0	3	1	3	2	4
taxon_97	3.73634142	1.87868777	0	3	1	3	4	4
taxon_98	3.03701956	2.27221179	0	3	1	3	2	4
taxon_99	27.24168807	16.08604952	0	3	1	3	1	4
taxon_100	2.99655706	2.37405535	0	3	1	3	1	4
taxon_101	20.69317199	10.75592695	0	3	1	3	1	4
taxon_102	23.75931401	11.63115609	0	3	1	3	1	4
taxon_103	0.86834483	0	0	3	1	3	1	4
taxon_104	2.87912717	2.25008478	3	1	0	5	2	4
taxon_105	3.62007703	1.77802863	3	1	0	5	3	4
taxon_106	2.99421593	2.31375413	3	1	0	5	2	4
taxon_107	2.79538538	2.2098972	3	1	0	5	1	4
taxon_108	3.38884094	1.94545059	3	1	0	5	4	4
taxon_109	3.43143959	1.98945697	3	1	0	5	3	4
taxon_110	2.8963221	2.23544635	3	1	0	5	2	4
taxon_111	2.78662778	2.28118001	3	1	0	5	5	4
taxon_112	2.73059002	2.20234294	3	1	0	5	1	4
taxon_113	2.93198906	2.25506704	3	1	0	5	2	4
taxon_114	3.73831537	1.78705212	3	1	0	5	3	4
taxon_115	23.47386245	16.27774744	2	1	0	1	2	4
taxon_116	20.3550656	19.37459791	2	1	0	1	2	4
taxon_117	4.7904638	0	2	1	0	1	2	4
taxon_118	4.88901263	4.18660493	2	1	0	1	2	4
taxon_119	4.94500714	2.10894959	2	1	0	1	2	4
taxon_120	14.77717163	2.40362639	2	1	0	0	3	4
taxon_121	4.60719752	3.92137736	2	1	0	0	3	4
taxon_122	3.84078958	1.58946592	2	1	0	0	2	4
taxon_123	5.06745876	4.39073779	2	1	0	0	1	4
taxon_124	4.84507094	4.13876585	3	1	0	2	4	4
taxon_125	3.63928629	1.93916726	3	1	0	1	1	4
taxon_126	3.61060818	1.6696532	3	1	0	1	1	4
taxon_127	3.39019458	2.8500572	0	3	3	1	1	3
taxon_128	0.61724201	0.38070143	0	3	3	1	1	3
taxon_129	23.32251184	10.69764049	0	3	3	1	1	3
taxon_130	23.49657882	11.7978241	0	3	3	1	1	3
taxon_131	0.86362123	0.2029259	0	3	3	1	1	3
taxon_132	4.22149823	0	2	1	0	0	2	4
taxon_133	1.61403951	0	2	1	0	0	2	4
taxon_134	4.88896112	1.82243996	2	1	0	0	3	4
taxon_135	5.00632004	4.14127619	2	1	0	0	3	4
taxon_136	11.41525415	2.12703603	3	1	0	4	3	4
taxon_137	11.61409174	5.45455035	3	1	0	3	3	4
taxon_138	20.91329763	19.96491181	3	1	0	3	3	4
taxon_139	23.50031883	12.35234802	3	1	0	3	3	4
taxon_140	22.26455227	1.92694687	3	1	0	3	3	4
taxon_141	8.35115205	0	3	1	0	3	3	4
taxon_142	3.31619313	2.56119991	3	1	0	3	3	4
