clade	species	ts	te
0	0	164.130322729	105.983829629
0	1	322.006511853	253.26894035
0	2	226.871743305	101.810886036
0	3	71.3993051099	0.0
0	4	123.412474226	92.0395532636
0	5	239.704762714	94.5216667761
0	6	125.9868995	0.0
0	7	137.24103501	101.717664379
0	8	89.704200228	33.2574048487
0	9	16.8075673757	0.0
0	10	193.41825009	120.555159165
0	11	39.2175337877	23.5036531656
0	12	350.263579019	251.32388608
0	13	140.368299561	0.0
0	14	231.87522311	0.0
0	15	203.779621685	177.259942608
0	16	352.913844456	275.783823338
0	17	350.252165133	247.71047444
0	18	5.94948494372	0.0
0	19	253.665895286	218.531079735
0	20	246.189593459	239.924401564
0	21	25.6652912346	0.0
0	22	314.391811252	290.368454484
0	23	359.826325624	281.539110888
0	24	333.761930572	246.434109419
0	25	9.59227381761	0.0
0	26	249.963914753	70.9272584022
0	27	185.565670847	126.630584909
0	28	239.759052313	61.0721234986
0	29	236.341639967	0.0
0	30	358.936068305	257.156325237
0	31	343.161811803	207.325861137
0	32	132.552838931	86.9942425999
0	33	156.564999829	0.0
0	34	69.6588445447	30.9269707853
0	35	288.896289047	250.304311779
0	36	96.5901231019	74.6383418
0	37	126.766457181	0.0
0	38	139.170482209	78.2054129231
0	39	261.020792504	251.791270312
0	40	299.78248923	268.473365458
0	41	295.197586166	251.537933451
0	42	237.057944718	224.489490137
0	43	238.119880814	220.900301272
0	44	150.766549844	0.0
0	45	101.932638843	76.4026592841
0	46	252.45169641	247.094213176
0	47	78.2717609778	0.0
0	48	356.809569315	265.473581895
0	49	355.438674742	307.479249402
0	50	353.29174121	269.916793835
0	51	162.171643722	88.5615967869
0	52	359.002734004	173.136814702
0	53	357.712630577	231.056642905
0	54	247.617820788	195.247800037
0	55	316.831950723	292.895022672
0	56	409.932377071	245.548649329
0	57	58.5172450186	0.0
0	58	302.110455686	248.029928815
0	59	260.1755088	252.005712713
0	60	347.055989788	320.448493378
0	61	121.223787431	91.2975971521
0	62	100.795306813	0.0
0	63	291.436558797	39.5683671905
0	64	248.596806969	148.851023679
0	65	136.962726941	101.920721757
0	66	34.6907075555	0.0
0	67	329.592637401	36.9939819516
0	68	318.302997318	302.530031997
0	69	137.366239003	102.836425657
0	70	300.221898964	279.860934894
0	71	41.8354603682	26.2127485679
0	72	7.663542993	0.0
0	73	172.1829288	134.685529534
0	74	39.3009937211	22.9862178297
0	75	221.90378837	0.0
0	76	314.979633035	290.082416588
0	77	171.91672414	64.9823486732
0	78	55.2220020853	33.5422499346
0	79	249.964208885	203.120659696
0	80	254.545709144	203.281911288
0	81	69.2525121724	0.0
0	82	354.065865382	79.8412056929
0	83	259.904651091	86.6155419765
0	84	56.3448945808	0.0
0	85	139.731547265	103.383031488
0	86	27.0781989693	5.28793875664
0	87	77.4389163459	54.6991480146
0	88	175.693192099	0.0
0	89	50.1950324267	30.3856056427
0	90	19.6182266938	0.0
0	91	203.720606571	0.0
0	92	87.5792604715	0.0
0	93	242.913110011	235.585554208
0	94	249.413470729	145.464200573
0	95	316.661981403	292.22638809
0	96	70.2443175902	0.0
0	97	320.678133702	297.42182231
0	98	237.326594561	224.267241432
0	99	291.54455358	250.892046321
0	100	314.677250887	290.047469636
0	101	242.870676467	236.583201875
0	102	239.374742803	187.295934225
0	103	13.9820877872	0.0
0	104	173.519840812	0.0
0	105	148.243292744	97.165812937
0	106	207.285611286	119.288620486
0	107	235.999048027	227.157080914
0	108	40.852872127	0.0
0	109	253.063045036	245.049270532
0	110	324.559229679	249.51609502
0	111	136.694412222	102.490171039
0	112	146.541456581	101.922417117
0	113	135.846128309	101.14576986
0	114	285.780206231	252.394005108
0	115	326.856737094	59.5672004227
0	116	228.569922891	201.197109714
0	117	341.000618549	0.0
0	118	369.266055071	360.58642363
0	119	245.970973069	239.997946585
0	120	287.514974649	260.86140568
0	121	296.733240303	272.158468169
0	122	178.519463766	0.0
0	123	132.238151593	48.4577104581
0	124	242.656111983	236.422698172
0	125	244.937524991	49.844195191
0	126	229.279870502	148.843653366
0	127	214.633058091	103.176728208
0	128	320.538999143	296.348535005
0	129	300.970936757	267.527070842
0	130	298.22905982	266.369998583
0	131	115.307508895	88.1961056229
0	132	248.053865745	234.524172727
0	133	242.766361511	236.354301594
0	134	348.194069958	252.24684496
0	135	24.5140445757	0.0
0	136	317.460542769	292.733978051
0	137	300.531272551	192.700165715
0	138	82.1650178159	0.0
0	139	382.031722757	364.092456151
0	140	241.195855292	60.1456684378
0	141	178.305596395	139.238581011
0	142	240.855729554	234.340833258
0	143	36.2176856804	0.0
0	144	316.950988802	298.931843994
0	145	238.203498713	221.474656039
0	146	71.0542083583	65.6274185665
0	147	362.263953716	98.2191668702
0	148	93.7274713326	0.0
0	149	23.7204961819	0.0
0	150	260.581878407	251.99149765
0	151	230.961967293	207.086732079
0	152	314.342691952	289.308312602
0	153	253.825036456	245.821996017
0	154	209.276905505	166.620213546
0	155	190.230027926	108.524643387
0	156	189.706562512	142.904099579
