time	temp
0	1.3668
0.1004	1.3976
0.202	1.4282
0.303	1.4419
0.4033	1.4387
0.504	1.4367
0.605	1.4591
0.7078	1.5293
0.808	1.6593
0.9089	1.8325
1.0097	2.0075
1.1106	2.1388
1.211	2.2192
1.312	2.2711
1.413	2.3066
1.5144	2.3375
1.615	2.3883
1.7153	2.4728
1.816	2.5698
1.9162	2.6487
2.017	2.7216
2.117	2.7959
2.217	2.864
2.318	2.8981
2.4184	2.92
2.52	2.9842
2.62	3.1226
2.72	3.3249
2.822	3.5769
2.924	3.8452
3.024	4.0956
3.124	4.2937
3.224	4.419
3.325	4.4893
3.426	4.5685
3.527	4.6455
3.628	4.7023
3.728	4.7564
3.829	4.8014
3.931	4.836
4.032	4.8768
4.133	4.9333
4.235	4.971
4.336	4.963
4.438	4.9072
4.539	4.8313
4.639	4.783
4.74	4.8006
4.841	4.9044
4.943	5.092
5.044	5.3046
5.145	5.477
5.245	5.5515
5.347	5.5048
5.45	5.36
5.552	5.1662
5.652	4.9987
5.753	4.9313
5.854	5.0158
5.9548	5.2476
6.055	5.5995
6.159	6.0539
6.2599	6.496
6.3618	6.8648
6.466	7.1345
6.576	7.3052
6.676	7.3894
6.777	7.4067
6.882	7.3343
6.984	7.1874
7.086	7.0157
7.189	6.8567
7.294	6.6902
7.4	6.5092
7.5536	6.2419
7.6869	6.0239
7.8024	5.8601
7.9141	5.7353
8.016	5.6593
8.118	5.6267
8.2259	5.6354
8.327	5.6734
8.428	5.7302
8.5397	5.8029
8.6575	5.8805
8.7967	5.9653
8.9004	6.0186
9.005	6.0596
9.112	6.0841
9.215	6.0884
9.317	6.0861
9.419	6.0993
9.52	6.1389
9.6244	6.1945
9.73	6.2533
9.8404	6.3111
9.9563	6.3604
10.064	6.3899
10.1676	6.4026
10.2903	6.4035
10.4117	6.3954
10.5276	6.3855
10.6353	6.3795
10.753	6.3819
10.9013	6.4054
11.005	6.4326
11.107	6.4632
11.209	6.4937
11.314	6.5217
11.4148	6.5493
11.5158	6.5848
11.618	6.6353
11.7184	6.6974
11.82	6.7653
11.9342	6.8383
12.035	6.895
12.1426	6.9482
12.26	6.999
12.3813	7.0457
12.4826	7.082
12.5845	7.1184
12.685	7.1664
12.787	7.2411
12.888	7.3394
12.99	7.4528
13.096	7.5714
13.1994	7.6761
13.3	7.7531
13.4045	7.8076
13.5087	7.8667
13.6144	7.9768
13.7208	8.1476
13.8272	8.3646
13.9296	8.6088
14.04	8.9073
14.14	9.206
14.2434	9.5333
14.3511	9.8644
14.4549	10.142
14.5599	10.3501
14.6676	10.473
14.7687	10.508
14.87	10.4693
14.9705	10.3896
15.073	10.3266
15.1819	10.3171
15.2878	10.3436
15.3937	10.3785
15.4995	10.396
15.6	10.3903
15.7035	10.3768
15.8053	10.3722
15.9064	10.3916
16.0131	10.4442
16.12	10.5081
16.2229	10.5552
16.3251	10.5644
16.4287	10.5256
16.54	10.4523
16.647	10.3769
16.75	10.3236
16.85	10.307
16.9525	10.325
17.0701	10.3829
17.1945	10.4792
17.31	10.5933
17.4336	10.7332
17.5573	10.8828
17.66	11.0072
17.7731	11.1372
17.88	11.2464
18	11.345
18.1	11.4013
18.21	11.4293
18.32	11.4149
18.4302	11.3508
18.5906	11.1705
18.7056	10.9903
18.8166	10.7868
18.9295	10.5593
19.0386	10.3286
19.1736	10.0413
19.2765	9.8303
19.4	9.5973
19.5	9.4326
19.6145	9.275
19.7338	9.1449
19.8682	9.0377
19.9854	8.9766
20.0997	8.9444
20.2067	8.9373
20.3232	8.9536
20.4299	8.9891
20.5318	9.0402
20.6564	9.124
20.7847	9.2328
20.8868	9.3343
21	9.4609
21.1183	9.6067
21.2264	9.7473
21.3322	9.8867
21.5066	10.1081
21.614	10.2317
21.7623	10.3757
21.9055	10.4747
22.0058	10.5144
22.2	10.5053
22.3341	10.4207
22.5	10.2116
22.6	10.0232
22.7047	9.7906
22.8099	9.5661
22.9152	9.3888
23.0205	9.2486
23.1257	9.1222
23.2271	9.0053
23.3304	8.9021
23.4357	8.8276
23.5415	8.8084
23.6468	8.873
23.7498	9.0277
23.85	9.2549
23.9546	9.5423
24.0589	9.8106
24.1619	9.9934
24.2649	10.0952
24.368	10.1434
24.471	10.1646
24.574	10.1833
24.6765	10.1991
24.7819	10.1928
24.8841	10.1503
24.9856	10.0691
25.087	9.9472
25.1885	9.784
25.2899	9.5801
25.3914	9.3392
25.4928	9.07
25.5943	8.7797
25.6953	8.4754
25.8153	8.1019
25.9196	7.7816
26.0228	7.484
26.1261	7.2201
26.2294	7.0043
26.3339	6.8392
26.4359	6.7218
26.5411	6.6368
26.661	6.5726
26.768	6.534
26.8891	6.4992
26.9925	6.4734
27.334	6.4217
27.437	6.4188
27.554	6.4242
27.672	6.4399
27.778	6.4636
27.879	6.4954
27.99	6.5414
28.091	6.5938
28.197	6.6579
28.3	6.7269
28.404	6.8011
