Species	Status	min_age	max_age	trait
Agriotherium_africanum	extinct	2.588	3.6	NA
Agriotherium_africanum	extinct	3.6	5.332	NA
Agriotherium_africanum	extinct	2.588	5.332	NA
Agriotherium_africanum	extinct	2.588	7.246	NA
Agriotherium_inexpetans	extinct	5.3	9	NA
Agriotherium_inexpetans	extinct	5.332	11.608	NA
Agriotherium_insigne	extinct	4.2	5.3	285000
Agriotherium_insigne	extinct	2.6	3.4	285000
Agriotherium_insigne	extinct	4.2	5.3	285000
Agriotherium_insigne	extinct	2.6	3.4	285000
Agriotherium_insigne	extinct	2.588	3.2	285000
Agriotherium_intermedium	extinct	3.4	4.2	NA
Agriotherium_intermedium	extinct	3.2	4.2	NA
Agriotherium_roblesi	extinct	5.3	7.1	NA
Agriotherium_roblesi	extinct	5.3	7.1	NA
Agriotherium_roblesi	extinct	5.332	8.7	NA
Agriotherium_schneideri	extinct	8.1	8.1	NA
Agriotherium_schneideri	extinct	8.4	8.4	NA
Agriotherium_schneideri	extinct	11.608	13.65	NA
Agriotherium_schneideri	extinct	5.7	5.8	NA
Agriotherium_schneideri	extinct	10.1	10.1	NA
Agriotherium_schneideri	extinct	6.3	10.1	NA
Agriotherium_schneideri	extinct	10.1	10.1	NA
Agriotherium_schneideri	extinct	5.7	5.8	NA
Agriotherium_schneideri	extinct	1.8	4.9	NA
Ailurarctos_lufengensis	extinct	7.1	8.2	NA
Ailuropoda_melanoleuca	extant	0.01	1.95	117999.99
Ailuropoda_melanoleuca	extant	0.6	1.3	117999.99
Ailuropoda_melanoleuca	extant	0.6	1.3	117999.99
Ailuropoda_melanoleuca	extant	0.01	1.95	117999.99
Ailuropoda_melanoleuca	extant	0.6	1.3	117999.99
Ailuropoda_melanoleuca	extant	0.6	1.3	117999.99
Ailuropoda_melanoleuca	extant	0	0.7	117999.99
Ailuropoda_melanoleuca	extant	1.2	1.8	117999.99
Ailuropoda_melanoleuca	extant	0.6	1.3	117999.99
Ailuropoda_melanoleuca	extant	0.6	1.3	117999.99
Ailuropoda_melanoleuca	extant	0.6	1.3	117999.99
Ailuropoda_melanoleuca	extant	0.6	1.3	117999.99
Ailuropoda_melanoleuca	extant	0.6	1.3	117999.99
Ailuropoda_melanoleuca	extant	0.6	1.3	117999.99
Ailuropoda_melanoleuca	extant	0.01	1.95	117999.99
Ailuropoda_melanoleuca	extant	0.01	1.95	117999.99
Ailuropoda_melanoleuca	extant	0.01	1.95	117999.99
Ailuropoda_melanoleuca	extant	0.6	1.3	117999.99
Ailuropoda_melanoleuca	extant	0.6	1.3	117999.99
Ailuropoda_melanoleuca	extant	0	0.7	117999.99
Ailuropoda_melanoleuca	extant	0.6	1.3	117999.99
Ailuropoda_melanoleuca	extant	0.6	1.3	117999.99
Ailuropoda_melanoleuca	extant	0.6	1.3	117999.99
Ailuropoda_melanoleuca	extant	0.012	0.781	117999.99
Ailuropoda_melanoleuca	extant	0.012	0.126	117999.99
Ailuropoda_melanoleuca	extant	0.012	0.126	117999.99
Ailuropoda_melanoleuca	extant	0.012	0.781	117999.99
Ailuropoda_melanoleuca	extant	0.126	0.781	117999.99
Ailuropoda_melanoleuca	extant	0.126	0.781	117999.99
Ailuropoda_melanoleuca	extant	0.012	0.126	117999.99
Ailuropoda_melanoleuca	extant	0.012	0.126	117999.99
Ailuropoda_melanoleuca	extant	0.126	0.781	117999.99
Ailuropoda_melanoleuca	extant	0.126	0.781	117999.99
Ailuropoda_microta	extinct	1.2	1.8	NA
Ailuropoda_microta	extinct	0.781	2.588	NA
Ailuropoda_microta	extinct	2.588	3.6	NA
Ailuropoda_wulingshanensis	extinct	1.2	1.8	NA
Ailuropoda_wulingshanensis	extinct	1.2	1.8	NA
Ailuropoda_wulingshanensis	extinct	1.2	1.8	NA
Ailuropoda_wulingshanensis	extinct	1.2	1.8	NA
Ailuropoda_wulingshanensis	extinct	1.2	1.8	NA
Ailuropoda_wulingshanensis	extinct	1.2	1.8	NA
Ailuropoda_wulingshanensis	extinct	1.2	1.8	NA
Ailuropoda_wulingshanensis	extinct	1.2	1.8	NA
Ailuropoda_wulingshanensis	extinct	1.2	1.8	NA
Ailuropoda_wulingshanensis	extinct	1.2	1.8	NA
Ailuropoda_wulingshanensis	extinct	1.2	1.2	NA
Ailuropoda_wulingshanensis	extinct	1.2	1.8	NA
Ailuropoda_wulingshanensis	extinct	1.2	1.8	NA
Ailuropoda_wulingshanensis	extinct	1.2	1.8	NA
Ailuropoda_wulingshanensis	extinct	0.781	2.588	NA
Arctodus_pristinus	extinct	2.2	3	NA
Arctodus_pristinus	extinct	2.3	2.3	NA
Arctodus_pristinus	extinct	2.9	3	NA
Arctodus_pristinus	extinct	1.5	1.6	NA
Arctodus_pristinus	extinct	0.4	0.4	NA
Arctodus_pristinus	extinct	0.3	0.3	NA
Arctodus_pristinus	extinct	0.3	0.3	NA
Arctodus_pristinus	extinct	1.5	1.6	NA
Arctodus_pristinus	extinct	0.8	0.9	NA
Arctodus_pristinus	extinct	0.8	0.9	NA
Arctodus_pristinus	extinct	1.5	1.6	NA
Arctodus_pristinus	extinct	1.5	1.5	NA
Arctodus_pristinus	extinct	2.1	2.1	NA
Arctodus_pristinus	extinct	0.4	2.1	NA
Arctodus_pristinus	extinct	2.1	2.1	NA
Arctodus_pristinus	extinct	0.4	0.4	NA
Arctodus_pristinus	extinct	1.5	1.6	NA
Arctodus_pristinus	extinct	0.4	0.4	NA
Arctodus_pristinus	extinct	1.5	2.1	NA
Arctodus_pristinus	extinct	0.3	3	NA
Arctodus_pristinus	extinct	0.3	3	NA
Arctodus_pristinus	extinct	0.126	0.781	NA
Arctodus_pristinus	extinct	0.012	0.126	NA
Arctodus_pristinus	extinct	0.012	0.126	NA
Arctodus_simus	extinct	1.9	2	NA
Arctodus_simus	extinct	0.3	2	NA
Arctodus_simus	extinct	0.2	0.4	NA
Arctodus_simus	extinct	0.3	0.3	NA
Arctodus_simus	extinct	0.6	0.6	NA
Arctodus_simus	extinct	0.012	0.126	NA
Arctodus_simus	extinct	0.012	0.126	NA
Arctodus_simus	extinct	0.012	0.126	NA
Arctodus_simus	extinct	0.012	0.126	NA
Arctodus_simus	extinct	0.012	0.126	NA
Arctodus_simus	extinct	0.01122	0.01142	NA
Arctodus_simus	extinct	0.01265	0.01265	NA
Arctodus_simus	extinct	0.012	0.126	NA
Arctodus_simus	extinct	0.012	2.588	NA
Arctodus_simus	extinct	0.012	0.126	NA
Arctodus_simus	extinct	0.012	0.126	NA
Arctodus_simus	extinct	0.012	0.126	NA
Arctodus_simus	extinct	0.012	0.126	NA
Arctodus_simus	extinct	0.012	0.126	NA
Arctodus_simus	extinct	0.026075	0.026075	NA
Arctodus_simus	extinct	0.01106	0.01171	NA
Arctodus_simus	extinct	0.02719	0.02719	NA
Arctodus_simus	extinct	0	0.126	NA
Arctodus_simus	extinct	0.012	2.588	NA
Arctodus_simus	extinct	0.0115	0.0115	NA
Arctodus_simus	extinct	0.01346	0.01346	NA
Arctodus_simus	extinct	0.03408	0.03408	NA
Arctodus_simus	extinct	0.011986	0.0393	NA
Arctodus_simus	extinct	0.012	0.126	NA
Arctotherium_brasiliensis	extinct	0.02006	0.02006	NA
Arctotherium_brasiliensis	extinct	0.01039	0.01039	NA
Arctotherium_brasiliensis	extinct	0.012	2.588	NA
Ballusia_elmensis	extinct	19	20	11000
Ballusia_elmensis	extinct	18	20	11000
Ballusia_elmensis	extinct	15.2	17	11000
Ballusia_elmensis	extinct	18	20	11000
Ballusia_elmensis	extinct	18	20	11000
Ballusia_elmensis	extinct	18	20	11000
Ballusia_elmensis	extinct	18	20	11000
Ballusia_elmensis	extinct	13.65	15.97	11000
Ballusia_hareni	extinct	19	20	16000
