Species	Status	Trait
Agriotherium_africanum	extinct	NA
Agriotherium_inexpetans	extinct	NA
Agriotherium_insigne	extinct	285000
Agriotherium_intermedium	extinct	NA
Agriotherium_roblesi	extinct	NA
Agriotherium_schneideri	extinct	NA
Ailurarctos_lufengensis	extinct	NA
Ailuropoda_melanoleuca	extant	117999.99
Ailuropoda_microta	extinct	NA
Ailuropoda_wulingshanensis	extinct	NA
Arctodus_pristinus	extinct	NA
Arctodus_simus	extinct	NA
Arctotherium_brasiliensis	extinct	NA
Ballusia_elmensis	extinct	11000
Ballusia_hareni	extinct	16000
Cephalogale_gracile	extinct	NA
Dinocyon_thenardi	extinct	410000
Helarctos_malayanus	extant	57075.78
Hemicyon_gargan	extinct	40000
Hemicyon_goeriachensis	extinct	120000
Hemicyon_hurzeleri	extinct	90000
Hemicyon_mayorali	extinct	NA
Hemicyon_sansaniensis	extinct	225000
Hemicyon_stehlini	extinct	87000
Indarctos_anthracitis	extinct	NA
Indarctos_arctoides	extinct	160000
Indarctos_atticus	extinct	351500
Indarctos_maraghanus	extinct	NA
Indarctos_nevadensis	extinct	NA
Indarctos_oregonensis	extinct	NA
Indarctos_vireti	extinct	175000
Indarctos_zdanskyi	extinct	NA
Kolponomos_clallamensis	extinct	NA
Kolponomos_newportensis	extinct	NA
Phoberocyon_akhmetievi	extinct	146500
Phoberocyon_aurelianensis	extinct	NA
Phoberocyon_dehmi	extinct	NA
Phoberocyon_hispanicus	extinct	NA
Phoberocyon_johnhenryi	extinct	NA
Phoberocyon_youngi	extinct	NA
Phoberogale_depereti	extinct	NA
Phoberogale_ginesticus	extinct	NA
Plionarctos_edensis	extinct	NA
Plionarctos_harroldorum	extinct	NA
Plithocyon_antunesi	extinct	144000
Plithocyon_armagnacensis	extinct	116000
Plithocyon_barstowensis	extinct	NA
Plithocyon_bruneti	extinct	37000
Plithocyon_conquense	extinct	82000
Plithocyon_teilhardi	extinct	NA
Plithocyon_ursinus	extinct	NA
Tremarctos_floridanus	extinct	NA
Ursavus_brevirhinus	extinct	80000
Ursavus_depereti	extinct	1e+05
Ursavus_intermedius	extinct	67000
Ursavus_isorei	extinct	13000
Ursavus_orientalis	extinct	10000
Ursavus_pawniensis	extinct	NA
Ursavus_primaevus	extinct	90000
Ursavus_sylvestris	extinct	NA
Ursus_abstrusus	extinct	NA
Ursus_americanus	extant	110500
Ursus_arctos	extant	196287.5
Ursus_arvernensis	extinct	NA
Ursus_boeckhi	extinct	NA
Ursus_deningeri	extinct	NA
Ursus_etruscus	extinct	90000
Ursus_maritimus	extant	371703.81
Ursus_minimus	extinct	40000
Ursus_ruscinensis	extinct	NA
Ursus_spelaeus	extinct	3e+05
Ursus_thibetanus	extant	99714.19
Ursus_wenzensis	extinct	NA
Ursus_yinanensis	extinct	NA
Zaragocyon_daamsi	extinct	NA
