Species	Trait
Agriotherium_africanum	NA
Agriotherium_inexpetans	NA
Agriotherium_insigne	285000
Agriotherium_intermedium	NA
Agriotherium_roblesi	NA
Agriotherium_schneideri	NA
Ailurarctos_lufengensis	NA
Ailuropoda_melanoleuca	117999.99
Ailuropoda_microta	NA
Ailuropoda_wulingshanensis	NA
Arctodus_pristinus	NA
Arctodus_simus	NA
Arctotherium_brasiliensis	NA
Ballusia_elmensis	11000
Ballusia_hareni	16000
Cephalogale_gracile	NA
Dinocyon_thenardi	410000
Helarctos_malayanus	57075.78
Hemicyon_gargan	40000
Hemicyon_goeriachensis	120000
Hemicyon_hurzeleri	90000
Hemicyon_mayorali	NA
Hemicyon_sansaniensis	225000
Hemicyon_stehlini	87000
Indarctos_anthracitis	NA
Indarctos_arctoides	160000
Indarctos_atticus	351500
Indarctos_maraghanus	NA
Indarctos_nevadensis	NA
Indarctos_oregonensis	NA
Indarctos_vireti	175000
Indarctos_zdanskyi	NA
Kolponomos_clallamensis	NA
Kolponomos_newportensis	NA
Phoberocyon_akhmetievi	146500
Phoberocyon_aurelianensis	NA
Phoberocyon_dehmi	NA
Phoberocyon_hispanicus	NA
Phoberocyon_johnhenryi	NA
Phoberocyon_youngi	NA
Phoberogale_depereti	NA
Phoberogale_ginesticus	NA
Plionarctos_edensis	NA
Plionarctos_harroldorum	NA
Plithocyon_antunesi	144000
Plithocyon_armagnacensis	116000
Plithocyon_barstowensis	NA
Plithocyon_bruneti	37000
Plithocyon_conquense	82000
Plithocyon_teilhardi	NA
Plithocyon_ursinus	NA
Tremarctos_floridanus	NA
Ursavus_brevirhinus	80000
Ursavus_depereti	1.00E+05
Ursavus_intermedius	67000
Ursavus_isorei	13000
Ursavus_orientalis	10000
Ursavus_pawniensis	NA
Ursavus_primaevus	90000
Ursavus_sylvestris	NA
Ursus_abstrusus	NA
Ursus_americanus	110500
Ursus_arctos	196287.5
Ursus_arvernensis	NA
Ursus_boeckhi	NA
Ursus_deningeri	NA
Ursus_etruscus	90000
Ursus_maritimus	371703.81
Ursus_minimus	40000
Ursus_ruscinensis	NA
Ursus_spelaeus	3.00E+05
Ursus_thibetanus	99714.19
Ursus_wenzensis	NA
Ursus_yinanensis	NA
Zaragocyon_daamsi	NA
