Species	Trait
Agriotherium_africanum	0
Agriotherium_inexpetans	0
Agriotherium_insigne	0
Agriotherium_intermedium	0
Agriotherium_roblesi	0
Agriotherium_schneideri	0
Ailurarctos_lufengensis	0
Ailuropoda_melanoleuca	0
Ailuropoda_microta	0
Ailuropoda_wulingshanensis	0
Arctodus_pristinus	0
Arctodus_simus	1
Arctotherium_brasiliensis	1
Ballusia_elmensis	1
Ballusia_hareni	1
Cephalogale_gracile	1
Dinocyon_thenardi	1
Helarctos_malayanus	1
Hemicyon_gargan	1
Hemicyon_goeriachensis	1
Hemicyon_hurzeleri	1
Hemicyon_mayorali	1
Hemicyon_sansaniensis	1
Hemicyon_stehlini	1
Indarctos_anthracitis	1
Indarctos_arctoides	1
Indarctos_atticus	1
Indarctos_maraghanus	1
Indarctos_nevadensis	1
Indarctos_oregonensis	1
Indarctos_vireti	1
Indarctos_zdanskyi	1
Kolponomos_clallamensis	1
Kolponomos_newportensis	1
Phoberocyon_akhmetievi	1
Phoberocyon_aurelianensis	1
Phoberocyon_dehmi	NA
Phoberocyon_hispanicus	1
Phoberocyon_johnhenryi	1
Phoberocyon_youngi	1
Phoberogale_depereti	1
Phoberogale_ginesticus	1
Plionarctos_edensis	1
Plionarctos_harroldorum	1
Plithocyon_antunesi	2
Plithocyon_armagnacensis	2
Plithocyon_barstowensis	2
Plithocyon_bruneti	2
Plithocyon_conquense	2
Plithocyon_teilhardi	2
Plithocyon_ursinus	2
Tremarctos_floridanus	2
Ursavus_brevirhinus	2
Ursavus_depereti	2
Ursavus_intermedius	2
Ursavus_isorei	2
Ursavus_orientalis	1
Ursavus_pawniensis	1
Ursavus_primaevus	1
Ursavus_sylvestris	1
Ursus_abstrusus	1
Ursus_americanus	1
Ursus_arctos	NA
Ursus_arvernensis	1
Ursus_boeckhi	1
Ursus_deningeri	1
Ursus_etruscus	1
Ursus_maritimus	0
Ursus_minimus	1
Ursus_ruscinensis	1
Ursus_spelaeus	1
Ursus_thibetanus	NA
Ursus_wenzensis	1
Ursus_yinanensis	1
Zaragocyon_daamsi	1
