Genus	Status	Min_Age	Max_Age
Aethia	Extant	5.333	11.608
Aethia	Extant	3.6	5.333
Aethia	Extant	0	0.0117
Aethia	Extant	0	0.0117
Aethia	Extant	0	0.0117
Aethia	Extant	0	0.0117
Aethia	Extant	0	0.0117
Aethia	Extant	0	0.0117
Aethia	Extant	0	0.0117
Alca	Extant	13.6	15.97
Alca	Extant	7.246	11.62
Alca	Extant	5.333	11.608
Alca	Extant	5.333	11.608
Alca	Extant	5.333	7.246
Alca	Extant	3.9	4.9
Alca	Extant	3.9	4.9
Alca	Extant	3.9	4.9
Alca	Extant	3.9	4.9
Alca	Extant	3.9	4.9
Alca	Extant	3.9	4.9
Alca	Extant	3.9	4.9
Alca	Extant	4.4	5
Alca	Extant	4.4	5
Alca	Extant	2.588	5.333
Alca	Extant	2.588	5.333
Alca	Extant	2.588	5.333
Alca	Extant	2.588	5.333
Alca	Extant	2.588	3.6
Alca	Extant	0.781	2.588
Alca	Extant	0.0117	2.588
Alca	Extant	0.0117	2.588
Alca	Extant	0.0117	2.588
Alca	Extant	0.0117	2.588
Alca	Extant	0.0117	0.126
Alca	Extant	0	0.0117
Alca	Extant	0.0028	0.0034
Alle	Extant	0.0117	2.588
Alle	Extant	0.0117	2.588
Alle	Extant	0.126	0.781
Alle	Extant	0.0117	0.126
Alle	Extant	0.0117	0.126
Alle	Extant	0.0117	0.126
Alle	Extant	0.0117	0.126
Alle	Extant	0.0117	0.126
Alle	Extant	0.0117	0.126
Alle	Extant	0.0117	0.126
Alle	Extant	0.0117	0.126
Alle	Extant	0.0117	0.126
Alle	Extant	0.0117	0.126
Alle	Extant	0.0117	0.126
Alle	Extant	0.0117	0.126
Alle	Extant	0.0117	0.126
Alle	Extant	0.0117	0.126
Alle	Extant	0.0117	0.126
Alle	Extant	0	0.0117
Anhinga	Extant	15.97	20.43
Anhinga	Extant	10.3	13.6
Anhinga	Extant	7.246	11.62
Anhinga	Extant	2.588	11.62
Anhinga	Extant	7.246	11.62
Anhinga	Extant	7.246	11.62
Anhinga	Extant	7.246	11.62
Anhinga	Extant	5.333	11.608
Anhinga	Extant	4.9	10.3
Anhinga	Extant	4.9	10.3
Anhinga	Extant	0	2.588
Anhinga	Extant	0.0117	2.588
Anhinga	Extant	0.012	0.3
Anhinga	Extant	0.0117	0.126
Anhinga	Extant	0.0117	0.126
Anhinga	Extant	0.0117	0.126
Aptenodytes	Extant	1.63	2.4
Aptenodytes	Extant	0	0.0117
Brachyramphus	Extant	2.588	5.333
Brachyramphus	Extant	1.8	4.9
Brachyramphus	Extant	1.8	4.9
Brachyramphus	Extant	1.8	4.9
Brachyramphus	Extant	1.8	4.9
Brachyramphus	Extant	1.8	4.9
Brachyramphus	Extant	1.8	4.9
Brachyramphus	Extant	1.8	4.9
Brachyramphus	Extant	1.8	4.9
Brachyramphus	Extant	2.588	3.6
Brachyramphus	Extant	0	0.0117
Calonectris	Extant	13.82	15.97
Calonectris	Extant	11.62	13.82
Calonectris	Extant	3.9	4.9
Calonectris	Extant	3.9	4.9
Calonectris	Extant	3.9	4.9
Calonectris	Extant	3.6	5.333
Calonectris	Extant	0.0117	2.588
Catharacta	Extant	3.9	4.9
Catharacta	Extant	0	0.0117
Catharacta	Extant	0	0.0117
Catharacta	Extant	0	0.0117
Catharacta	Extant	0	0.0117
Cepphus	Extant	3.6	5.333
Cepphus	Extant	3.6	5.333
Cepphus	Extant	3.6	5.333
Cepphus	Extant	0.0117	0.126
Cepphus	Extant	0.0117	0.126
Cepphus	Extant	0.0028	0.0034
Cepphus	Extant	0.0028	0.0034
Cepphus	Extant	0	0.0117
Chlidonias	Extant	0.0117	0.126
Delphinornis	Extant	41.3	56
Delphinornis	Extant	41.3	56
Delphinornis	Extant	47.8	56
Delphinornis	Extant	38	47.8
Delphinornis	Extant	38	41.3
Delphinornis	Extant	38	41.3
Delphinornis	Extant	33.9	38
Delphinornis	Extant	33.9	38
Delphinornis	Extant	33.9	38
Delphinornis	Extant	33.9	38
Delphinornis	Extant	33.9	38
Delphinornis	Extant	33.9	38
Delphinornis	Extant	33.9	38
Delphinornis	Extant	33.9	38
Delphinornis	Extant	33.9	38
Delphinornis	Extant	15.97	28.4
Diomedea	Extant	13.82	15.97
Diomedea	Extant	13.82	15.97
Diomedea	Extant	13.82	15.97
Diomedea	Extant	5.333	11.608
Diomedea	Extant	3.6	7.246
Diomedea	Extant	5.333	7.246
Diomedea	Extant	5.333	7.246
Diomedea	Extant	3.6	5.333
Diomedea	Extant	3.6	5.333
Diomedea	Extant	1.8	4.9
Diomedea	Extant	1.8	4.9
Diomedea	Extant	1.8	4.9
Diomedea	Extant	0	0.0117
Eudyptes	Extant	0.0117	0.126
Eudyptes	Extant	0.0117	0.126
Eudyptes	Extant	0.0117	0.126
Eudyptes	Extant	0	0.0117
Eudyptes	Extant	0.00076	0.00076
Fratercula	Extant	3.9	4.9
Fratercula	Extant	3.9	4.9
Fratercula	Extant	4.4	5
Fratercula	Extant	0.0117	2.588
Fratercula	Extant	0.0117	2.588
Fratercula	Extant	0.0117	2.588
Fratercula	Extant	0.0117	2.588
Fratercula	Extant	0.0117	2.588
Fratercula	Extant	0.0117	2.588
Fratercula	Extant	0.0117	2.588
Fratercula	Extant	0.012	0.3
Fratercula	Extant	0.0117	0.126
Fratercula	Extant	0.0117	0.126
Fratercula	Extant	0.0117	0.126
Fratercula	Extant	0.0117	0.126
Fratercula	Extant	0.0117	0.126
Fratercula	Extant	0.0117	0.126
Fratercula	Extant	0.0117	0.126
Fratercula	Extant	0.0117	0.126
Fratercula	Extant	0.0117	0.126
Fratercula	Extant	0.0117	0.126
Fratercula	Extant	0.0117	0.126
Fratercula	Extant	0.0117	0.126
Fratercula	Extant	0.0117	0.126
Fratercula	Extant	0.0117	0.126
Fratercula	Extant	0.0117	0.126
Fratercula	Extant	0	0.0117
Fratercula	Extant	0	0.0117
Fratercula	Extant	0	0.0117
Fratercula	Extant	0	0.0117
Fratercula	Extant	0	0.0117
Fratercula	Extant	0	0.0117
Fulmarus	Extant	13.82	15.97
Fulmarus	Extant	5.333	11.608
Fulmarus	Extant	5.47	6.35
Fulmarus	Extant	5.333	7.246
Fulmarus	Extant	0.0117	2.588
Fulmarus	Extant	0.0117	2.588
Fulmarus	Extant	0.0117	2.588
Fulmarus	Extant	0.0117	2.588
Fulmarus	Extant	0.0117	2.588
Fulmarus	Extant	0.0117	2.588
Fulmarus	Extant	0.012	0.3
Fulmarus	Extant	0.0117	0.126
Fulmarus	Extant	0.0117	0.126
Fulmarus	Extant	0.0117	0.126
Fulmarus	Extant	0.0117	0.126
Fulmarus	Extant	0.0117	0.126
Fulmarus	Extant	0.0117	0.126
Fulmarus	Extant	0	0.0117
Fulmarus	Extant	0	0.0117
Fulmarus	Extant	0	0.0117
Haematopus	Extant	13.6	15.97
Haematopus	Extant	3.9	4.9
Haematopus	Extant	3.9	4.9
Haematopus	Extant	3.9	4.9
Haematopus	Extant	2.588	4.2
Haematopus	Extant	0.0117	0.126
Haematopus	Extant	0.0117	0.126
Haematopus	Extant	0.0117	0.126
Haematopus	Extant	0	0.0117
Larus	Extant	23.03	33.9
Larus	Extant	13.6	15.97
Larus	Extant	13.6	15.97
Larus	Extant	11.62	13.82
Larus	Extant	3.9	4.9
Larus	Extant	3.9	4.9
Larus	Extant	3.9	4.9
Larus	Extant	3.9	4.9
Larus	Extant	3.9	4.9
Larus	Extant	3.9	4.9
Larus	Extant	2.588	5.333
Larus	Extant	1.8	4.9
Larus	Extant	1.8	4.9
Larus	Extant	2.588	3.6
Larus	Extant	2.588	3.6
Larus	Extant	2.588	3.6
Larus	Extant	0	2.588
Larus	Extant	0	2.588
Larus	Extant	0.0117	2.588
Larus	Extant	0.0117	2.588
Larus	Extant	0.0117	2.588
Larus	Extant	0.0117	2.588
Larus	Extant	0.0117	2.588
Larus	Extant	0.0117	2.588
Larus	Extant	0.0117	2.588
Larus	Extant	0.0117	2.588
Larus	Extant	0.0117	2.588
Larus	Extant	0.0117	2.588
Larus	Extant	0.0117	2.588
Larus	Extant	0.0117	2.588
Larus	Extant	0.012	0.3
Larus	Extant	0.0117	0.126
Larus	Extant	0.0117	0.126
Larus	Extant	0.0117	0.126
Larus	Extant	0.0117	0.126
Larus	Extant	0.0117	0.126
Larus	Extant	0.0117	0.126
Larus	Extant	0.0117	0.126
Larus	Extant	0.0117	0.126
Larus	Extant	0.0117	0.126
Larus	Extant	0.0117	0.126
Larus	Extant	0.0117	0.126
