taxon1	taxon2	rank
Aaptorcytes_ivyi	Aaptoryctes_ivyi	0
Aepycamelus_proceras	Aepycamelus_procerus	0
Agnotherium_antiquum	Agnotherium_antiquus	0
Agriotherium_sivalense	Agriotherium_sivalensis	0
Amblonyx_cinerea	Amblonyx_cinereus	0
Anatolostylops_Zhaii	Anatolostylops_zhaii	0
Anchitheriomys_fluminis	Anchitheriomys_fluminus	0
Anomalomys_aliverensis	Anomalomys_aliveriensis	0
Arvicola_cantiana	Arvicola_cantianus	0
Barytherium_grave	Barytherium_graves	0
Absarokius_ganzini	Absarokius_gazini	1
Absarokius_meteocus	Absarokius_metoecus	1
Adilophontes_brachykolos	Adilophontes_brackykolos	1
Adunator_fredericki	Adunator_fredricki	1
Aelurodon_aesthenostylus	Aelurodon_asthenostylus	1
Aframonius_diedes	Aframonius_diedies	1
Agnotocastor_coloradenesis	Agnotocastor_coloradensis	1
Aguascalientia_wilsoni	Aquascalientia_wilsoni	1
Allosminthus_diconjugatus	Allosminthus_uniconjugatus	1
Amphicynodon_teilhardi	Amphicyonodon_teilhardi	1
Amphimoschus_ponteleviensis	Amphimoschus_pontileviensis	1
Anchitherium_clarencei	Anchitherium_clarenci	1
Apatasciuravus_bifax	Apatosciuravus_bifax	1
Apatasciuravus_jacobsi	Apatosciuravus_jacobsi	1
Archaeocyon_falchenbachi	Archaeocyon_falkenbachi	1
Archaeohippus_penultimatus	Archaeohippus_penultimus	1
Ardynomys_saskatchewaensis	Ardynomys_saskatchewanensis	1
Asiaparamya_schevyrevae	Asiaparamys_shevyrevae	1
Avunculus_didelphodonti	Avunculus_didelphodontidi	1
Aelurocyon_ferox	Aelurodon_ferox	2
Anthracotherium_magnum	Astrapotherium_magnum	2
Apatemys_bellulus	Apatemys_bellus	2
Archaeodesmana_baetica	Archaeodesmana_getica	2
Archaeodesmana_luteijni	Archaeodesmana_luteyni	2
Ardynia_altidentata	Ardynia_plicidentata	2
Baiomys_mowi	Baiomys_moxi	2
Barbourofelis_lovei	Barbourofelis_loveorum	2
Acoelohyrax_coarctatus	Acoelohyrax_coronatus	3
Adjidaumo_minimus	Adjidaumo_minutus	3
Aglaocetus_latifrons	Aglaocetus_longifrons	3
Albanensia_albanensis	Albanensia_sansaniensis	3
Allodesmus_sadoensis	Allodesmus_sinanoensis	3
Amphictis_antiqua	Amphilagus_antiquus	3
Anancus_capensis	Anancus_kenyensis	3
Anancus_kenyensis	Anancus_sinensis	3
Anancus_sinensis	Anancus_sivalensis	3
Apodemus_gorafensis	Apodemus_uralensis	3
Archaeotherium_calkinsi	Archaeotherium_caninus	3
Atavocricetodon_atavoides	Atavocricetodon_nanoides	3
Australopithecus_afarensis	Australopithecus_anamensis	3
Aepycamelus_bradyi	Aepycamelus_elrodi	4
Alphadon_eatoni	Alphadon_sahnii	4
Amphechinus_kreuzae	Amphechinus_rectus	4
Amphimachairodus_copei	Amphimachairodus_romeri	4
Amphiperatherium_exile	Amphiperatherium_maximum	4
Amynodon_advenus	Amynodon_alxaensis	4
Anancus_capensis	Anancus_sinensis	4
Anancus_orarius	Anancus_osiris	4
Apodemus_agrarius	Apodemus_atavus	4
Apodemus_agrarius	Apodemus_barbarae	4
Archaeodesmana_baetica	Archaeodesmana_pontica	4
Archaeodesmana_getica	Archaeodesmana_pontica	4
Archaeoryctes_borealis	Archaeoryctes_euryalis	4
Archaeoryctes_borealis	Archaeoryctes_notialis	4
Archidiskodon_broomi	Archidiskodon_gromovi	4
Bachitherium_curtum	Bachitherium_vireti	4
Acaremys_major	Acaremys_messor	5
Amebelodon_britti	Amebelodon_fricki	5
Ameghinichnus_acutus	Ameghinichnus_fortis	5
Amphechinus_kreuzae	Amphechinus_kruzeae	5
Antechinus_puteus	Antechinus_yuna	5
Apodemus_agrarius	Apodemus_agustii	5
Apodemus_lii	Apodemus_qiui	5
Apodemus_meini	Apodemus_qiui	5
Archaeodesmana_baetica	Archaeodesmana_bifida	5
Archaeohippus_minimus	Archaeohippus_ultimus	5
Atavocricetodon_atavus	Atavocricetodon_nanus	5
Axis_shansius	Axis_ubensis	5
Bachitherium_curtum	Bachitherium_sardus	5
Baiomys_kolbi	Baiomys_mowi	5
Baiomys_kolbi	Baiomys_moxi	5
Barguru_kayir	Barguru_kula	6
