time	diversity	m_div	M_div
0.0	5.0	5	5
0.10036750395834348	14.0	14	14
0.20073500791668697	15.0	15	15
0.30110251187503045	15.0	15	15
0.40147001583337394	16.0	16	16
0.5018375197917174	18.0	18	18
0.6022050237500609	18.0	18	18
0.7025725277084044	18.0	18	18
0.8029400316667479	18.0	18	18
0.9033075356250914	19.0	19	19
1.0036750395834348	19.0	19	19
1.1040425435417784	19.0	19	19
1.2044100475001218	18.0	18	18
1.3047775514584652	23.0	23	23
1.4051450554168088	23.0	23	23
1.5055125593751524	24.0	24	24
1.6058800633334958	24.0	24	24
1.7062475672918391	25.0	25	25
1.8066150712501827	25.0	25	25
1.9069825752085263	25.0	25	25
2.0073500791668697	26.0	26	26
2.107717583125213	28.0	28	28
2.208085087083557	30.0	30	30
2.3084525910419003	30.0	30	30
2.4088200950002436	32.0	32	32
2.509187598958587	32.0	32	32
2.6095551029169304	32.0	32	32
2.709922606875274	31.0	31	31
2.8102901108336176	30.0	30	30
2.910657614791961	30.0	30	30
3.0110251187503048	29.0	29	29
3.111392622708648	29.0	29	29
3.2117601266669915	29.0	29	29
3.312127630625335	31.0	31	31
3.4124951345836783	33.0	33	33
3.512862638542022	33.0	33	33
3.6132301425003654	31.0	31	31
3.713597646458709	31.0	31	31
3.8139651504170526	31.0	31	31
3.914332654375396	31.0	31	31
4.014700158333739	30.0	30	30
4.115067662292083	30.0	30	30
4.215435166250426	29.0	29	29
4.31580267020877	29.0	29	29
4.416170174167114	30.0	30	30
4.516537678125457	30.0	30	30
4.6169051820838005	31.0	31	31
4.7172726860421434	31.0	31	31
4.817640190000487	29.0	29	29
4.918007693958831	29.0	29	29
5.018375197917174	31.0	31	31
5.118742701875518	30.0	30	30
5.219110205833861	30.0	30	30
5.319477709792205	33.0	33	33
5.419845213750548	33.0	33	33
5.520212717708891	35.0	35	35
5.620580221667235	37.0	37	37
5.720947725625579	38.0	38	38
5.821315229583922	42.0	42	42
5.921682733542266	44.0	44	44
6.0220502375006095	44.0	44	44
6.1224177414589525	43.0	43	43
6.222785245417296	43.0	43	43
6.323152749375639	43.0	43	43
6.423520253333983	44.0	44	44
6.523887757292327	43.0	43	43
6.62425526125067	43.0	43	43
6.724622765209014	43.0	43	43
6.8249902691673565	43.0	43	43
6.9253577731257	44.0	44	44
7.025725277084044	44.0	44	44
7.126092781042387	43.0	43	43
7.226460285000731	46.0	46	46
7.326827788959075	49.0	49	49
7.427195292917418	49.0	49	49
7.5275627968757615	49.0	49	49
7.627930300834105	48.0	48	48
7.728297804792448	49.0	49	49
7.828665308750792	49.0	49	49
7.929032812709135	49.0	49	49
8.029400316667479	48.0	48	48
8.129767820625823	49.0	49	49
8.230135324584166	51.0	51	51
8.330502828542508	51.0	51	51
8.430870332500852	50.0	50	50
8.531237836459196	52.0	52	52
8.63160534041754	52.0	52	52
8.731972844375884	52.0	52	52
8.832340348334228	53.0	53	53
