time	temperature
0	1.064
0.1	1.203
0.2	1.370
0.3	1.617
0.4	1.278
0.5	1.625
0.6	1.134
0.7	1.056
0.8	1.505
0.9	1.989
1	2.220
1.1	2.189
1.2	1.783
1.3	2.301
1.4	2.406
1.5	1.750
1.6	2.149
1.7	2.417
1.8	2.710
1.9	2.465
2	2.435
2.1	2.538
2.2	2.905
2.3	3.089
2.4	2.542
2.5	2.847
2.6	3.104
2.7	3.351
2.8	3.433
2.9	3.914
3	4.164
3.1	4.217
3.2	4.605
3.3	3.673
3.4	4.686
3.5	4.706
3.6	4.325
3.7	4.744
3.8	4.778
3.9	4.563
4	4.430
4.1	4.922
4.2	4.903
4.3	5.045
4.4	5.081
4.5	4.626
4.6	4.549
4.7	4.572
4.8	4.506
4.9	4.894
5	5.243
5.1	5.306
5.2	5.439
5.3	5.474
5.4	5.492
5.5	4.863
5.6	4.869
5.7	4.551
5.8	4.844
5.9	4.682
6	5.047
6.1	5.196
6.2	5.526
6.3	5.726
6.4	5.446
6.5	5.570
6.6	5.381
6.7	5.831
6.8	5.770
6.9	6.154
7	5.604
7.1	5.060
7.2	6.269
7.3	6.361
7.4	6.053
7.5	5.549
7.6	5.741
7.7	5.876
7.8	5.676
7.9	6.481
8	5.004
8.1	5.095
8.2	5.311
8.3	5.538
8.4	5.402
8.5	5.697
8.6	5.629
8.7	5.292
8.8	5.296
8.9	5.753
9	5.629
9.1	5.783
9.2	5.697
9.3	5.634
9.4	5.747
9.5	5.741
9.6	6.052
9.7	6.089
9.8	6.151
9.9	6.075
10	6.071
10.1	5.890
10.2	5.924
10.3	6.176
10.4	6.647
10.5	5.860
10.6	6.203
10.7	6.341
10.8	6.630
10.9	6.625
11	6.440
11.1	6.708
11.2	6.528
11.3	6.376
11.4	5.851
11.5	6.461
11.6	6.375
11.7	6.364
11.8	6.683
11.9	7.008
12	6.940
12.1	6.677
12.2	6.885
12.3	6.839
12.4	6.676
12.5	6.853
12.6	6.877
12.7	6.651
12.8	7.073
12.9	7.124
13	7.303
13.1	7.424
13.2	7.683
13.3	7.903
13.4	7.657
13.5	7.246
13.6	7.689
13.7	7.397
13.8	8.438
13.9	8.879
14	9.169
14.1	8.368
14.2	9.052
14.3	8.947
14.4	8.903
14.5	9.313
14.6	9.316
14.7	9.758
14.8	9.646
14.9	9.572
15	9.682
15.1	8.963
15.2	9.100
15.3	9.872
15.4	10.117
15.5	9.163
15.6	9.401
15.7	9.569
15.8	9.203
15.9	8.742
16	8.618
16.1	8.203
16.2	8.874
16.3	9.625
16.4	9.556
16.5	9.259
16.6	8.846
16.7	8.746
16.8	8.753
16.9	7.911
17	7.594
17.1	7.615
17.2	7.445
17.3	7.614
17.4	7.347
17.5	7.711
17.6	7.571
17.7	7.491
17.8	7.514
17.9	7.684
18	8.100
18.1	7.710
18.2	7.629
18.3	7.415
18.4	7.849
18.5	7.455
18.6	7.325
18.7	7.755
18.8	7.515
18.9	7.485
19	7.134
19.1	7.439
19.2	7.542
19.3	6.687
19.4	6.862
19.5	7.739
19.6	7.580
19.7	7.170
19.8	7.709
19.9	8.031
20	8.308
20.1	7.709
20.2	8.099
20.3	8.335
20.4	8.749
20.5	8.030
20.6	7.337
20.7	8.062
20.8	8.480
20.9	7.427
21	7.329
21.1	7.238
21.2	8.300
21.3	8.150
21.4	8.402
21.5	8.599
21.6	8.965
21.7	9.037
21.8	8.681
21.9	8.057
22	8.753
22.1	8.503
22.2	7.988
22.3	8.272
22.4	8.245
22.5	7.645
22.6	7.933
22.7	7.523
22.8	7.674
22.9	7.189
23	6.777
23.1	7.408
23.2	8.208
23.3	8.423
23.4	8.279
23.5	7.824
23.6	8.435
23.7	8.413
23.8	8.223
23.9	8.313
24	9.077
24.1	8.986
24.2	9.280
24.3	9.019
24.4	8.813
24.5	9.273
24.6	9.002
24.7	8.883
24.8	9.263
24.9	9.051
25	8.807
25.1	8.837
25.2	8.817
25.3	9.081
25.4	8.868
25.5	8.471
25.6	8.370
25.7	8.332
25.8	7.993
25.9	8.294
26	8.555
26.1	8.224
26.2	8.250
26.3	8.019
26.4	8.086
26.5	7.856
26.6	8.268
26.7	7.487
26.8	7.277
26.9	6.953
27	7.363
27.1	7.161
27.2	7.280
27.3	6.216
27.4	6.635
27.5	6.870
27.6	6.372
27.7	6.722
27.8	7.336
27.9	7.208
28	7.222
28.1	6.937
28.2	7.187
28.3	6.864
28.4	7.385
28.5	7.471
28.6	7.500
28.7	6.953
28.8	7.504
28.9	7.608
29	7.175
29.1	7.120
29.2	7.184
29.3	7.097
29.4	7.421
29.5	8.151
29.6	8.192
29.7	7.627
29.8	7.996
29.9	7.982
30	7.572
30.1	7.255
30.2	7.713
30.3	7.495
30.4	7.640
30.5	6.992
30.6	7.071
30.7	6.793
30.8	7.010
30.9	7.729
31	7.627
31.1	7.395
31.2	7.839
31.3	8.351
31.4	7.649
31.5	7.635
31.6	7.516
31.7	7.765
31.8	7.762
31.9	7.931
32	8.194
32.1	7.807
32.2	7.380
32.3	7.264
32.4	7.498
32.5	7.620
32.6	7.186
32.7	7.375
32.8	7.134
32.9	7.368
33	6.868
33.1	6.555
33.2	6.645
33.3	6.308
33.4	6.170
33.5	7.722
33.6	8.651
33.7	9.008
33.8	9.241
33.9	9.321
34	9.609
34.1	9.373
34.2	9.457
34.3	9.409
34.4	9.562
34.5	9.496
34.6	9.738
34.7	9.454
34.8	9.493
34.9	9.803
35	9.743
35.1	9.804
35.2	8.994
35.3	10.018
35.4	9.938
35.5	9.271
35.6	9.178
35.7	9.452
35.8	9.130
35.9	8.857
36	8.965
36.1	9.818
36.2	9.662
36.3	10.144
36.4	9.865
36.5	8.911
36.6	9.828
36.7	9.694
36.8	9.252
36.9	9.768
37	9.798
37.1	10.128
37.2	10.128
37.3	10.128
37.4	9.749
37.5	10.696
37.6	11.029
37.7	9.633
37.8	9.671
37.9	10.225
38	10.405
38.1	10.436
38.2	11.015
38.3	11.068
38.4	10.408
38.5	10.758
38.6	10.977
38.7	10.318
38.8	11.197
38.9	11.058
39	10.637
39.1	11.222
39.2	11.248
39.3	11.336
39.4	11.508
39.5	11.482
39.6	11.585
39.7	11.794
39.8	10.990
39.9	12.122
40	11.542
40.1	11.345
40.2	12.825
40.3	11.307
40.4	11.631
40.5	11.237
40.6	12.087
40.7	11.776
40.8	11.086
40.9	11.323
41	11.217
41.1	11.841
41.2	11.684
41.3	12.773
41.4	13.447
41.5	13.360
41.6	12.871
41.7	12.349
41.8	12.522
41.9	11.961
42	12.432
42.1	11.291
42.2	11.226
42.3	11.705
42.4	12.198
42.5	12.320
42.6	12.257
42.7	12.233
42.8	12.475
42.9	12.495
43	12.286
43.1	12.814
43.2	13.325
43.3	12.008
43.4	13.019
43.5	12.621
