it	posterior	likelihood	prior	q_multi	sig2_hp	t_0.006	t_0.467	t_1.382	t_2.212	t_2.672	t_3.226	t_4.147	t_4.971	t_5.431	t_5.99	t_6.912	t_7.834	t_8.755	t_9.677	t_10.599	t_11.52	t_12.442	t_13.363	t_14.285	t_15.207	t_16.128	t_17.05	t_17.971	t_18.893	t_19.815	t_20.736	t_21.658	t_22.574	t_23.035	t_23.501	t_24.423	t_25.344	t_26.266	t_27.187	t_28.109	t_29.031	t_29.952	t_30.874	t_31.796	t_32.717	t_33.539	t_34.0	t_34.56	t_35.482	t_36.404	t_37.325	t_38.247	t_39.168	t_40.09	t_41.012	t_41.933	t_42.855	t_43.776	t_44.698
0	-1162.4680431736724	-1034.084466387508	-128.3835767861645	1.0	10.0	6.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0	44.0
500	-423.9067057414484	-323.701590182067	-100.20511555938143	1.0	3.5032162949706636	6.0	20.704370116044824	25.295411388895488	25.8168356235153	19.785680661270654	33.99347993241649	19.197970561024636	23.576116507184302	23.38765296023874	41.18315399475947	46.58380042618832	43.76483036411605	53.86640932500468	43.42596892081461	37.29149447293115	35.69190869858959	34.93343665593438	35.250247596363806	33.1503919281643	36.928640692335456	41.43322657414642	39.52744901121511	38.92546045001309	41.24149645456522	30.72809141829334	19.825176975178714	23.68309406844918	16.330148782024402	42.351143138392004	28.11751979242285	35.19158795708306	20.330349682421243	21.510127483280478	8.920909160411885	19.430199773824686	16.840609840546296	18.541692751402596	13.242494871279122	18.883354872369047	19.870707557117587	29.22108713458879	24.552274088927483	15.713316526198554	24.64018494242623	15.967441035084727	21.20266000713688	7.887259565070594	12.990610746109397	14.526238761594842	14.640898370611872	22.86753429348333	4.835231765036579	7.353557080479071	14.540150748839967
1000	-293.8873649061593	-203.9280748488936	-89.95929005726572	1.0	1.734125453806437	6.0	17.842847841730325	21.577566499969187	25.709066571487522	15.378830639101281	24.691483649134828	17.211417244943355	23.31028134918668	30.230479595603594	34.79234991656069	51.77214680600129	36.63204141416723	47.95578410515507	44.07456375634244	30.639149025733122	39.19519223192398	30.216118931143438	36.821729039555244	31.188946538941074	30.976185843873846	41.1500797232026	37.14597294666011	47.569506775912785	31.32757662209399	21.06911128811997	12.496904545708023	23.1792349447132	14.688340766463032	25.739949495214937	27.954628211118273	11.99273583365768	14.69795984881451	5.1382620862125945	11.072395443263341	22.55080587156762	7.809925825449674	12.236482570544352	14.967509868349874	16.203968631918407	16.09409679497834	19.63376250049226	12.375350480791859	10.185280667154252	17.413564780623098	20.80893457085827	11.64755736797644	6.7743648474600935	4.981899371214104	4.744841969075808	7.313159372177311	4.378992851780462	3.2198844812540726	3.1988264115567233	10.395462817761441
1500	-263.4157774528078	-174.0410862416078	-89.37469121120003	1.0	2.1061162057122136	6.0	17.08862996035281	19.918816017090315	24.01473418461039	16.756247686720876	23.71340840939702	16.742038616666	16.75626644515787	32.048139077375154	36.70560831552547	43.758104698249284	43.907400897379915	43.663255486257064	43.781676970097145	30.040963977664646	40.084204220081695	30.969759028078997	30.551814944162462	32.190553679751645	33.947008849018566	41.24396208541982	49.96947510386315	37.3219828851734	28.170607090104294	21.53238132115253	10.951219345921643	24.27637096281041	10.392137090297991	35.47677799891551	36.664832391338244	10.176833922381553	10.878608946930523	3.601251148325946	7.10521807595173	16.60472737702751	6.330603933352311	7.487862015013393	9.303632997780783	19.92170073085911	11.362070795858632	16.894703453049118	21.835065116655908	7.7428222097278985	11.820198202268067	9.31223620363652	6.086561229269307	3.383669900527426	2.936743444076251	4.561342281071066	5.838873951370918	2.873230717976522	4.695363468533675	3.460333979704951	6.306635087631948
2000	-302.39786194756874	-206.70366375257765	-95.6941981949911	1.0	2.2902473525011637	6.0	16.93824120856577	20.12936603268906	23.205451576635227	29.805036440244297	24.38384821819643	18.963963607591193	15.642227772131085	40.29175766905627	34.79216186368251	69.29897854730544	60.42938821902078	52.372890433792904	49.39852904763615	52.12260872485354	70.65617129291908	40.97230075098512	42.581551301439475	41.96365562333055	49.53570626329487	53.86299897928844	69.61244228257787	45.96359310953534	26.76857597266983	39.238050967285446	9.336528452648615	31.456659542567653	10.166109949233986	39.850829161478956	25.80630365469778	15.67493798028907	15.074212075893714	3.5647707868848837	15.19688509022269	9.5874577796754	5.925936833386727	9.9957791309064	7.709244744394044	6.975972783523062	25.766341818045223	12.206554753174181	18.031199381336187	4.77232099653288	17.39546414948985	14.551115013178991	5.514440935429775	5.600248654940983	4.684105785926631	6.97054527896678	5.629296400131269	4.414011391700641	2.9465312959360026	3.850665783203071	5.94793100587217
2500	-262.14746351695624	-167.13782925254984	-95.00963426440639	1.0	2.5472879193985105	6.0	17.758625774467962	21.111989554056834	29.321698865475707	20.583860364000465	24.546915649411204	21.324894316198833	16.181209920611188	38.2241930129005	55.424450319776206	60.926436731416224	58.142034836236846	79.56742511350387	67.91317949948453	53.327859370341415	62.1551904299734	49.91952818600373	49.15079309590212	38.210643499881726	50.24609486170066	75.12052778062608	57.94842426535915	45.192624085050426	45.810099878422065	36.66708561201666	13.790713419882637	53.10784528107085	12.604112854046273	19.21844328946631	21.970883827013086	15.268923174194713	16.508508648198347	4.883850028926835	19.55626479237668	8.23258284308028	3.3851396030386103	12.060310631266258	5.617350061821712	5.36786729176703	18.624650694823497	20.88913643487841	20.72009858945019	4.093587946785808	13.914834131385373	15.19903150146314	5.677931296069444	4.050405510252288	7.48579819251266	4.476701608637545	4.993673750643751	4.3183507003001065	3.052881991560381	1.423291549218401	3.6442628592902313
3000	-318.9878040768759	-227.67189257785014	-91.31591149902573	1.0	2.168525728253055	6.0	17.827142743274965	18.518225046797955	31.741928621402657	15.125881087315737	26.255963049236623	24.693507214734172	15.802857215648384	21.56550376640466	41.90899214923358	57.184601168463104	37.739172296010075	85.43673247688668	74.94957090679117	50.812956280597376	51.36820613307852	45.61539797907615	43.243168791008486	37.51800514327485	37.81039418475086	49.96447327366015	47.19228010752907	46.58463697837938	43.80169550911738	31.82574291291306	18.506930658637092	24.080150141811835	14.396787965476651	15.071003040703342	16.53933017008831	11.990180545594072	7.502718743528342	4.8529527959185	9.04893888610029	4.50987024154972	4.050797614592698	6.491086840564461	9.744040063293905	12.698190818642177	8.286405884168161	15.972249728296228	14.141634360749636	4.59906079002079	10.682039024232335	10.63297194922508	7.746690526339618	3.115053231475731	3.876934268040928	5.461740691485377	3.174206550102075	5.92766625243742	2.717474869031933	1.4980417538965298	1.8830891609881486
3500	-235.6392960612469	-140.03197392327218	-95.60732213797475	1.0	3.79371959043739	6.0	17.24449278145328	18.961235225975138	25.536546749803165	14.143352215587848	25.830732929470713	18.35444077584633	15.600838613569788	49.22358306671813	45.959990263627034	45.35256174507367	33.687540305706456	50.02328433047386	65.19567525754759	34.798411733613385	42.81683121015856	36.320695512618165	37.332221235968234	32.86585903066423	39.029475002766105	38.930715499871305	36.97237285265083	35.36743100442432	35.15033906571606	24.755266313493436	10.191136656889094	19.61564284573656	10.490360893348194	16.935419524248626	18.666054266840078	8.09455640171036	8.883042211815335	5.076960083921857	13.73769146177691	3.3393058587645785	4.75004196562482	3.861372180274717	7.899430411132572	6.2948745094887535	10.931804981968952	7.411929565886975	10.525621549226017	4.9604418861324255	7.441999351422249	5.967949802524407	7.912995324294632	1.882079409446409	3.4779873043676734	2.3253562340992655	1.2288556227600038	5.289050877714139	0.8835314259524122	1.0818658895446562	1.6297104202554016
4000	-211.13283701690958	-121.64483455553194	-89.48800246137763	1.0	1.4096897381617746	6.0	16.235469499298766	19.085849416356798	24.645616990777874	12.262313161157861	23.055675849542922	16.955476224172113	15.638675176843366	34.18334271447253	42.42499097046078	52.19502178290737	33.61098955024151	49.24087779534841	64.68725794272348	35.8701484279286	45.28714489408848	34.481748148960904	36.051522524318614	33.815508634401965	33.60769881257538	45.55829851060337	39.57923274701878	40.09060241809541	28.341551207840112	26.285274752714628	8.85928841307117	18.551120864628324	14.247289669427087	22.281415516873615	22.88864874767273	6.006670839407075	4.889737320142929	4.547203718378743	3.7701597803068863	5.417631427234898	3.228222016576545	6.580129517152892	5.287314462516983	3.4956769816385687	9.211037297917441	6.597236214632845	5.1780516712765	4.32477890010579	10.921426304126578	5.553309174041725	7.58244526405667	2.4714927083929825	1.6984596199418722	2.935787442406945	1.5626531803645343	2.9217805955472094	0.3445715341211725	1.430705325020618	2.6737739266875766
4500	-214.69681734356593	-126.21562131538482	-88.4811960281811	1.0	1.8625001395238956	6.0	16.218825701387434	19.427357452017922	24.02016369753204	10.83242968280907	23.408446633159905	17.941436106249093	15.79231949882915	33.11220789231494	39.72292405766138	43.60611799711501	38.7466243319001	47.18447532419279	65.00003369798387	32.25946648547532	42.457303469998905	34.42062198462095	34.339401938906846	27.51618097743147	33.67756181567128	41.92151691393485	32.58355136938502	35.85636358555753	28.061920094759223	20.450760880824426	8.767307693212274	15.943349871636581	13.984128963017621	22.83299415296748	23.173811985384745	6.188911527981647	4.973002031032879	5.09490296154921	3.3673446530154227	5.00813556936682	3.43398833231668	6.687862004466503	4.8157424645260605	2.344259732421492	5.143552812146831	6.706278727431954	8.953592149852327	3.4580574461600824	9.698365611918526	4.865243325747711	7.057246420387554	2.8287349231715258	1.3786024090381601	2.536094755113926	2.6037859538637957	1.6074319639057189	0.28432013948297596	0.9404658247366497	1.975161613603127
