"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"185469","occ","","","18201","Canis","genus","41198","Hemphillian","","9.4","4.7","3510"
"186572","occ","","","18320","Canis","genus","41198","Late Hemphillian","Blancan","9.4","1.4","6086"
"186878","occ","","","18359","Canis lepophagus","species","44856","Late Hemphillian","","9.4","4.7","3510"
"189693","occ","","","18900","Canis","genus","41198","Hemphillian","","9.4","4.7","2886"
"192926","occ","8376","","19617","Canis edwardii","species","44838","Irvingtonian","","1.4","0.21","2673"
"192927","occ","30222","","19617","Canis armbrusteri","species","44827","Irvingtonian","","1.4","0.21","52058"
"192928","occ","","","19617","Canis latrans","species","44854","Irvingtonian","","1.4","0.21","1813"
"193271","occ","8462","","19656","Canis latrans","species","44854","Blancan","","4.7","1.4","6294"
"193272","occ","30218","","19656","Canis thooides","species","301914","Blancan","","4.7","1.4","52058"
"193288","occ","8467","","19657","Canis latrans","species","44854","Blancan","","4.7","1.4","6294"
"193323","occ","8475","","19658","Canis latrans","species","44854","Blancan","","4.7","1.4","6294"
"193373","occ","8495","","19668","Canis lepophagus","species","44856","Blancan","","4.7","1.4","2673"
"193775","occ","","","19758","Canis lepophagus","species","44856","Gelasian","","2.58","1.8","3567"
"193898","occ","","","19805","Canis lepophagus","species","44856","Blancan","","4.7","1.4","1069"
"193901","occ","","","19807","Canis lepophagus","species","44856","Blancan","","4.7","1.4","1069"
"193916","occ","","","19812","Canis lepophagus","species","44856","Blancan","","4.7","1.4","1069"
"193936","occ","","","19815","Canis lepophagus","species","44856","Blancan","","4.7","1.4","1069"
"193942","occ","","","19816","Canis lepophagus","species","44856","Blancan","","4.7","1.4","1069"
"193957","occ","","","19819","Canis lepophagus","species","44856","Blancan","","4.7","1.4","1069"
"193965","occ","","","19821","Canis lepophagus","species","44856","Blancan","","4.7","1.4","1069"
"193992","occ","","","19839","Canis lepophagus","species","44856","Blancan","","4.7","1.4","1069"
"194001","occ","","","19847","Canis lepophagus","species","44856","Blancan","","4.7","1.4","1069"
"194012","occ","","","19854","Canis lepophagus","species","44856","Blancan","","4.7","1.4","1069"
"194047","occ","","","19879","Canis lepophagus","species","44856","Blancan","","4.7","1.4","1069"
"194056","occ","","","19888","Canis lepophagus","species","44856","Blancan","","4.7","1.4","1069"
"194070","occ","","","19895","Canis lepophagus","species","44856","Blancan","","4.7","1.4","1069"
"194090","occ","","","19903","Canis lepophagus","species","44856","Blancan","","4.7","1.4","1069"
"194215","occ","","","19921","Canis","genus","41198","Blancan","","4.7","1.4","1814"
"194251","occ","","","19927","Canis latrans","species","44854","Gelasian","","2.58","1.8","24906"
"194285","occ","8765","","19929","Canis lepophagus","species","44856","Blancan","","4.7","1.4","2673"
"194362","occ","","","19932","Canis lepophagus","species","44856","Blancan","","4.7","1.4","1905"
"194379","occ","","","19934","Canis lepophagus","species","44856","Blancan","","4.7","1.4","1894"
"194480","occ","","","19940","Canis lepophagus","species","44856","Blancan","","4.7","1.4","1070"
"194652","occ","","","19955","Canis lepophagus","species","44856","Blancan","","4.7","1.4","2673"
"194695","occ","","","19962","Canis lepophagus","species","44856","Blancan","","4.7","1.4","3512"
"194719","occ","","","19963","Canis lepophagus","species","44856","Blancan","","4.7","1.4","2518"
"194765","occ","","","19965","Canis lepophagus","species","44856","Blancan","","4.7","1.4","2886"
"194814","occ","","","19973","Canis latrans","species","44854","Blancan","","4.7","1.4","3378"
"194838","occ","","","19981","Canis lepophagus","species","44856","Blancan","","4.7","1.4","2618"
"194983","occ","36486","","20023","Canis lepophagus","species","44856","Blancan","","4.7","1.4","1309"
"195063","occ","","","20033","Canis lepophagus","species","44856","Blancan","","4.7","1.4","2044"
"195093","occ","","","20034","Canis lepophagus","species","44856","Blancan","","4.7","1.4","2673"
"195134","occ","30194","","20050","Canis lepophagus","species","44856","Blancan","","4.7","1.4","52058"
"195215","occ","30195","","20060","Canis lepophagus","species","44856","Blancan","","4.7","1.4","52058"
"195263","occ","","","20062","Canis lepophagus","species","44856","Blancan","","4.7","1.4","3382"
"195264","occ","","","20062","Canis","genus","41198","Blancan","","4.7","1.4","2625"
"195346","occ","9025","","20074","Canis edwardii","species","44838","Blancan","","4.7","1.4","2673"
"195481","occ","","","20105","Canis","genus","41198","Blancan","","4.7","1.4","1186"
"195542","occ","","","20112","Canis latrans","species","44854","Blancan","","4.7","1.4","1186"
"195555","occ","","","20113","Canis","genus","41198","Blancan","","4.7","1.4","1186"
"195581","occ","9093","","20115","Canis rufus","species","44879","Blancan","","4.7","1.4","6294"
"195613","occ","","","20117","Canis","genus","41198","Blancan","","4.7","1.4","1186"
"195614","occ","","","20117","Canis latrans","species","44854","Blancan","","4.7","1.4","1186"
"195688","occ","","","20120","Canis latrans","species","44854","Blancan","","4.7","1.4","1186"
"195689","occ","9122","","20120","Canis rufus","species","44879","Blancan","","4.7","1.4","6294"
"195718","occ","","","20121","Canis","genus","41198","Blancan","","4.7","1.4","1186"
"195719","occ","9130","","20121","Canis rufus","species","44879","Blancan","","4.7","1.4","6294"
"195740","occ","","","20122","Canis","genus","41198","Blancan","","4.7","1.4","1186"
"195741","occ","","","20122","Canis latrans","species","44854","Blancan","","4.7","1.4","1186"
"195777","occ","","","20123","Canis","genus","41198","Irvingtonian","","1.4","0.21","1186"
"195865","occ","","","20126","Canis latrans","species","44854","Irvingtonian","","1.4","0.21","1186"
"195887","occ","","","20127","Canis latrans","species","44854","Irvingtonian","","1.4","0.21","1186"
"195926","occ","","","20129","Canis latrans","species","44854","Irvingtonian","","1.4","0.21","1186"
"195938","occ","","","20130","Canis latrans","species","44854","Irvingtonian","","1.4","0.21","1186"
"195952","occ","","","20134","Canis latrans","species","44854","Irvingtonian","","1.4","0.21","1186"
"195966","occ","","","20137","Canis latrans","species","44854","Irvingtonian","","1.4","0.21","3081"
"196022","occ","","","20143","Canis latrans","species","44854","Irvingtonian","","1.4","0.21","2419"
"196023","occ","9183","","20143","Canis","genus","41198","Irvingtonian","","1.4","0.21","2673"
"196053","occ","9189","","20148","Canis edwardii","species","44838","Irvingtonian","","1.4","0.21","2673"
"196067","occ","","","20150","Canis latrans","species","44854","Irvingtonian","","1.4","0.21","1022"
"196068","occ","9195","","20150","Canis edwardii","species","44838","Irvingtonian","","1.4","0.21","949"
"196069","occ","","","20150","Canis","genus","41198","Irvingtonian","","1.4","0.21","949"
"196115","occ","","","20157","Canis latrans","species","44854","Irvingtonian","","1.4","0.21","3211"
"196265","occ","","","20173","Canis latrans","species","44854","Irvingtonian","","1.4","0.21","2893"
"196301","occ","9235","","20178","Canis latrans","species","44854","Irvingtonian","","1.4","0.21","6294"
"196351","occ","","","20187","Canis latrans","species","44854","Irvingtonian","","1.4","0.21","2893"
"196424","occ","","","20205","Canis","genus","41198","Irvingtonian","","1.4","0.21","2725"
"196549","occ","","","20237","Canis","genus","41198","Irvingtonian","","1.4","0.21","2725"
"196653","occ","","","20273","Canis latrans","species","44854","Late Pleistocene","","0.129","0.0117","2016"
"196681","occ","","","20277","Canis","genus","41198","Irvingtonian","","1.4","0.21","1764"
"196697","occ","","","20280","Canis latrans","species","44854","Irvingtonian","","1.4","0.21","1817"
"196706","occ","","","20281","Canis","genus","41198","Irvingtonian","","1.4","0.21","2254"
"196730","occ","","","20283","Canis latrans","species","44854","Irvingtonian","","1.4","0.21","2607"
"196731","occ","","","20283","Canis cedazoensis","species","44831","Irvingtonian","","1.4","0.21","2607"
"196759","occ","37231","","20285","Canis lupus","species","44860","Pleistocene","","2.58","0.0117","69885"
"196760","occ","37232","","20285","Canis latrans","species","44854","Pleistocene","","2.58","0.0117","69885"
"196816","occ","9332","","20289","Canis armbrusteri","species","44827","Irvingtonian","","1.4","0.21","2673"
"196842","occ","","","20290","Canis latrans","species","44854","Irvingtonian","","1.4","0.21","2673"
"196843","occ","30223","","20290","Canis armbrusteri","species","44827","Irvingtonian","","1.4","0.21","52058"
"196901","occ","","","20293","Canis latrans","species","44854","Irvingtonian","","1.4","0.21","1462"
"196933","occ","","","20295","Canis latrans","species","44854","Irvingtonian","","1.4","0.21","1907"
"196953","occ","9378","","20297","Canis lupus","species","44860","Irvingtonian","","1.4","0.21","2673"
