Species	Status	min_age	max_age
Canis	extinct	4.7	9.4
Canis	extinct	1.4	9.4
Canis_lepophagus	extinct	4.7	9.4
Canis	extinct	4.7	9.4
Canis_edwardii	extinct	0.21	1.4
Canis_armbrusteri	extinct	0.21	1.4
Canis_latrans	extant	0.21	1.4
Canis_latrans	extant	1.4	4.7
Canis_thooides	extinct	1.4	4.7
Canis_latrans	extant	1.4	4.7
Canis_latrans	extant	1.4	4.7
Canis_lepophagus	extinct	1.4	4.7
Canis_lepophagus	extinct	1.8	2.58
Canis_lepophagus	extinct	1.4	4.7
Canis_lepophagus	extinct	1.4	4.7
Canis_lepophagus	extinct	1.4	4.7
Canis_lepophagus	extinct	1.4	4.7
Canis_lepophagus	extinct	1.4	4.7
Canis_lepophagus	extinct	1.4	4.7
Canis_lepophagus	extinct	1.4	4.7
Canis_lepophagus	extinct	1.4	4.7
Canis_lepophagus	extinct	1.4	4.7
Canis_lepophagus	extinct	1.4	4.7
Canis_lepophagus	extinct	1.4	4.7
Canis_lepophagus	extinct	1.4	4.7
Canis_lepophagus	extinct	1.4	4.7
Canis_lepophagus	extinct	1.4	4.7
Canis	extinct	1.4	4.7
Canis_latrans	extant	1.8	2.58
Canis_lepophagus	extinct	1.4	4.7
Canis_lepophagus	extinct	1.4	4.7
Canis_lepophagus	extinct	1.4	4.7
Canis_lepophagus	extinct	1.4	4.7
Canis_lepophagus	extinct	1.4	4.7
Canis_lepophagus	extinct	1.4	4.7
Canis_lepophagus	extinct	1.4	4.7
Canis_lepophagus	extinct	1.4	4.7
Canis_latrans	extant	1.4	4.7
Canis_lepophagus	extinct	1.4	4.7
Canis_lepophagus	extinct	1.4	4.7
Canis_lepophagus	extinct	1.4	4.7
Canis_lepophagus	extinct	1.4	4.7
Canis_lepophagus	extinct	1.4	4.7
Canis_lepophagus	extinct	1.4	4.7
Canis_lepophagus	extinct	1.4	4.7
Canis	extinct	1.4	4.7
Canis_edwardii	extinct	1.4	4.7
Canis	extinct	1.4	4.7
Canis_latrans	extant	1.4	4.7
Canis	extinct	1.4	4.7
Canis_rufus	extant	1.4	4.7
Canis	extinct	1.4	4.7
Canis_latrans	extant	1.4	4.7
Canis_latrans	extant	1.4	4.7
Canis_rufus	extant	1.4	4.7
Canis	extinct	1.4	4.7
Canis_rufus	extant	1.4	4.7
Canis	extinct	1.4	4.7
Canis_latrans	extant	1.4	4.7
Canis	extinct	0.21	1.4
Canis_latrans	extant	0.21	1.4
Canis_latrans	extant	0.21	1.4
Canis_latrans	extant	0.21	1.4
Canis_latrans	extant	0.21	1.4
Canis_latrans	extant	0.21	1.4
Canis_latrans	extant	0.21	1.4
Canis_latrans	extant	0.21	1.4
Canis	extinct	0.21	1.4
