Species	Status
Canis	extinct
Canis_accitanus	extinct
Canis_adoxus	extinct
Canis_apolloniensis	extinct
Canis_armbrusteri	extinct
Canis_arnensis	extinct
Canis_aureus	extant
Canis_borjgali	extinct
Canis_cedazoensis	extinct
Canis_chihliensis	extinct
Canis_cipio	extinct
Canis_edwardii	extinct
Canis_etruscus	extinct
Canis_familiaris	extant
Canis_feneus	extinct
Canis_geismarianus	extinct
Canis_gezi	extinct
Canis_hewitti	extinct
Canis_incertus	extinct
Canis_latrans	extant
Canis_lepophagus	extinct
Canis_longdanensis	extinct
Canis_lupaster	extinct
Canis_lupus	extant
Canis_megamastoides	extinct
Canis_michauxi	extinct
Canis_mosbachensis	extinct
Canis_mosbachensis_variabilis	extinct
Canis_othmanii	extinct
Canis_palmidens	extinct
Canis_proplatensis	extinct
Canis_rufus	extant
Canis_senezensis	extinct
Canis_simensis	extinct
Canis_tarijensis	extinct
Canis_teilhardi	extinct
Canis_thooides	extinct
Canis_troglodytes	extinct
Canis_variabilis	extinct
Canis_vetulus	extinct
