time	diversity	m_div	M_div
0.0	5.0	5	5
0.10056079015337613	13.0	13	13
0.20112158030675226	13.0	13	13
0.30168237046012836	13.0	13	13
0.4022431606135045	13.0	13	13
0.5028039507668807	15.0	15	15
0.6033647409202567	17.0	17	17
0.7039255310736329	19.0	19	19
0.804486321227009	17.0	17	17
0.9050471113803852	17.0	17	17
1.0056079015337613	17.0	17	17
1.1061686916871374	17.0	17	17
1.2067294818405134	19.0	19	19
1.3072902719938897	18.0	18	18
1.4078510621472657	20.0	20	20
1.508411852300642	19.0	19	19
1.608972642454018	18.0	18	18
1.709533432607394	17.0	17	17
1.8100942227607704	17.0	17	17
1.9106550129141464	15.0	15	15
2.0112158030675227	15.0	15	15
2.1117765932208985	14.0	14	14
2.2123373833742748	15.0	15	15
2.312898173527651	14.0	14	14
2.413458963681027	14.0	14	14
2.514019753834403	15.0	15	15
2.6145805439877794	15.0	15	15
2.7151413341411557	13.0	13	13
2.8157021242945315	12.0	12	12
2.9162629144479078	13.0	13	13
3.016823704601284	13.0	13	13
3.11738449475466	9.0	9	9
3.217945284908036	11.0	11	11
3.3185060750614124	10.0	10	10
3.419066865214788	8.0	8	8
3.5196276553681645	8.0	8	8
3.6201884455215407	7.0	7	7
3.7207492356749166	7.0	7	7
3.821310025828293	8.0	8	8
3.921870815981669	7.0	7	7
4.022431606135045	7.0	7	7
4.122992396288422	7.0	7	7
4.223553186441797	8.0	8	8
4.324113976595173	6.0	6	6
4.4246747667485495	5.0	5	5
4.525235556901926	5.0	5	5
4.625796347055302	5.0	5	5
4.726357137208678	4.0	4	4
4.826917927362054	3.0	3	3
4.92747871751543	3.0	3	3
5.028039507668806	3.0	3	3
5.1286002978221825	3.0	3	3
5.229161087975559	3.0	3	3
5.329721878128935	3.0	3	3
5.430282668282311	2.0	2	2
5.530843458435687	2.0	2	2
5.631404248589063	2.0	2	2
5.731965038742439	2.0	2	2
5.8325258288958155	2.0	2	2
5.933086619049192	1.0	1	1
6.033647409202568	1.0	1	1
6.134208199355943	1.0	1	1
6.23476898950932	1.0	1	1
6.335329779662696	1.0	1	1
6.435890569816072	1.0	1	1
6.5364513599694485	1.0	1	1
6.637012150122825	1.0	1	1
6.737572940276201	1.0	1	1
6.838133730429576	1.0	1	1
6.938694520582953	1.0	1	1
7.039255310736329	1.0	1	1
7.139816100889705	1.0	1	1
7.2403768910430815	1.0	1	1
7.340937681196458	1.0	1	1
7.441498471349833	1.0	1	1
7.542059261503209	1.0	1	1
7.642620051656586	1.0	1	1
7.743180841809962	1.0	1	1
7.843741631963338	1.0	1	1
7.9443024221167144	1.0	1	1
8.04486321227009	1.0	1	1
8.145424002423466	2.0	2	2
8.245984792576843	1.0	1	1
8.346545582730219	1.0	1	1
