it	l_0	l_1	l_2	l_3	l_4	l_5	l_6	l_7	l_8	l_9	l_10	l_11	l_12	l_13	l_14	l_15	l_16	l_17	l_18	l_19	l_20	l_21	m_0	m_1	m_2	m_3	m_4	m_5	m_6	m_7	m_8	m_9	m_10	m_11	m_12	m_13	m_14	m_15	m_16	m_17	m_18	m_19	m_20	m_21	r_0	r_1	r_2	r_3	r_4	r_5	r_6	r_7	r_8	r_9	r_10	r_11	r_12	r_13	r_14	r_15	r_16	r_17	r_18	r_19	r_20	r_21	
0	0.1382402311175697	0.1382402311175697	0.1382402311175697	0.1382402311175697	0.1382402311175697	0.1382402311175697	0.1382402311175697	0.1382402311175697	0.1382402311175697	0.1382402311175697	0.1382402311175697	0.1382402311175697	0.1382402311175697	0.1382402311175697	0.1382402311175697	0.1382402311175697	0.1382402311175697	0.1382402311175697	0.1382402311175697	0.1382402311175697	0.1382402311175697	0.1382402311175697	0.12807213750579033	0.12807213750579033	0.12807213750579033	0.12807213750579033	0.12807213750579033	0.12807213750579033	0.12807213750579033	0.12807213750579033	0.12807213750579033	0.12807213750579033	0.12807213750579033	0.12807213750579033	0.12807213750579033	0.12807213750579033	0.12807213750579033	0.12807213750579033	0.12807213750579033	0.12807213750579033	0.12807213750579033	0.12807213750579033	0.12807213750579033	0.12807213750579033	0.010168093611779366	0.010168093611779366	0.010168093611779366	0.010168093611779366	0.010168093611779366	0.010168093611779366	0.010168093611779366	0.010168093611779366	0.010168093611779366	0.010168093611779366	0.010168093611779366	0.010168093611779366	0.010168093611779366	0.010168093611779366	0.010168093611779366	0.010168093611779366	0.010168093611779366	0.010168093611779366	0.010168093611779366	0.010168093611779366	0.010168093611779366	0.010168093611779366
1000	0.5106618446908924	0.5106618446908924	0.5106618446908924	0.5106618446908924	0.5106618446908924	0.5106618446908924	0.5106618446908924	0.5106618446908924	0.5106618446908924	0.5106618446908924	0.5106618446908924	0.5106618446908924	0.5106618446908924	0.5106618446908924	0.5106618446908924	0.5106618446908924	0.5106618446908924	0.5106618446908924	0.5106618446908924	0.5106618446908924	0.5106618446908924	0.5106618446908924	0.30662662321913636	0.30662662321913636	0.30662662321913636	0.30662662321913636	0.30662662321913636	0.30662662321913636	0.30662662321913636	0.30662662321913636	0.30662662321913636	0.30662662321913636	0.30662662321913636	0.30662662321913636	0.30662662321913636	0.30662662321913636	0.30662662321913636	0.30662662321913636	0.30662662321913636	0.30662662321913636	0.30662662321913636	0.30662662321913636	0.30662662321913636	0.30662662321913636	0.204035221471756	0.204035221471756	0.204035221471756	0.204035221471756	0.204035221471756	0.204035221471756	0.204035221471756	0.204035221471756	0.204035221471756	0.204035221471756	0.204035221471756	0.204035221471756	0.204035221471756	0.204035221471756	0.204035221471756	0.204035221471756	0.204035221471756	0.204035221471756	0.204035221471756	0.204035221471756	0.204035221471756	0.204035221471756
2000	0.389840310306654	0.389840310306654	0.389840310306654	0.389840310306654	0.389840310306654	0.389840310306654	0.389840310306654	0.389840310306654	0.389840310306654	0.389840310306654	0.389840310306654	0.389840310306654	0.389840310306654	0.389840310306654	0.389840310306654	0.389840310306654	0.389840310306654	0.389840310306654	0.389840310306654	0.389840310306654	0.389840310306654	0.389840310306654	0.6937970601622233	0.6937970601622233	0.6937970601622233	0.6937970601622233	0.40487371969815955	0.40487371969815955	0.40487371969815955	0.40487371969815955	0.40487371969815955	0.40487371969815955	0.40487371969815955	0.40487371969815955	0.40487371969815955	0.40487371969815955	0.40487371969815955	0.40487371969815955	0.40487371969815955	0.40487371969815955	0.40487371969815955	0.40487371969815955	0.40487371969815955	0.40487371969815955	-0.3039567498555693	-0.3039567498555693	-0.3039567498555693	-0.3039567498555693	-0.015033409391505548	-0.015033409391505548	-0.015033409391505548	-0.015033409391505548	-0.015033409391505548	-0.015033409391505548	-0.015033409391505548	-0.015033409391505548	-0.015033409391505548	-0.015033409391505548	-0.015033409391505548	-0.015033409391505548	-0.015033409391505548	-0.015033409391505548	-0.015033409391505548	-0.015033409391505548	-0.015033409391505548	-0.015033409391505548
3000	0.4297602371433479	0.4297602371433479	0.4297602371433479	0.4297602371433479	0.4297602371433479	0.4297602371433479	0.4297602371433479	0.4297602371433479	0.4297602371433479	0.4297602371433479	0.4297602371433479	0.4297602371433479	0.4297602371433479	0.4297602371433479	0.4297602371433479	0.4297602371433479	0.4297602371433479	0.4297602371433479	0.4297602371433479	0.4297602371433479	0.4297602371433479	0.4297602371433479	1.28475318461567	1.28475318461567	0.3539402166744848	0.3539402166744848	0.3539402166744848	0.3539402166744848	0.3539402166744848	0.3539402166744848	0.3539402166744848	0.3539402166744848	0.3539402166744848	0.3539402166744848	0.3539402166744848	0.3539402166744848	0.3539402166744848	0.3539402166744848	0.3539402166744848	0.3539402166744848	0.3539402166744848	0.3539402166744848	0.3539402166744848	0.3539402166744848	-0.854992947472322	-0.854992947472322	0.0758200204688631	0.0758200204688631	0.0758200204688631	0.0758200204688631	0.0758200204688631	0.0758200204688631	0.0758200204688631	0.0758200204688631	0.0758200204688631	0.0758200204688631	0.0758200204688631	0.0758200204688631	0.0758200204688631	0.0758200204688631	0.0758200204688631	0.0758200204688631	0.0758200204688631	0.0758200204688631	0.0758200204688631	0.0758200204688631
4000	0.4217656721156421	0.4217656721156421	0.4217656721156421	0.4217656721156421	0.4217656721156421	0.4217656721156421	0.4217656721156421	0.4217656721156421	0.4217656721156421	0.4217656721156421	0.4217656721156421	0.4217656721156421	0.4217656721156421	0.4217656721156421	0.4217656721156421	0.4217656721156421	0.4217656721156421	0.4217656721156421	0.4217656721156421	0.4217656721156421	0.4217656721156421	0.4217656721156421	1.1716272873409155	1.1716272873409155	0.220020183899475	0.220020183899475	0.220020183899475	0.220020183899475	0.220020183899475	0.220020183899475	0.220020183899475	0.220020183899475	0.220020183899475	0.220020183899475	0.220020183899475	0.220020183899475	0.220020183899475	0.220020183899475	0.220020183899475	0.220020183899475	0.220020183899475	0.220020183899475	0.220020183899475	0.220020183899475	-0.7498616152252734	-0.7498616152252734	0.20174548821616708	0.20174548821616708	0.20174548821616708	0.20174548821616708	0.20174548821616708	0.20174548821616708	0.20174548821616708	0.20174548821616708	0.20174548821616708	0.20174548821616708	0.20174548821616708	0.20174548821616708	0.20174548821616708	0.20174548821616708	0.20174548821616708	0.20174548821616708	0.20174548821616708	0.20174548821616708	0.20174548821616708	0.20174548821616708
5000	0.46116998965377104	0.46116998965377104	0.46116998965377104	0.46116998965377104	0.46116998965377104	0.46116998965377104	0.46116998965377104	0.46116998965377104	0.46116998965377104	0.46116998965377104	0.46116998965377104	0.46116998965377104	0.46116998965377104	0.46116998965377104	0.46116998965377104	0.46116998965377104	0.46116998965377104	0.46116998965377104	0.46116998965377104	0.46116998965377104	0.46116998965377104	0.46116998965377104	1.1295699623312694	1.1295699623312694	0.1982175009253956	0.1982175009253956	0.1982175009253956	0.1982175009253956	0.1982175009253956	0.1982175009253956	0.1982175009253956	0.1982175009253956	0.1982175009253956	0.1982175009253956	0.1982175009253956	0.1982175009253956	0.1982175009253956	0.1982175009253956	0.1982175009253956	0.1982175009253956	0.1982175009253956	0.1982175009253956	0.1982175009253956	0.1982175009253956	-0.6683999726774983	-0.6683999726774983	0.2629524887283754	0.2629524887283754	0.2629524887283754	0.2629524887283754	0.2629524887283754	0.2629524887283754	0.2629524887283754	0.2629524887283754	0.2629524887283754	0.2629524887283754	0.2629524887283754	0.2629524887283754	0.2629524887283754	0.2629524887283754	0.2629524887283754	0.2629524887283754	0.2629524887283754	0.2629524887283754	0.2629524887283754	0.2629524887283754
6000	0.431953137445415	0.431953137445415	0.431953137445415	0.431953137445415	0.431953137445415	0.431953137445415	0.431953137445415	0.431953137445415	0.431953137445415	0.431953137445415	0.431953137445415	0.431953137445415	0.431953137445415	0.431953137445415	0.431953137445415	0.431953137445415	0.431953137445415	0.431953137445415	0.431953137445415	0.4784713446140456	0.4784713446140456	0.4784713446140456	1.6908896103670246	1.6908896103670246	0.23456338125807552	0.23456338125807552	0.23456338125807552	0.23456338125807552	0.23456338125807552	0.23456338125807552	0.23456338125807552	0.23456338125807552	0.23456338125807552	0.23456338125807552	0.23456338125807552	0.23456338125807552	0.23456338125807552	0.23456338125807552	0.23456338125807552	0.23456338125807552	0.23456338125807552	0.23456338125807552	0.23456338125807552	0.23456338125807552	-1.2589364729216095	-1.2589364729216095	0.1973897561873395	0.1973897561873395	0.1973897561873395	0.1973897561873395	0.1973897561873395	0.1973897561873395	0.1973897561873395	0.1973897561873395	0.1973897561873395	0.1973897561873395	0.1973897561873395	0.1973897561873395	0.1973897561873395	0.1973897561873395	0.1973897561873395	0.1973897561873395	0.1973897561873395	0.2439079633559701	0.2439079633559701	0.2439079633559701
7000	0.40840832747146927	0.40840832747146927	0.40840832747146927	0.40840832747146927	0.40840832747146927	0.40840832747146927	0.40840832747146927	0.40840832747146927	0.40840832747146927	0.40840832747146927	0.40840832747146927	0.40840832747146927	0.40840832747146927	0.40840832747146927	0.40840832747146927	0.40840832747146927	0.40840832747146927	0.40840832747146927	0.40840832747146927	0.40840832747146927	0.40840832747146927	0.40840832747146927	1.458826332226288	1.458826332226288	0.2266037302966847	0.2266037302966847	0.2266037302966847	0.2266037302966847	0.2266037302966847	0.2266037302966847	0.2266037302966847	0.2266037302966847	0.2266037302966847	0.2266037302966847	0.2266037302966847	0.2266037302966847	0.2266037302966847	0.2266037302966847	0.2266037302966847	0.2266037302966847	0.2266037302966847	0.2266037302966847	0.2266037302966847	0.16963566574350633	-1.0504180047548188	-1.0504180047548188	0.18180459717478456	0.18180459717478456	0.18180459717478456	0.18180459717478456	0.18180459717478456	0.18180459717478456	0.18180459717478456	0.18180459717478456	0.18180459717478456	0.18180459717478456	0.18180459717478456	0.18180459717478456	0.18180459717478456	0.18180459717478456	0.18180459717478456	0.18180459717478456	0.18180459717478456	0.18180459717478456	0.18180459717478456	0.23877266172796294
8000	0.619520641782361	0.619520641782361	0.619520641782361	0.619520641782361	0.619520641782361	0.619520641782361	0.619520641782361	0.619520641782361	0.619520641782361	0.619520641782361	0.619520641782361	0.619520641782361	0.619520641782361	0.619520641782361	0.619520641782361	0.619520641782361	0.619520641782361	0.619520641782361	0.619520641782361	0.619520641782361	0.619520641782361	0.619520641782361	2.0764732512239137	2.0764732512239137	0.3128273934014048	0.3128273934014048	0.3128273934014048	0.3128273934014048	0.3128273934014048	0.3128273934014048	0.3128273934014048	0.3128273934014048	0.3128273934014048	0.3128273934014048	0.3128273934014048	0.3128273934014048	0.3128273934014048	0.3128273934014048	0.3128273934014048	0.3128273934014048	0.3128273934014048	0.3128273934014048	0.3128273934014048	0.3128273934014048	-1.4569526094415526	-1.4569526094415526	0.3066932483809562	0.3066932483809562	0.3066932483809562	0.3066932483809562	0.3066932483809562	0.3066932483809562	0.3066932483809562	0.3066932483809562	0.3066932483809562	0.3066932483809562	0.3066932483809562	0.3066932483809562	0.3066932483809562	0.3066932483809562	0.3066932483809562	0.3066932483809562	0.3066932483809562	0.3066932483809562	0.3066932483809562	0.3066932483809562
9000	0.5760345133559268	0.5760345133559268	0.5760345133559268	0.5760345133559268	0.5760345133559268	0.5760345133559268	0.5760345133559268	0.5760345133559268	0.5760345133559268	0.5760345133559268	0.5760345133559268	0.5760345133559268	0.5760345133559268	0.5760345133559268	0.5760345133559268	0.5760345133559268	0.5760345133559268	0.5760345133559268	0.5760345133559268	0.5760345133559268	0.5760345133559268	0.5760345133559268	1.5181980082037807	1.5181980082037807	0.22348510478277464	0.22348510478277464	0.22348510478277464	0.22348510478277464	0.22348510478277464	0.22348510478277464	0.22348510478277464	0.22348510478277464	0.22348510478277464	0.22348510478277464	0.22348510478277464	0.22348510478277464	0.22348510478277464	0.22348510478277464	0.22348510478277464	0.22348510478277464	0.22348510478277464	0.22348510478277464	0.22348510478277464	0.22348510478277464	-0.9421634948478539	-0.9421634948478539	0.3525494085731522	0.3525494085731522	0.3525494085731522	0.3525494085731522	0.3525494085731522	0.3525494085731522	0.3525494085731522	0.3525494085731522	0.3525494085731522	0.3525494085731522	0.3525494085731522	0.3525494085731522	0.3525494085731522	0.3525494085731522	0.3525494085731522	0.3525494085731522	0.3525494085731522	0.3525494085731522	0.3525494085731522	0.3525494085731522
